Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/11/2022,08/11/2022,THRIFT BOOKS GLOBAL  LLC,Shopping,Sale,-23.09,
08/07/2022,08/09/2022,RANCHO BRAVO TACOS,Food & Drink,Sale,-10.45,
08/08/2022,08/09/2022,VUESCAN SOFTWARE,Personal,Sale,-29.95,
08/07/2022,08/08/2022,COSTCO WHSE #0106,Shopping,Sale,-197.96,
08/07/2022,08/08/2022,ARTIST &amp; CRAFTSMAN SEAWA,Shopping,Sale,-20.55,
08/06/2022,08/08/2022,PCC - FREMONT,Groceries,Sale,-23.14,
08/07/2022,08/08/2022,JOANN STORES #805,Shopping,Return,9.82,
08/05/2022,08/07/2022,TASKAR GARAGE LLC,Automotive,Sale,-2654.15,
08/05/2022,08/07/2022,DROPBOX*LPL4GVX17GZ5,Bills & Utilities,Sale,-13.22,
08/04/2022,08/05/2022,NO-IP,Bills & Utilities,Sale,-1.98,
08/04/2022,08/05/2022,NO-IP,Bills & Utilities,Sale,-3.99,
08/04/2022,08/05/2022,Bose Corporation,Shopping,Sale,-230.42,
08/03/2022,08/04/2022,FRED MEYER 0608,Groceries,Sale,-10.68,
08/03/2022,08/03/2022,AUTOMATIC PAYMENT - THANK,,Payment,8702.36,
08/02/2022,08/03/2022,SQ *TEMPLE PASTRIES,Food & Drink,Sale,-9.54,
08/02/2022,08/03/2022,LS RECYCLED CYCLES IN,Shopping,Sale,-37.46,
08/01/2022,08/02/2022,SP ARCHIEMCPHEESTORE,Shopping,Sale,-21.89,
08/01/2022,08/02/2022,FRED MEYER 0608,Groceries,Sale,-123.73,
08/01/2022,08/02/2022,FRED MEYER 0608,Groceries,Return,7.71,
07/28/2022,07/29/2022,SLACK TTS9Y46VC,Shopping,Sale,-1.32,
07/28/2022,07/29/2022,MEDIUM MONTHLY,Bills & Utilities,Sale,-5.00,
07/28/2022,07/29/2022,Amazon.com*FZ2PV6LD3,Shopping,Sale,-0.99,
07/27/2022,07/28/2022,CARTER SUBARU FINANCE,Automotive,Sale,-123.19,
07/26/2022,07/27/2022,AMZN Mktp US,Shopping,Return,19.33,
07/25/2022,07/26/2022,COSTCO WHSE #0106,Shopping,Sale,-248.35,
07/25/2022,07/26/2022,GUARDIAN SECURITY SYSTEM,Professional Services,Sale,-116.92,
07/25/2022,07/26/2022,COSTCO WHSE #0106,Shopping,Return,22.04,
07/25/2022,07/26/2022,Amazon.com*IQ6KH4J73,Shopping,Sale,-11.99,
07/25/2022,07/26/2022,COSTCO GAS #0106,Gas,Sale,-66.99,
07/24/2022,07/25/2022,FRED MEYER 0608,Groceries,Sale,-15.41,
07/23/2022,07/24/2022,AMZN Mktp US*3K87E34P3,Shopping,Sale,-37.46,
07/22/2022,07/24/2022,SQ *BRANFORD BIKE,Shopping,Sale,-16.54,
07/23/2022,07/24/2022,AMZN Mktp US,Shopping,Return,11.10,
07/21/2022,07/24/2022,SHELL OIL 57444039606,Gas,Sale,-5.82,
07/22/2022,07/24/2022,AMZN Mktp US*WC09G67K3,Shopping,Sale,-19.33,
07/23/2022,07/24/2022,AMZN Mktp US*PI1EM7FX3,Shopping,Sale,-36.84,
07/23/2022,07/24/2022,AMZN Mktp US*4Q95N86J3,Shopping,Sale,-11.10,
