wavelength,amplitude,red,green,blue
841.995,0.013,0,0,0
841.225,0.012,0,0,0
840.455,0.012,0,0,0
839.6850000000001,0.014,0,0,0
838.915,0.013,0,0,0
838.145,0.012,0,0,0
837.375,0.013,0,0,0
836.605,0.012,0,0,0
835.835,0.012,0,0,0
835.065,0.013,0,0,0
834.2950000000001,0.012,0,0,0
833.525,0.012,0,0,0
832.755,0.012,0,0,0
831.985,0.012,0,0,0
831.215,0.012,0,0,0
830.445,0.012,0,0,0
829.6750000000001,0.012,0,0,0
828.905,0.013,0,0,0
828.135,0.014,0,0,0
827.365,0.013,0,0,0
826.595,0.013,0,0,0
825.825,0.013,0,0,0
825.0550000000001,0.013,0,0,0
824.285,0.013,0,0,0
823.515,0.014,0,0,0
822.745,0.014,0,0,0
821.975,0.015,0,0,0
821.205,0.014,0,0,0
820.4350000000001,0.013,0,0,0
819.665,0.013,0,0,0
818.895,0.013,0,0,0
818.125,0.013,0,0,0
817.355,0.013,0,0,0
816.585,0.013,0,0,0
815.815,0.012,0,0,0
815.0450000000001,0.012,0,0,0
814.275,0.013,0,0,0
813.505,0.013,0,0,0
812.735,0.013,0,0,0
811.965,0.013,0,0,0
811.195,0.013,0,0,0
810.4250000000001,0.013,0,0,0
809.655,0.013,0,0,0
808.885,0.013,0,0,0
808.115,0.013,0,0,0
807.345,0.012,0,0,0
806.575,0.013,0,0,0
805.8050000000001,0.013,0,0,0
805.035,0.012,0,0,0
804.265,0.012,0,0,0
803.495,0.012,0,0,0
802.725,0.013,0,0,0
801.955,0.012,0,0,0
801.1850000000001,0.012,0,0,0
800.415,0.012,0,0,0
799.645,0.012,0,0,0
798.875,0.012,0,0,0
798.105,0.013,0,0,0
797.335,0.013,0,0,0
796.565,0.013,0,0,0
795.7950000000001,0.012,0,0,0
795.025,0.013,0,0,0
794.255,0.012,0,0,0
793.485,0.012,0,0,0
792.715,0.012,0,0,0
791.945,0.012,0,0,0
791.1750000000001,0.012,0,0,0
790.405,0.012,0,0,0
789.635,0.011,0,0,0
788.865,0.011,0,0,0
788.095,0.011,0,0,0
787.325,0.010,0,0,0
786.5550000000001,0.010,0,0,0
785.785,0.010,0,0,0
785.015,0.010,0,0,0
784.245,0.010,0,0,0
783.475,0.010,0,0,0
782.705,0.010,0,0,0
781.9350000000001,0.010,0,0,0
781.165,0.011,0,0,0
780.395,0.010,0,0,0
779.625,0.010,0,0,0
778.855,0.009,0,0,0
778.085,0.010,0,0,0
777.315,0.010,0,0,0
776.5450000000001,0.012,0,0,0
775.775,0.011,0,0,0
775.005,0.011,0,0,0
774.235,0.009,0,0,0
773.465,0.009,0,0,0
772.695,0.010,0,0,0
771.9250000000001,0.010,0,0,0
771.155,0.011,0,0,0
770.385,0.011,0,0,0
769.615,0.011,0,0,0
768.845,0.012,0,0,0
768.075,0.011,0,0,0
767.3050000000001,0.010,0,0,0
766.535,0.012,0,0,0
765.765,0.011,0,0,0
764.995,0.010,0,0,0
764.225,0.011,0,0,0
763.455,0.010,0,0,0
762.6850000000001,0.011,0,0,0
761.915,0.011,0,0,0
761.145,0.011,0,0,0
760.375,0.011,0,0,0
759.605,0.012,0,0,0
758.835,0.011,0,0,0
758.065,0.012,0,0,0
757.2950000000001,0.012,0,0,0
756.525,0.010,0,0,0
755.755,0.010,0,0,0
754.985,0.010,0,0,0
754.215,0.011,0,0,0
753.445,0.011,0,0,0
752.6750000000001,0.010,0,0,0
751.905,0.011,0,0,0
751.135,0.010,0,0,0
750.365,0.011,0,0,0
749.595,0.010,255,0,0
748.825,0.011,255,0,0
748.0550000000001,0.011,255,0,0
747.285,0.011,255,0,0
746.515,0.011,255,0,0
745.745,0.010,255,0,0
744.975,0.009,255,0,0
744.205,0.011,255,0,0
743.4350000000001,0.010,255,0,0
742.665,0.010,255,0,0
741.895,0.011,255,0,0
741.125,0.011,255,0,0
740.355,0.011,255,0,0
739.585,0.009,255,0,0
738.815,0.010,255,0,0
738.0450000000001,0.009,255,0,0
737.275,0.008,255,0,0
736.505,0.009,255,0,0
735.735,0.011,255,0,0
734.965,0.010,255,0,0
734.195,0.010,255,0,0
733.4250000000001,0.010,255,0,0
732.655,0.010,255,0,0
731.885,0.010,255,0,0
731.115,0.010,255,0,0
730.345,0.010,255,0,0
729.575,0.011,255,0,0
728.8050000000001,0.010,255,0,0
728.035,0.011,255,0,0
727.265,0.011,255,0,0
726.495,0.010,255,0,0
725.725,0.012,255,0,0
724.955,0.010,255,0,0
724.1850000000001,0.010,255,0,0
723.415,0.010,255,0,0
722.645,0.010,255,0,0
721.875,0.011,255,0,0
721.105,0.010,255,0,0
720.335,0.009,255,0,0
719.565,0.011,255,0,0
718.7950000000001,0.010,255,0,0
718.025,0.009,255,0,0
717.255,0.010,255,0,0
716.485,0.011,255,0,0
715.715,0.010,255,0,0
714.945,0.011,255,0,0
714.1750000000001,0.010,255,0,0
713.405,0.011,255,0,0
712.635,0.012,255,0,0
711.865,0.012,255,0,0
711.095,0.012,255,0,0
710.325,0.011,255,0,0
709.5550000000001,0.010,255,0,0
708.785,0.010,255,0,0
708.015,0.014,255,0,0
707.245,0.011,255,0,0
706.475,0.011,255,0,0
705.705,0.011,255,0,0
704.9350000000001,0.013,255,0,0
704.165,0.011,255,0,0
703.395,0.010,255,0,0
702.625,0.012,255,0,0
701.855,0.012,255,0,0
701.085,0.012,255,0,0
700.315,0.012,255,0,0
699.5450000000001,0.011,255,0,0
698.775,0.011,255,0,0
698.005,0.011,255,0,0
697.235,0.011,255,0,0
696.465,0.011,255,0,0
695.695,0.012,255,0,0
694.9250000000001,0.012,255,0,0
694.155,0.014,255,0,0
693.385,0.014,255,0,0
692.615,0.012,255,0,0
691.845,0.012,255,0,0
691.075,0.013,255,0,0
690.3050000000001,0.012,255,0,0
