wavelength,amplitude
947.66,0.253
946.68,0.199
945.6999999999999,0.198
944.72,0.186
943.74,0.202
942.76,0.204
941.78,0.187
940.8,0.188
939.8199999999999,0.185
938.84,0.189
937.86,0.192
936.88,0.191
935.9,0.184
934.92,0.186
933.9399999999999,0.198
932.96,0.202
931.98,0.196
931.0,0.197
930.02,0.186
929.04,0.187
928.06,0.187
927.0799999999999,0.180
926.1,0.187
925.12,0.182
924.14,0.179
923.16,0.181
922.18,0.190
921.1999999999999,0.187
920.22,0.183
919.24,0.178
918.26,0.185
917.28,0.180
916.3,0.174
915.3199999999999,0.176
914.34,0.171
913.36,0.182
912.38,0.190
911.4,0.183
910.42,0.175
909.4399999999999,0.182
908.46,0.184
907.48,0.199
906.5,0.199
905.52,0.178
904.54,0.186
903.56,0.195
902.5799999999999,0.187
901.6,0.195
900.62,0.182
899.64,0.181
898.66,0.184
897.68,0.178
896.6999999999999,0.189
895.72,0.186
894.74,0.187
893.76,0.187
892.78,0.181
891.8,0.174
890.8199999999999,0.180
889.84,0.183
888.86,0.190
887.88,0.181
886.9,0.180
885.92,0.180
884.9399999999999,0.176
883.96,0.177
882.98,0.170
882.0,0.173
881.02,0.175
880.04,0.173
879.06,0.190
878.0799999999999,0.165
877.1,0.177
876.12,0.170
875.14,0.173
874.16,0.175
873.18,0.174
872.1999999999999,0.171
871.22,0.184
870.24,0.183
869.26,0.189
868.28,0.179
867.3,0.184
866.3199999999999,0.193
865.34,0.194
864.36,0.196
863.38,0.195
862.4,0.213
861.42,0.205
860.4399999999999,0.202
859.46,0.196
858.48,0.186
857.5,0.198
856.52,0.193
855.54,0.193
854.56,0.187
853.58,0.189
852.6,0.193
851.62,0.188
850.64,0.188
849.66,0.186
848.68,0.201
847.6999999999999,0.199
846.72,0.199
845.74,0.219
844.76,0.206
843.78,0.200
842.8,0.207
841.8199999999999,0.211
840.84,0.203
839.86,0.204
838.88,0.204
837.9,0.194
836.92,0.193
835.9399999999999,0.190
834.96,0.194
833.98,0.196
833.0,0.182
832.02,0.186
831.04,0.196
830.06,0.185
829.08,0.179
828.1,0.178
827.12,0.185
826.14,0.178
825.16,0.176
824.18,0.169
823.1999999999999,0.188
822.22,0.180
821.24,0.185
820.26,0.169
819.28,0.169
818.3,0.177
817.3199999999999,0.170
816.34,0.169
815.36,0.172
814.38,0.173
813.4,0.180
812.42,0.175
811.4399999999999,0.185
810.46,0.178
809.48,0.186
808.5,0.171
807.52,0.177
806.54,0.173
805.56,0.166
804.58,0.172
803.6,0.184
802.62,0.172
801.64,0.174
800.66,0.167
799.68,0.176
798.6999999999999,0.173
797.72,0.171
796.74,0.171
795.76,0.174
794.78,0.171
793.8,0.165
792.8199999999999,0.165
791.84,0.165
790.86,0.173
789.88,0.168
788.9,0.169
787.92,0.164
786.9399999999999,0.169
785.96,0.163
784.98,0.168
784.0,0.174
783.02,0.175
782.04,0.175
781.06,0.175
780.08,0.172
779.1,0.169
778.12,0.180
777.14,0.179
776.16,0.173
775.18,0.182
774.1999999999999,0.170
773.22,0.170
772.24,0.165
771.26,0.172
770.28,0.173
769.3,0.180
768.3199999999999,0.167
767.34,0.165
766.36,0.170
765.38,0.166
764.4,0.172
763.42,0.173
762.4399999999999,0.177
761.46,0.157
760.48,0.176
759.5,0.173
758.52,0.173
757.54,0.183
756.56,0.183
755.58,0.176
754.6,0.183
753.62,0.171
752.64,0.170
751.66,0.174
750.68,0.181
749.6999999999999,0.185
748.72,0.191
747.74,0.186
746.76,0.192
745.78,0.190
744.8,0.192
743.8199999999999,0.186
742.84,0.193
741.86,0.184
740.88,0.192
739.9,0.191
738.92,0.196
737.9399999999999,0.196
736.96,0.186
735.98,0.197
735.0,0.195
734.02,0.199
733.04,0.208
732.06,0.205
731.08,0.203
730.1,0.212
729.12,0.212
728.14,0.213
727.16,0.213
726.18,0.223
725.1999999999999,0.219
724.22,0.225
723.24,0.225
722.26,0.231
721.28,0.234
720.3,0.243
719.3199999999999,0.240
718.34,0.243
717.36,0.246
716.38,0.251
715.4,0.251
714.42,0.249
713.4399999999999,0.260
712.46,0.260
711.48,0.267
710.5,0.267
709.52,0.265
708.54,0.269
707.56,0.273
706.58,0.274
705.6,0.285
704.62,0.288
703.64,0.300
702.66,0.298
701.68,0.296
700.6999999999999,0.295
699.72,0.295
698.74,0.309
697.76,0.314
696.78,0.307
695.8,0.320
694.8199999999999,0.316
693.84,0.328
692.86,0.331
691.88,0.336
690.9,0.334
689.92,0.344
688.9399999999999,0.340
687.96,0.352
686.98,0.353
686.0,0.356
685.02,0.357
684.04,0.357
683.06,0.371
682.08,0.376
681.1,0.389
680.12,0.394
679.14,0.390
678.16,0.398
677.18,0.403
676.1999999999999,0.407
675.22,0.409
674.24,0.419
673.26,0.421
672.28,0.429
671.3,0.437
670.3199999999999,0.438
669.34,0.453
668.36,0.454
667.38,0.462
666.4,0.457
665.42,0.459
664.4399999999999,0.473
663.46,0.472
662.48,0.482
661.5,0.480
660.52,0.490
659.54,0.495
658.56,0.500
657.58,0.511
656.6,0.511
655.62,0.521
654.64,0.527
653.66,0.539
652.68,0.552
651.6999999999999,0.552
650.72,0.551
649.74,0.556
648.76,0.564
647.78,0.578
646.8,0.583
645.8199999999999,0.586
644.84,0.588
643.86,0.591
642.88,0.597
641.9,0.612
640.92,0.621
639.9399999999999,0.633
638.96,0.637
637.98,0.643
637.0,0.644
636.02,0.660
635.04,0.658
634.06,0.680
633.08,0.677
632.1,0.689
631.12,0.707
630.14,0.707
629.16,0.729
628.18,0.728
627.2,0.744
626.22,0.768
625.24,0.776
624.26,0.791
623.28,0.796
622.3,0.810
621.3199999999999,0.805
620.34,0.822
619.36,0.831
618.38,0.834
617.4,0.837
616.42,0.866
615.4399999999999,0.855
614.46,0.846
613.48,0.855
612.5,0.840
611.52,0.867
610.54,0.845
609.56,0.844
608.58,0.852
607.6,0.847
606.62,0.827
605.64,0.829
604.66,0.820
603.68,0.821
602.7,0.824
601.72,0.819
600.74,0.820
599.76,0.828
598.78,0.814
597.8,0.835
596.8199999999999,0.849
595.84,0.850
594.86,0.851
593.88,0.851
592.9,0.854
591.92,0.878
590.9399999999999,0.862
589.96,0.871
588.98,0.861
588.0,0.866
587.02,0.870
586.04,0.871
585.06,0.871
584.08,0.884
583.1,0.886
582.12,0.899
581.14,0.902
580.16,0.922
579.18,0.929
578.2,0.927
577.22,0.950
576.24,0.958
575.26,0.978
574.28,0.983
573.3,0.982
572.3199999999999,0.990
571.34,1.000
570.36,0.999
569.38,0.994
568.4,0.976
567.42,0.980
566.4399999999999,0.959
565.46,0.954
564.48,0.945
563.5,0.919
562.52,0.932
561.54,0.912
560.56,0.914
559.58,0.895
558.6,0.888
557.62,0.885
556.64,0.880
555.66,0.863
554.68,0.873
553.7,0.860
552.72,0.864
551.74,0.871
550.76,0.866
549.78,0.857
548.8,0.849
547.8199999999999,0.841
546.84,0.835
545.86,0.825
544.88,0.813
543.9,0.808
542.92,0.791
541.9399999999999,0.789
540.96,0.770
539.98,0.764
539.0,0.765
538.02,0.743
537.04,0.730
536.06,0.720
535.08,0.705
534.1,0.695
533.12,0.684
532.14,0.663
531.16,0.654
530.18,0.639
529.2,0.616
528.22,0.609
527.24,0.583
526.26,0.578
525.28,0.553
524.3,0.540
523.3199999999999,0.518
522.34,0.500
521.36,0.487
520.38,0.465
519.4,0.463
518.42,0.448
517.4399999999999,0.431
516.46,0.409
515.48,0.395
514.5,0.383
513.52,0.377
512.54,0.364
511.56,0.357
510.58,0.354
509.59999999999997,0.341
508.62,0.335
507.64,0.321
506.65999999999997,0.325
505.68,0.317
504.7,0.312
503.71999999999997,0.307
502.74,0.317
501.76,0.308
500.78,0.314
499.8,0.302
498.82,0.309
497.84,0.308
496.86,0.312
495.88,0.306
494.9,0.311
493.92,0.313
492.94,0.316
491.96,0.318
490.98,0.329
490.0,0.343
489.02,0.347
488.03999999999996,0.355
487.06,0.369
486.08,0.381
485.09999999999997,0.401
484.12,0.415
483.14,0.437
482.15999999999997,0.461
481.18,0.492
480.2,0.521
479.21999999999997,0.545
478.24,0.580
477.26,0.611
476.28,0.643
475.3,0.675
474.32,0.705
473.34,0.733
472.36,0.755
471.38,0.772
470.4,0.785
469.42,0.796
468.44,0.804
467.46,0.807
466.48,0.808
465.5,0.811
464.52,0.807
463.53999999999996,0.803
462.56,0.794
461.58,0.786
460.59999999999997,0.774
459.62,0.761
458.64,0.746
457.65999999999997,0.724
456.68,0.699
455.7,0.672
454.71999999999997,0.644
453.74,0.612
452.76,0.577
451.78,0.540
450.8,0.507
449.82,0.470
448.84,0.439
447.86,0.408
446.88,0.374
445.9,0.348
444.92,0.320
443.94,0.295
442.96,0.267
441.98,0.244
441.0,0.223
440.02,0.203
439.03999999999996,0.187
438.06,0.173
437.08,0.165
436.09999999999997,0.150
435.12,0.137
434.14,0.131
433.15999999999997,0.123
432.18,0.110
431.2,0.108
430.21999999999997,0.103
429.24,0.101
428.26,0.098
427.28,0.096
426.3,0.096
425.32,0.092
424.34,0.091
423.36,0.089
422.38,0.083
421.4,0.082
420.42,0.081
419.44,0.082
418.46,0.080
417.48,0.078
416.5,0.077
415.52,0.074
414.54,0.072
413.56,0.076
412.58,0.075
411.59999999999997,0.074
410.62,0.072
409.64,0.072
408.65999999999997,0.073
407.68,0.072
406.7,0.072
405.71999999999997,0.069
404.74,0.073
403.76,0.065
402.78,0.070
401.8,0.066
400.82,0.071
399.84,0.068
398.86,0.068
397.88,0.069
396.9,0.067
395.92,0.067
394.94,0.071
393.96,0.068
392.98,0.069
392.0,0.068
391.02,0.067
390.04,0.066
389.06,0.068
388.08,0.069
387.09999999999997,0.067
386.12,0.065
385.14,0.067
384.15999999999997,0.068
383.18,0.071
382.2,0.072
381.21999999999997,0.069
380.24,0.069
