wavelength,amplitude
958.4399999999999,0.126
957.46,0.108
956.48,0.113
955.5,0.094
954.52,0.114
953.54,0.112
952.56,0.113
951.5799999999999,0.104
950.6,0.099
949.62,0.106
948.64,0.129
947.66,0.111
946.68,0.116
945.6999999999999,0.119
944.72,0.107
943.74,0.106
942.76,0.114
941.78,0.107
940.8,0.101
939.8199999999999,0.094
938.84,0.105
937.86,0.096
936.88,0.099
935.9,0.102
934.92,0.102
933.9399999999999,0.107
932.96,0.096
931.98,0.102
931.0,0.097
930.02,0.103
929.04,0.099
928.06,0.099
927.0799999999999,0.106
926.1,0.092
925.12,0.094
924.14,0.095
923.16,0.099
922.18,0.096
921.1999999999999,0.104
920.22,0.099
919.24,0.095
918.26,0.094
917.28,0.087
916.3,0.085
915.3199999999999,0.089
914.34,0.101
913.36,0.091
912.38,0.096
911.4,0.105
910.42,0.091
909.4399999999999,0.084
908.46,0.101
907.48,0.115
906.5,0.114
905.52,0.096
904.54,0.096
903.56,0.094
902.5799999999999,0.093
901.6,0.100
900.62,0.101
899.64,0.098
898.66,0.104
897.68,0.098
896.6999999999999,0.102
895.72,0.106
894.74,0.091
893.76,0.087
892.78,0.091
891.8,0.095
890.8199999999999,0.090
889.84,0.091
888.86,0.102
887.88,0.101
886.9,0.105
885.92,0.096
884.9399999999999,0.096
883.96,0.095
882.98,0.103
882.0,0.097
881.02,0.096
880.04,0.093
879.06,0.088
878.0799999999999,0.095
877.1,0.102
876.12,0.096
875.14,0.090
874.16,0.090
873.18,0.093
872.1999999999999,0.102
871.22,0.094
870.24,0.090
869.26,0.084
868.28,0.089
867.3,0.089
866.3199999999999,0.086
865.34,0.087
864.36,0.082
863.38,0.093
862.4,0.088
861.42,0.089
860.4399999999999,0.090
859.46,0.095
858.48,0.091
857.5,0.098
856.52,0.120
855.54,0.099
854.56,0.103
853.58,0.101
852.6,0.092
851.62,0.084
850.64,0.097
849.66,0.087
848.68,0.100
847.6999999999999,0.099
846.72,0.093
845.74,0.099
844.76,0.084
843.78,0.092
842.8,0.082
841.8199999999999,0.093
840.84,0.089
839.86,0.086
838.88,0.085
837.9,0.088
836.92,0.078
835.9399999999999,0.083
834.96,0.089
833.98,0.097
833.0,0.092
832.02,0.095
831.04,0.089
830.06,0.087
829.08,0.083
828.1,0.087
827.12,0.089
826.14,0.083
825.16,0.083
824.18,0.091
823.1999999999999,0.093
822.22,0.089
821.24,0.088
820.26,0.081
819.28,0.080
818.3,0.088
817.3199999999999,0.085
816.34,0.088
815.36,0.090
814.38,0.092
813.4,0.091
812.42,0.085
811.4399999999999,0.092
810.46,0.088
809.48,0.085
808.5,0.086
807.52,0.089
806.54,0.094
805.56,0.087
804.58,0.080
803.6,0.082
802.62,0.080
801.64,0.090
800.66,0.093
799.68,0.082
798.6999999999999,0.082
797.72,0.083
796.74,0.084
795.76,0.097
794.78,0.093
793.8,0.093
792.8199999999999,0.084
791.84,0.093
790.86,0.094
789.88,0.096
788.9,0.098
787.92,0.118
786.9399999999999,0.103
785.96,0.101
784.98,0.101
784.0,0.116
783.02,0.118
782.04,0.127
781.06,0.121
780.08,0.111
779.1,0.111
778.12,0.102
777.14,0.103
776.16,0.104
775.18,0.102
774.1999999999999,0.094
773.22,0.089
772.24,0.085
771.26,0.092
770.28,0.087
769.3,0.081
768.3199999999999,0.093
767.34,0.088
766.36,0.080
765.38,0.077
764.4,0.080
763.42,0.076
762.4399999999999,0.072
761.46,0.068
760.48,0.085
759.5,0.082
758.52,0.077
757.54,0.084
756.56,0.076
755.58,0.080
754.6,0.076
753.62,0.076
752.64,0.073
751.66,0.078
750.68,0.079
749.6999999999999,0.084
748.72,0.079
747.74,0.076
746.76,0.075
745.78,0.073
744.8,0.079
743.8199999999999,0.072
742.84,0.074
741.86,0.070
740.88,0.076
739.9,0.066
738.92,0.064
737.9399999999999,0.069
736.96,0.062
735.98,0.063
735.0,0.074
734.02,0.067
