wavelength,amplitude
957.9499999999999,0.236
956.97,0.194
955.99,0.173
955.01,0.192
954.03,0.207
953.05,0.196
952.0699999999999,0.207
951.09,0.190
950.11,0.187
949.13,0.180
948.15,0.186
947.17,0.193
946.1899999999999,0.184
945.21,0.189
944.23,0.188
943.25,0.173
942.27,0.182
941.29,0.179
940.31,0.165
939.3299999999999,0.183
938.35,0.178
937.37,0.184
936.39,0.154
935.41,0.175
934.43,0.189
933.4499999999999,0.183
932.47,0.217
931.49,0.185
930.51,0.180
929.53,0.176
928.55,0.176
927.5699999999999,0.188
926.59,0.180
925.61,0.171
924.63,0.153
923.65,0.164
922.67,0.173
921.6899999999999,0.173
920.71,0.191
919.73,0.181
918.75,0.170
917.77,0.182
916.79,0.168
915.81,0.173
914.8299999999999,0.170
913.85,0.179
912.87,0.167
911.89,0.175
910.91,0.148
909.93,0.171
908.9499999999999,0.161
907.97,0.175
906.99,0.166
906.01,0.163
905.03,0.175
904.05,0.155
903.0699999999999,0.143
902.09,0.146
901.11,0.149
900.13,0.158
899.15,0.170
898.17,0.167
897.1899999999999,0.178
896.21,0.159
895.23,0.165
894.25,0.168
893.27,0.179
892.29,0.161
891.31,0.166
890.3299999999999,0.165
889.35,0.171
888.37,0.162
887.39,0.171
886.41,0.163
885.43,0.170
884.4499999999999,0.153
883.47,0.170
882.49,0.173
881.51,0.157
880.53,0.158
879.55,0.156
878.5699999999999,0.157
877.59,0.178
876.61,0.163
875.63,0.164
874.65,0.163
873.67,0.167
872.6899999999999,0.159
871.71,0.155
870.73,0.162
869.75,0.156
868.77,0.154
867.79,0.166
866.81,0.150
865.83,0.158
864.85,0.168
863.87,0.164
862.89,0.158
861.91,0.147
860.93,0.155
859.9499999999999,0.148
858.97,0.160
857.99,0.158
857.01,0.181
856.03,0.192
855.05,0.168
854.0699999999999,0.171
853.09,0.167
852.11,0.149
851.13,0.142
850.15,0.155
849.17,0.158
848.1899999999999,0.155
847.21,0.150
846.23,0.143
845.25,0.159
844.27,0.155
843.29,0.152
842.31,0.148
841.33,0.154
840.35,0.158
839.37,0.150
838.39,0.157
837.41,0.143
836.43,0.168
835.4499999999999,0.160
834.47,0.168
833.49,0.180
832.51,0.161
831.53,0.164
830.55,0.168
829.5699999999999,0.167
828.59,0.160
827.61,0.159
826.63,0.164
825.65,0.157
824.67,0.154
823.6899999999999,0.155
822.71,0.156
821.73,0.160
820.75,0.161
819.77,0.158
818.79,0.166
817.81,0.172
816.83,0.161
815.85,0.161
814.87,0.160
813.89,0.171
812.91,0.164
811.93,0.171
810.9499999999999,0.157
809.97,0.156
808.99,0.163
808.01,0.165
807.03,0.154
806.05,0.151
805.0699999999999,0.152
804.09,0.162
803.11,0.165
802.13,0.156
801.15,0.168
800.17,0.184
799.1899999999999,0.170
798.21,0.174
797.23,0.165
796.25,0.162
795.27,0.167
794.29,0.165
793.31,0.173
792.33,0.169
791.35,0.176
790.37,0.178
789.39,0.175
788.41,0.177
787.43,0.160
786.4499999999999,0.170
785.47,0.164
784.49,0.156
783.51,0.158
782.53,0.160
781.55,0.155
780.5699999999999,0.160
779.59,0.159
778.61,0.157
777.63,0.175
776.65,0.168
775.67,0.167
774.6899999999999,0.158
773.71,0.156
772.73,0.154
771.75,0.158
770.77,0.167
769.79,0.160
768.81,0.161
767.83,0.154
766.85,0.178
765.87,0.154
764.89,0.167
763.91,0.157
762.93,0.157
761.9499999999999,0.163
760.97,0.163
759.99,0.173
759.01,0.169
758.03,0.167
757.05,0.167
756.0699999999999,0.165
755.09,0.167
754.11,0.172
753.13,0.167
752.15,0.167
751.17,0.173
750.1899999999999,0.175
749.21,0.172
748.23,0.175
747.25,0.163
746.27,0.174
745.29,0.172
744.31,0.171
743.33,0.175
742.35,0.179
741.37,0.181
740.39,0.187
739.41,0.178
738.43,0.199
737.4499999999999,0.192
736.47,0.209
735.49,0.196
734.51,0.187
733.53,0.197
732.55,0.201
731.5699999999999,0.197
730.59,0.188
729.61,0.200
728.63,0.199
727.65,0.210
726.67,0.210
725.6899999999999,0.210
724.71,0.210
723.73,0.211
722.75,0.211
721.77,0.223
720.79,0.226
719.81,0.232
718.83,0.232
717.85,0.234
716.87,0.244
715.89,0.245
714.91,0.254
713.93,0.264
712.9499999999999,0.262
711.97,0.266
710.99,0.280
710.01,0.286
709.03,0.284
708.05,0.298
707.0699999999999,0.288
706.09,0.297
705.11,0.301
704.13,0.308
703.15,0.307
702.17,0.311
701.1899999999999,0.316
700.21,0.321
699.23,0.317
698.25,0.336
697.27,0.335
696.29,0.344
695.31,0.348
694.33,0.348
693.35,0.351
692.37,0.364
691.39,0.361
690.41,0.379
689.43,0.388
688.4499999999999,0.396
687.47,0.393
686.49,0.395
685.51,0.415
684.53,0.407
683.55,0.416
682.5699999999999,0.410
681.59,0.433
680.61,0.429
679.63,0.429
678.65,0.448
677.67,0.446
676.6899999999999,0.454
675.71,0.465
674.73,0.459
673.75,0.474
672.77,0.475
671.79,0.474
670.81,0.475
669.83,0.487
668.85,0.490
667.87,0.496
666.89,0.486
665.91,0.486
664.93,0.487
663.9499999999999,0.501
662.97,0.513
661.99,0.523
661.01,0.537
660.03,0.535
659.05,0.538
658.0699999999999,0.536
657.09,0.555
656.11,0.553
655.13,0.567
654.15,0.580
653.17,0.569
652.1899999999999,0.582
651.21,0.568
650.23,0.586
649.25,0.591
648.27,0.595
