wavelength,amplitude
957.9499999999999,0.069
956.97,0.058
955.99,0.058
955.01,0.059
954.03,0.056
953.05,0.051
952.0699999999999,0.058
951.09,0.061
950.11,0.055
949.13,0.055
948.15,0.056
947.17,0.060
946.1899999999999,0.061
945.21,0.058
944.23,0.063
943.25,0.060
942.27,0.060
941.29,0.059
940.31,0.056
939.3299999999999,0.062
938.35,0.058
937.37,0.057
936.39,0.062
935.41,0.062
934.43,0.061
933.4499999999999,0.060
932.47,0.061
931.49,0.063
930.51,0.055
929.53,0.057
928.55,0.055
927.5699999999999,0.057
926.59,0.056
925.61,0.055
924.63,0.053
923.65,0.060
922.67,0.062
921.6899999999999,0.059
920.71,0.057
919.73,0.063
918.75,0.060
917.77,0.058
916.79,0.058
915.81,0.058
914.8299999999999,0.057
913.85,0.056
912.87,0.058
911.89,0.061
910.91,0.063
909.93,0.062
908.9499999999999,0.057
907.97,0.053
906.99,0.057
906.01,0.055
905.03,0.055
904.05,0.057
903.0699999999999,0.060
902.09,0.062
901.11,0.058
900.13,0.053
899.15,0.050
898.17,0.053
897.1899999999999,0.053
896.21,0.052
895.23,0.054
894.25,0.055
893.27,0.058
892.29,0.059
891.31,0.060
890.3299999999999,0.059
889.35,0.055
888.37,0.058
887.39,0.053
886.41,0.057
885.43,0.057
884.4499999999999,0.057
883.47,0.053
882.49,0.055
881.51,0.058
880.53,0.061
879.55,0.059
878.5699999999999,0.057
877.59,0.055
876.61,0.057
875.63,0.055
874.65,0.059
873.67,0.063
872.6899999999999,0.064
871.71,0.061
870.73,0.058
869.75,0.057
868.77,0.056
867.79,0.056
866.81,0.058
865.83,0.061
864.85,0.056
863.87,0.057
862.89,0.062
861.91,0.060
860.93,0.057
859.9499999999999,0.058
858.97,0.062
857.99,0.058
857.01,0.057
856.03,0.068
855.05,0.061
854.0699999999999,0.066
853.09,0.065
852.11,0.057
851.13,0.060
850.15,0.061
849.17,0.060
848.1899999999999,0.059
847.21,0.059
846.23,0.059
845.25,0.062
844.27,0.057
843.29,0.057
842.31,0.062
841.33,0.064
840.35,0.063
839.37,0.063
838.39,0.064
837.41,0.059
836.43,0.064
835.4499999999999,0.065
834.47,0.062
833.49,0.067
832.51,0.064
831.53,0.063
830.55,0.054
829.5699999999999,0.056
828.59,0.060
827.61,0.055
826.63,0.055
825.65,0.067
824.67,0.068
823.6899999999999,0.069
822.71,0.059
821.73,0.059
820.75,0.059
819.77,0.062
818.79,0.065
817.81,0.060
816.83,0.062
815.85,0.061
814.87,0.061
813.89,0.063
812.91,0.061
811.93,0.062
810.9499999999999,0.064
809.97,0.068
808.99,0.070
808.01,0.066
807.03,0.072
806.05,0.073
805.0699999999999,0.075
804.09,0.078
803.11,0.075
802.13,0.072
801.15,0.074
800.17,0.076
799.1899999999999,0.077
798.21,0.080
797.23,0.081
796.25,0.084
795.27,0.088
794.29,0.088
793.31,0.090
792.33,0.091
791.35,0.089
790.37,0.090
789.39,0.090
788.41,0.091
787.43,0.087
786.4499999999999,0.086
785.47,0.085
784.49,0.091
783.51,0.092
782.53,0.090
781.55,0.089
780.5699999999999,0.091
779.59,0.090
778.61,0.092
777.63,0.092
776.65,0.091
775.67,0.091
774.6899999999999,0.094
773.71,0.097
772.73,0.101
771.75,0.106
770.77,0.112
769.79,0.111
768.81,0.112
767.83,0.112
766.85,0.113
765.87,0.119
764.89,0.122
763.91,0.120
762.93,0.122
761.9499999999999,0.117
760.97,0.128
759.99,0.134
759.01,0.134
758.03,0.140
757.05,0.139
756.0699999999999,0.141
755.09,0.142
754.11,0.145
753.13,0.140
752.15,0.142
751.17,0.149
750.1899999999999,0.154
749.21,0.156
748.23,0.161
747.25,0.162
746.27,0.162
745.29,0.162
744.31,0.166
743.33,0.170
742.35,0.176
741.37,0.180
740.39,0.182
739.41,0.184
738.43,0.196
737.4499999999999,0.203
736.47,0.207
735.49,0.210
734.51,0.213
733.53,0.216
732.55,0.218
731.5699999999999,0.221
730.59,0.227
729.61,0.236
728.63,0.241
727.65,0.249
726.67,0.257
725.6899999999999,0.261
724.71,0.269
723.73,0.273
722.75,0.282
721.77,0.291
720.79,0.296
719.81,0.300
718.83,0.307
717.85,0.312
716.87,0.316
715.89,0.319
714.91,0.325
713.93,0.333
712.9499999999999,0.337
711.97,0.344
710.99,0.356
710.01,0.358
709.03,0.362
708.05,0.362
707.0699999999999,0.366
706.09,0.375
705.11,0.381
704.13,0.389
703.15,0.389
702.17,0.392
701.1899999999999,0.401
700.21,0.402
699.23,0.405
698.25,0.410
697.27,0.421
696.29,0.435
695.31,0.439
694.33,0.442
693.35,0.445
692.37,0.453
691.39,0.458
690.41,0.469
689.43,0.478
688.4499999999999,0.483
687.47,0.489
686.49,0.498
685.51,0.497
684.53,0.500
683.55,0.503
682.5699999999999,0.507
681.59,0.513
680.61,0.517
679.63,0.516
678.65,0.519
677.67,0.519
676.6899999999999,0.527
675.71,0.531
674.73,0.534
673.75,0.535
672.77,0.539
671.79,0.540
670.81,0.543
669.83,0.545
668.85,0.549
667.87,0.553
666.89,0.558
665.91,0.558
664.93,0.561
663.9499999999999,0.567
662.97,0.570
661.99,0.574
661.01,0.576
660.03,0.582
659.05,0.587
658.0699999999999,0.589
657.09,0.593
656.11,0.603
655.13,0.611
654.15,0.616
653.17,0.623
652.1899999999999,0.631
651.21,0.640
650.23,0.644
649.25,0.656
648.27,0.668
647.29,0.675
646.31,0.683
645.33,0.708
644.35,0.715
643.37,0.734
642.39,0.750
641.41,0.761
640.43,0.775
639.4499999999999,0.786
638.47,0.797
637.49,0.812
636.51,0.828
635.53,0.849
634.55,0.864
633.5699999999999,0.883
632.59,0.902
631.61,0.915
630.63,0.926
629.65,0.932
628.67,0.946
627.6899999999999,0.970
626.71,0.981
625.73,0.990
624.75,0.999
623.77,1.000
622.79,0.998
621.81,0.994
620.83,0.991
619.85,0.985
618.87,0.973
617.89,0.959
616.91,0.939
615.93,0.923
614.95,0.909
613.97,0.894
612.99,0.877
612.01,0.873
611.03,0.866
610.05,0.860
609.0699999999999,0.856
608.09,0.849
607.11,0.848
606.13,0.853
605.15,0.855
604.17,0.852
603.1899999999999,0.856
602.21,0.858
601.23,0.859
600.25,0.859
599.27,0.858
598.29,0.857
597.31,0.855
596.33,0.851
595.35,0.846
594.37,0.844
593.39,0.845
592.41,0.850
591.43,0.853
590.45,0.854
589.47,0.856
588.49,0.861
587.51,0.857
586.53,0.863
585.55,0.867
584.5699999999999,0.879
583.59,0.891
582.61,0.902
581.63,0.913
580.65,0.924
579.67,0.932
578.6899999999999,0.940
577.71,0.945
576.73,0.952
575.75,0.963
574.77,0.969
573.79,0.972
572.81,0.980
571.83,0.990
570.85,0.994
569.87,0.982
568.89,0.972
567.91,0.965
566.93,0.964
565.95,0.958
564.97,0.953
563.99,0.949
563.01,0.942
562.03,0.934
561.05,0.928
560.0699999999999,0.920
559.09,0.911
558.11,0.900
557.13,0.889
556.15,0.884
555.17,0.886
554.1899999999999,0.885
553.21,0.885
552.23,0.888
551.25,0.895
550.27,0.902
549.29,0.912
548.31,0.928
547.33,0.938
546.35,0.955
545.37,0.965
544.39,0.975
543.41,0.983
542.43,0.991
541.45,0.997
540.47,0.998
539.49,0.995
538.51,0.994
537.53,0.993
536.55,0.990
535.5699999999999,0.989
534.59,0.987
533.61,0.981
532.63,0.978
531.65,0.977
530.67,0.976
529.6899999999999,0.973
528.71,0.967
527.73,0.959
526.75,0.950
525.77,0.938
524.79,0.926
523.81,0.914
522.83,0.904
521.85,0.885
520.87,0.869
519.89,0.858
518.91,0.832
517.93,0.817
516.95,0.799
515.97,0.781
514.99,0.768
514.01,0.753
513.03,0.742
512.05,0.729
511.07,0.711
510.09,0.696
509.11,0.684
508.13,0.669
507.15,0.655
506.17,0.636
505.19,0.623
504.21,0.608
503.23,0.593
502.25,0.580
501.27,0.566
500.28999999999996,0.552
499.31,0.544
498.33,0.534
497.34999999999997,0.520
496.37,0.508
495.39,0.496
494.40999999999997,0.493
493.43,0.494
492.45,0.498
491.46999999999997,0.509
490.49,0.519
489.51,0.525
488.53,0.530
487.55,0.535
486.57,0.540
485.59,0.543
484.61,0.548
483.63,0.552
482.65,0.558
481.67,0.569
480.69,0.574
479.71,0.575
478.73,0.578
477.75,0.580
476.77,0.580
475.78999999999996,0.579
474.81,0.578
473.83,0.575
472.84999999999997,0.572
471.87,0.567
470.89,0.562
469.90999999999997,0.557
468.93,0.549
467.95,0.540
466.96999999999997,0.527
465.99,0.514
465.01,0.500
464.03,0.483
463.05,0.460
462.07,0.433
461.09,0.407
460.11,0.380
459.13,0.355
458.15,0.327
457.17,0.303
456.19,0.279
455.21,0.256
454.23,0.234
453.25,0.213
452.27,0.195
451.28999999999996,0.178
450.31,0.161
449.33,0.144
448.34999999999997,0.128
447.37,0.113
446.39,0.104
445.40999999999997,0.095
444.43,0.084
443.45,0.073
442.46999999999997,0.067
441.49,0.063
440.51,0.057
439.53,0.053
438.55,0.051
437.57,0.050
436.59,0.047
435.61,0.045
434.63,0.044
433.65,0.043
432.67,0.043
431.69,0.043
430.71,0.042
429.73,0.043
428.75,0.041
427.77,0.041
426.79,0.040
425.81,0.039
424.83,0.038
423.84999999999997,0.039
422.87,0.039
421.89,0.038
420.90999999999997,0.036
419.93,0.036
418.95,0.035
417.96999999999997,0.037
416.99,0.033
416.01,0.036
415.03,0.034
414.05,0.033
413.07,0.033
412.09,0.035
411.11,0.034
410.13,0.034
409.15,0.034
408.17,0.034
407.19,0.032
406.21,0.034
405.23,0.033
404.25,0.033
403.27,0.032
402.29,0.032
401.31,0.033
400.33,0.032
399.34999999999997,0.033
398.37,0.033
397.39,0.031
396.40999999999997,0.032
395.43,0.032
394.45,0.032
393.46999999999997,0.032
392.49,0.031
391.51,0.029
390.53,0.029
389.55,0.031
388.57,0.031
387.59,0.030
386.61,0.030
385.63,0.029
384.65,0.029
383.67,0.030
382.69,0.029
381.71,0.028
380.73,0.029
