wavelength,amplitude
956.97,0.192
955.99,0.187
955.01,0.176
954.03,0.183
953.05,0.177
952.0699999999999,0.171
951.09,0.176
950.11,0.188
949.13,0.194
948.15,0.199
947.17,0.184
946.1899999999999,0.181
945.21,0.174
944.23,0.174
943.25,0.183
942.27,0.190
941.29,0.203
940.31,0.209
939.3299999999999,0.200
938.35,0.203
937.37,0.186
936.39,0.176
935.41,0.176
934.43,0.183
933.4499999999999,0.163
932.47,0.159
931.49,0.160
930.51,0.173
929.53,0.172
928.55,0.170
927.5699999999999,0.180
926.59,0.188
925.61,0.181
924.63,0.183
923.65,0.191
922.67,0.179
921.6899999999999,0.172
920.71,0.175
919.73,0.190
918.75,0.170
917.77,0.169
916.79,0.171
915.81,0.175
914.8299999999999,0.191
913.85,0.180
912.87,0.175
911.89,0.166
910.91,0.164
909.93,0.156
908.9499999999999,0.169
907.97,0.189
906.99,0.184
906.01,0.161
905.03,0.174
904.05,0.183
903.0699999999999,0.176
902.09,0.170
901.11,0.174
900.13,0.177
899.15,0.167
898.17,0.168
897.1899999999999,0.193
896.21,0.202
895.23,0.200
894.25,0.198
893.27,0.197
892.29,0.174
891.31,0.178
890.3299999999999,0.156
889.35,0.146
888.37,0.163
887.39,0.177
886.41,0.166
885.43,0.167
884.4499999999999,0.171
883.47,0.176
882.49,0.180
881.51,0.183
880.53,0.168
879.55,0.166
878.5699999999999,0.170
877.59,0.186
876.61,0.162
875.63,0.156
874.65,0.156
873.67,0.158
872.6899999999999,0.176
871.71,0.174
870.73,0.173
869.75,0.166
868.77,0.165
867.79,0.159
866.81,0.162
865.83,0.176
864.85,0.174
863.87,0.176
862.89,0.176
861.91,0.182
860.93,0.178
859.9499999999999,0.170
858.97,0.163
857.99,0.164
857.01,0.176
856.03,0.198
855.05,0.243
854.0699999999999,0.229
853.09,0.207
852.11,0.197
851.13,0.189
850.15,0.190
849.17,0.177
848.1899999999999,0.177
847.21,0.174
846.23,0.170
845.25,0.174
844.27,0.177
843.29,0.185
842.31,0.189
841.33,0.185
840.35,0.180
839.37,0.183
838.39,0.182
837.41,0.183
836.43,0.182
835.4499999999999,0.200
834.47,0.202
833.49,0.204
832.51,0.208
831.53,0.208
830.55,0.213
829.5699999999999,0.199
828.59,0.205
827.61,0.219
826.63,0.219
825.65,0.217
824.67,0.222
823.6899999999999,0.220
822.71,0.217
821.73,0.228
820.75,0.222
819.77,0.235
818.79,0.239
817.81,0.235
816.83,0.238
815.85,0.229
814.87,0.232
813.89,0.238
812.91,0.239
811.93,0.247
810.9499999999999,0.255
809.97,0.253
808.99,0.250
808.01,0.244
807.03,0.262
806.05,0.251
805.0699999999999,0.247
804.09,0.253
803.11,0.255
802.13,0.260
801.15,0.287
800.17,0.287
799.1899999999999,0.275
798.21,0.257
797.23,0.256
796.25,0.263
795.27,0.280
794.29,0.302
793.31,0.284
792.33,0.307
791.35,0.311
790.37,0.293
789.39,0.293
788.41,0.289
787.43,0.291
786.4499999999999,0.284
785.47,0.268
784.49,0.274
783.51,0.262
782.53,0.263
781.55,0.272
780.5699999999999,0.288
779.59,0.277
778.61,0.287
777.63,0.295
776.65,0.300
775.67,0.296
774.6899999999999,0.315
773.71,0.314
772.73,0.306
771.75,0.311
770.77,0.309
769.79,0.316
768.81,0.323
767.83,0.346
766.85,0.371
765.87,0.356
764.89,0.361
763.91,0.357
762.93,0.348
761.9499999999999,0.346
760.97,0.336
759.99,0.343
759.01,0.357
758.03,0.371
757.05,0.378
756.0699999999999,0.383
755.09,0.382
754.11,0.385
753.13,0.385
752.15,0.389
751.17,0.394
750.1899999999999,0.402
749.21,0.408
748.23,0.411
747.25,0.414
746.27,0.434
745.29,0.452
744.31,0.455
743.33,0.442
742.35,0.458
741.37,0.455
740.39,0.457
739.41,0.464
738.43,0.473
737.4499999999999,0.492
736.47,0.502
735.49,0.500
734.51,0.504
733.53,0.511
732.55,0.533
731.5699999999999,0.553
730.59,0.564
729.61,0.578
728.63,0.584
727.65,0.596
726.67,0.609
725.6899999999999,0.626
724.71,0.640
723.73,0.643
722.75,0.654
721.77,0.675
720.79,0.683
719.81,0.694
718.83,0.718
717.85,0.716
716.87,0.721
715.89,0.727
714.91,0.734
713.93,0.747
712.9499999999999,0.758
711.97,0.769
710.99,0.778
710.01,0.771
709.03,0.766
708.05,0.781
707.0699999999999,0.795
706.09,0.821
705.11,0.832
704.13,0.829
703.15,0.824
702.17,0.828
701.1899999999999,0.826
700.21,0.851
699.23,0.846
698.25,0.854
697.27,0.865
696.29,0.874
695.31,0.907
694.33,0.914
693.35,0.907
692.37,0.897
691.39,0.895
690.41,0.912
689.43,0.919
688.4499999999999,0.931
687.47,0.944
686.49,0.960
685.51,0.931
684.53,0.933
683.55,0.929
682.5699999999999,0.919
681.59,0.938
680.61,0.946
679.63,0.948
678.65,0.946
677.67,0.951
676.6899999999999,0.949
675.71,0.946
674.73,0.947
673.75,0.944
672.77,0.940
671.79,0.948
670.81,0.942
669.83,0.935
668.85,0.942
667.87,0.941
666.89,0.951
665.91,0.948
664.93,0.957
663.9499999999999,0.962
662.97,0.967
661.99,0.964
661.01,0.972
660.03,0.973
659.05,0.968
658.0699999999999,0.965
657.09,0.973
656.11,0.978
655.13,0.983
654.15,0.994
653.17,0.992
652.1899999999999,0.996
651.21,1.000
650.23,0.997
649.25,0.976
