wavelength,amplitude
958.4399999999999,0.049
957.46,0.047
956.48,0.043
955.5,0.042
954.52,0.043
953.54,0.044
952.56,0.042
951.5799999999999,0.040
950.6,0.039
949.62,0.042
948.64,0.043
947.66,0.041
946.68,0.043
945.6999999999999,0.046
944.72,0.044
943.74,0.041
942.76,0.045
941.78,0.046
940.8,0.047
939.8199999999999,0.050
938.84,0.047
937.86,0.045
936.88,0.045
935.9,0.047
934.92,0.045
933.9399999999999,0.047
932.96,0.046
931.98,0.047
931.0,0.049
930.02,0.050
929.04,0.048
928.06,0.045
927.0799999999999,0.047
926.1,0.043
925.12,0.043
924.14,0.049
923.16,0.050
922.18,0.046
921.1999999999999,0.048
920.22,0.050
919.24,0.047
918.26,0.047
917.28,0.049
916.3,0.045
915.3199999999999,0.051
914.34,0.051
913.36,0.045
912.38,0.045
911.4,0.044
910.42,0.045
909.4399999999999,0.045
908.46,0.044
907.48,0.046
906.5,0.048
905.52,0.047
904.54,0.047
903.56,0.047
902.5799999999999,0.047
901.6,0.047
900.62,0.049
899.64,0.050
898.66,0.049
897.68,0.049
896.6999999999999,0.047
895.72,0.047
894.74,0.048
893.76,0.044
892.78,0.051
891.8,0.049
890.8199999999999,0.047
889.84,0.048
888.86,0.051
887.88,0.050
886.9,0.051
885.92,0.050
884.9399999999999,0.050
883.96,0.053
882.98,0.053
882.0,0.053
881.02,0.053
880.04,0.055
879.06,0.058
878.0799999999999,0.058
877.1,0.058
876.12,0.057
875.14,0.056
874.16,0.059
873.18,0.058
872.1999999999999,0.058
871.22,0.060
870.24,0.059
869.26,0.058
868.28,0.058
867.3,0.060
866.3199999999999,0.062
865.34,0.063
864.36,0.066
863.38,0.070
862.4,0.070
861.42,0.067
860.4399999999999,0.076
859.46,0.071
858.48,0.072
857.5,0.077
856.52,0.076
855.54,0.079
854.56,0.080
853.58,0.083
852.6,0.084
851.62,0.081
850.64,0.088
849.66,0.087
848.68,0.086
847.6999999999999,0.085
846.72,0.087
845.74,0.084
844.76,0.084
843.78,0.087
842.8,0.093
841.8199999999999,0.099
840.84,0.107
839.86,0.111
838.88,0.111
837.9,0.114
836.92,0.109
835.9399999999999,0.111
834.96,0.113
833.98,0.114
833.0,0.117
832.02,0.115
831.04,0.116
830.06,0.115
829.08,0.114
828.1,0.118
827.12,0.120
826.14,0.124
825.16,0.125
824.18,0.129
823.1999999999999,0.131
822.22,0.134
821.24,0.135
820.26,0.138
819.28,0.138
818.3,0.135
817.3199999999999,0.144
816.34,0.145
815.36,0.148
814.38,0.150
813.4,0.153
812.42,0.155
811.4399999999999,0.162
810.46,0.167
809.48,0.166
808.5,0.166
807.52,0.171
806.54,0.175
805.56,0.179
804.58,0.188
803.6,0.189
802.62,0.195
801.64,0.198
800.66,0.201
799.68,0.207
798.6999999999999,0.213
797.72,0.220
796.74,0.227
795.76,0.231
794.78,0.236
793.8,0.240
792.8199999999999,0.241
791.84,0.243
790.86,0.253
789.88,0.249
788.9,0.253
787.92,0.256
786.9399999999999,0.259
785.96,0.264
784.98,0.258
784.0,0.265
783.02,0.269
782.04,0.263
781.06,0.268
780.08,0.269
779.1,0.271
778.12,0.272
777.14,0.274
776.16,0.283
775.18,0.287
774.1999999999999,0.290
773.22,0.293
772.24,0.300
771.26,0.304
770.28,0.308
769.3,0.315
768.3199999999999,0.324
767.34,0.327
766.36,0.333
765.38,0.340
764.4,0.348
763.42,0.350
762.4399999999999,0.354
761.46,0.357
760.48,0.363
759.5,0.366
758.52,0.364
757.54,0.368
756.56,0.368
755.58,0.367
754.6,0.367
753.62,0.368
752.64,0.369
751.66,0.374
750.68,0.377
749.6999999999999,0.376
748.72,0.382
747.74,0.386
746.76,0.393
745.78,0.397
744.8,0.398
743.8199999999999,0.404
742.84,0.407
741.86,0.413
740.88,0.418
739.9,0.420
738.92,0.424
737.9399999999999,0.429
736.96,0.434
735.98,0.437
735.0,0.442
734.02,0.451
733.04,0.455
732.06,0.459
731.08,0.466
730.1,0.472
729.12,0.480
728.14,0.486
727.16,0.490
726.18,0.495
725.1999999999999,0.507
724.22,0.511
723.24,0.519
722.26,0.521
721.28,0.525
720.3,0.528
719.3199999999999,0.532
718.34,0.533
717.36,0.536
716.38,0.539
715.4,0.541
714.42,0.544
713.4399999999999,0.548
712.46,0.551
711.48,0.554
710.5,0.554
709.52,0.554
708.54,0.553
707.56,0.554
706.58,0.556
705.6,0.558
704.62,0.559
703.64,0.559
702.66,0.560
701.68,0.561
700.6999999999999,0.562
699.72,0.561
698.74,0.563
697.76,0.565
696.78,0.569
695.8,0.569
694.8199999999999,0.569
693.84,0.569
692.86,0.572
691.88,0.574
690.9,0.576
689.92,0.575
688.9399999999999,0.575
687.96,0.577
686.98,0.577
686.0,0.577
685.02,0.577
684.04,0.578
683.06,0.578
682.08,0.577
681.1,0.576
680.12,0.574
679.14,0.571
678.16,0.572
677.18,0.570
676.1999999999999,0.568
675.22,0.566
674.24,0.566
673.26,0.567
672.28,0.567
671.3,0.565
670.3199999999999,0.561
669.34,0.559
668.36,0.558
667.38,0.556
666.4,0.554
665.42,0.552
664.4399999999999,0.550
663.46,0.549
662.48,0.549
661.5,0.548
660.52,0.547
659.54,0.545
658.56,0.547
657.58,0.549
656.6,0.553
655.62,0.555
654.64,0.566
653.66,0.579
652.68,0.598
651.6999999999999,0.622
650.72,0.645
649.74,0.670
648.76,0.689
647.78,0.708
646.8,0.729
645.8199999999999,0.749
644.84,0.769
643.86,0.790
642.88,0.807
641.9,0.817
640.92,0.834
639.9399999999999,0.845
638.96,0.857
637.98,0.866
637.0,0.875
636.02,0.889
635.04,0.900
634.06,0.913
633.08,0.926
632.1,0.935
631.12,0.943
630.14,0.952
629.16,0.964
628.18,0.973
627.2,0.979
626.22,0.986
625.24,0.993
624.26,0.996
623.28,1.000
622.3,0.997
621.3199999999999,0.992
620.34,0.985
619.36,0.973
618.38,0.962
617.4,0.942
616.42,0.922
615.4399999999999,0.898
614.46,0.873
613.48,0.847
612.5,0.824
611.52,0.802
610.54,0.783
609.56,0.766
608.58,0.751
607.6,0.739
606.62,0.728
605.64,0.720
604.66,0.710
603.68,0.699
602.7,0.694
601.72,0.690
600.74,0.684
599.76,0.679
598.78,0.676
597.8,0.672
596.8199999999999,0.668
595.84,0.664
594.86,0.660
593.88,0.658
592.9,0.655
591.92,0.654
590.9399999999999,0.653
589.96,0.652
588.98,0.650
588.0,0.650
587.02,0.650
586.04,0.650
585.06,0.649
584.08,0.653
583.1,0.658
582.12,0.662
581.14,0.668
580.16,0.670
