wavelength,amplitude
955.99,0.203
955.01,0.180
954.03,0.185
953.05,0.187
952.0699999999999,0.190
951.09,0.186
950.11,0.179
949.13,0.183
948.15,0.168
947.17,0.185
946.1899999999999,0.200
945.21,0.208
944.23,0.209
943.25,0.205
942.27,0.194
941.29,0.223
940.31,0.236
939.3299999999999,0.225
938.35,0.225
937.37,0.200
936.39,0.187
935.41,0.200
934.43,0.220
933.4499999999999,0.221
932.47,0.214
931.49,0.204
930.51,0.202
929.53,0.215
928.55,0.200
927.5699999999999,0.202
926.59,0.190
925.61,0.194
924.63,0.200
923.65,0.180
922.67,0.174
921.6899999999999,0.191
920.71,0.207
919.73,0.211
918.75,0.198
917.77,0.197
916.79,0.189
915.81,0.176
914.8299999999999,0.170
913.85,0.171
912.87,0.168
911.89,0.161
910.91,0.169
909.93,0.183
908.9499999999999,0.160
907.97,0.164
906.99,0.149
906.01,0.158
905.03,0.174
904.05,0.169
903.0699999999999,0.170
902.09,0.161
901.11,0.151
900.13,0.171
899.15,0.181
898.17,0.184
897.1899999999999,0.175
896.21,0.161
895.23,0.151
894.25,0.158
893.27,0.152
892.29,0.156
891.31,0.153
890.3299999999999,0.149
889.35,0.153
888.37,0.167
887.39,0.158
886.41,0.163
885.43,0.159
884.4499999999999,0.151
883.47,0.154
882.49,0.153
881.51,0.154
880.53,0.176
879.55,0.197
878.5699999999999,0.187
877.59,0.155
876.61,0.145
875.63,0.145
874.65,0.153
873.67,0.158
872.6899999999999,0.162
871.71,0.150
870.73,0.141
869.75,0.146
868.77,0.146
867.79,0.161
866.81,0.172
865.83,0.155
864.85,0.157
863.87,0.152
862.89,0.147
861.91,0.153
860.93,0.156
859.9499999999999,0.163
858.97,0.185
857.99,0.159
857.01,0.169
856.03,0.166
855.05,0.171
854.0699999999999,0.178
853.09,0.175
852.11,0.171
851.13,0.172
850.15,0.171
849.17,0.153
848.1899999999999,0.155
847.21,0.154
846.23,0.150
845.25,0.149
844.27,0.134
843.29,0.144
842.31,0.137
841.33,0.137
840.35,0.150
839.37,0.144
838.39,0.142
837.41,0.140
836.43,0.146
835.4499999999999,0.137
834.47,0.145
833.49,0.148
832.51,0.149
831.53,0.150
830.55,0.165
829.5699999999999,0.142
828.59,0.132
827.61,0.141
826.63,0.145
825.65,0.146
824.67,0.151
823.6899999999999,0.144
822.71,0.145
821.73,0.148
820.75,0.151
819.77,0.142
818.79,0.146
817.81,0.144
816.83,0.149
815.85,0.137
814.87,0.144
813.89,0.153
812.91,0.149
811.93,0.148
810.9499999999999,0.136
809.97,0.141
808.99,0.145
808.01,0.138
807.03,0.135
806.05,0.140
805.0699999999999,0.134
804.09,0.138
803.11,0.131
802.13,0.144
801.15,0.147
800.17,0.149
799.1899999999999,0.152
798.21,0.142
797.23,0.148
796.25,0.143
795.27,0.145
794.29,0.143
793.31,0.147
792.33,0.143
791.35,0.133
790.37,0.129
789.39,0.136
788.41,0.151
787.43,0.134
786.4499999999999,0.134
785.47,0.132
784.49,0.133
783.51,0.132
782.53,0.129
781.55,0.125
780.5699999999999,0.132
779.59,0.139
778.61,0.142
777.63,0.134
776.65,0.133
775.67,0.128
774.6899999999999,0.121
773.71,0.130
772.73,0.131
771.75,0.126
770.77,0.125
769.79,0.128
768.81,0.127
767.83,0.115
766.85,0.115
765.87,0.126
764.89,0.133
763.91,0.129
762.93,0.134
761.9499999999999,0.134
760.97,0.138
759.99,0.136
759.01,0.132
758.03,0.126
757.05,0.122
756.0699999999999,0.121
755.09,0.120
754.11,0.118
753.13,0.122
752.15,0.120
751.17,0.120
750.1899999999999,0.118
749.21,0.120
748.23,0.124
747.25,0.124
746.27,0.127
745.29,0.119
744.31,0.118
743.33,0.118
742.35,0.126
741.37,0.130
740.39,0.120
739.41,0.121
738.43,0.134
737.4499999999999,0.141
736.47,0.139
735.49,0.136
734.51,0.142
733.53,0.155
732.55,0.153
731.5699999999999,0.155
730.59,0.148
729.61,0.148
728.63,0.144
727.65,0.146
726.67,0.150
725.6899999999999,0.152
724.71,0.149
723.73,0.156
722.75,0.159
721.77,0.156
720.79,0.156
719.81,0.158
718.83,0.157
717.85,0.162
716.87,0.165
715.89,0.170
714.91,0.167
713.93,0.164
712.9499999999999,0.171
711.97,0.175
710.99,0.170
710.01,0.166
709.03,0.175
708.05,0.180
707.0699999999999,0.179
706.09,0.176
705.11,0.180
704.13,0.181
703.15,0.186
702.17,0.189
701.1899999999999,0.193
700.21,0.197
699.23,0.196
698.25,0.209
697.27,0.228
696.29,0.235
695.31,0.233
694.33,0.236
693.35,0.234
692.37,0.244
691.39,0.253
690.41,0.252
689.43,0.261
688.4499999999999,0.264
687.47,0.267
686.49,0.276
685.51,0.275
684.53,0.289
683.55,0.294
682.5699999999999,0.299
681.59,0.308
680.61,0.322
679.63,0.317
678.65,0.318
677.67,0.316
676.6899999999999,0.332
675.71,0.322
674.73,0.331
673.75,0.334
672.77,0.340
671.79,0.349
670.81,0.352
669.83,0.352
668.85,0.351
667.87,0.366
666.89,0.378
665.91,0.381
664.93,0.390
663.9499999999999,0.387
662.97,0.385
661.99,0.388
661.01,0.401
660.03,0.418
659.05,0.432
658.0699999999999,0.444
657.09,0.450
656.11,0.455
655.13,0.456
654.15,0.447
653.17,0.456
652.1899999999999,0.471
651.21,0.485
650.23,0.496
649.25,0.496
648.27,0.515
647.29,0.498
646.31,0.499
645.33,0.511
644.35,0.528
643.37,0.547
642.39,0.542
641.41,0.551
640.43,0.566
639.4499999999999,0.590
638.47,0.609
637.49,0.620
636.51,0.622
635.53,0.634
634.55,0.632
633.5699999999999,0.659
632.59,0.668
631.61,0.681
630.63,0.699
629.65,0.710
628.67,0.724
627.6899999999999,0.736
626.71,0.757
625.73,0.766
624.75,0.790
623.77,0.789
622.79,0.786
621.81,0.777
620.83,0.780
619.85,0.771
618.87,0.768
617.89,0.759
616.91,0.758
615.93,0.741
614.95,0.726
613.97,0.713
612.99,0.691
612.01,0.665
611.03,0.669
610.05,0.642
609.0699999999999,0.637
608.09,0.632
607.11,0.637
606.13,0.647
605.15,0.649
604.17,0.642
603.1899999999999,0.632
602.21,0.623
601.23,0.628
600.25,0.626
599.27,0.624
598.29,0.622
597.31,0.624
596.33,0.609
595.35,0.620
594.37,0.629
593.39,0.627
592.41,0.611
591.43,0.614
590.45,0.623
589.47,0.668
588.49,0.761
587.51,0.878
586.53,0.938
585.55,0.978
584.5699999999999,0.994
583.59,0.994
582.61,0.997
581.63,1.000
580.65,0.992
579.67,0.980
578.6899999999999,0.966
577.71,0.959
