wavelength,amplitude
958.93,0.547
957.9499999999999,0.516
956.97,0.509
955.99,0.535
955.01,0.546
954.03,0.547
953.05,0.514
952.0699999999999,0.535
951.09,0.539
950.11,0.525
949.13,0.523
948.15,0.543
947.17,0.509
946.1899999999999,0.548
945.21,0.548
944.23,0.554
943.25,0.573
942.27,0.574
941.29,0.588
940.31,0.582
939.3299999999999,0.598
938.35,0.590
937.37,0.569
936.39,0.581
935.41,0.594
934.43,0.597
933.4499999999999,0.620
932.47,0.640
931.49,0.647
930.51,0.601
929.53,0.613
928.55,0.631
927.5699999999999,0.621
926.59,0.612
925.61,0.629
924.63,0.663
923.65,0.617
922.67,0.594
921.6899999999999,0.639
920.71,0.661
919.73,0.681
918.75,0.664
917.77,0.651
916.79,0.622
915.81,0.656
914.8299999999999,0.666
913.85,0.676
912.87,0.665
911.89,0.623
910.91,0.666
909.93,0.658
908.9499999999999,0.657
907.97,0.641
906.99,0.648
906.01,0.649
905.03,0.614
904.05,0.654
903.0699999999999,0.647
902.09,0.621
901.11,0.641
900.13,0.636
899.15,0.626
898.17,0.612
897.1899999999999,0.611
896.21,0.615
895.23,0.615
894.25,0.591
893.27,0.610
892.29,0.563
891.31,0.565
890.3299999999999,0.540
889.35,0.566
888.37,0.536
887.39,0.546
886.41,0.517
885.43,0.529
884.4499999999999,0.509
883.47,0.529
882.49,0.549
881.51,0.541
880.53,0.502
879.55,0.492
878.5699999999999,0.466
877.59,0.476
876.61,0.491
875.63,0.478
874.65,0.473
873.67,0.464
872.6899999999999,0.444
871.71,0.426
870.73,0.422
869.75,0.408
868.77,0.381
867.79,0.384
866.81,0.375
865.83,0.346
864.85,0.333
863.87,0.327
862.89,0.301
861.91,0.279
860.93,0.291
859.9499999999999,0.305
858.97,0.318
857.99,0.306
857.01,0.337
856.03,0.310
855.05,0.343
854.0699999999999,0.352
853.09,0.362
852.11,0.413
851.13,0.381
850.15,0.444
849.17,0.461
848.1899999999999,0.469
847.21,0.478
846.23,0.490
845.25,0.483
844.27,0.479
843.29,0.486
842.31,0.497
841.33,0.491
840.35,0.496
839.37,0.522
838.39,0.509
837.41,0.519
836.43,0.510
835.4499999999999,0.516
834.47,0.500
833.49,0.497
832.51,0.523
831.53,0.525
830.55,0.518
829.5699999999999,0.523
828.59,0.512
827.61,0.506
826.63,0.495
825.65,0.524
824.67,0.520
823.6899999999999,0.522
822.71,0.543
821.73,0.527
820.75,0.540
819.77,0.531
818.79,0.526
817.81,0.524
816.83,0.537
815.85,0.505
814.87,0.504
813.89,0.544
812.91,0.525
811.93,0.551
810.9499999999999,0.540
809.97,0.530
808.99,0.545
808.01,0.505
807.03,0.491
806.05,0.491
805.0699999999999,0.502
804.09,0.495
803.11,0.499
802.13,0.526
801.15,0.524
