wavelength,amplitude
958.93,0.977
957.9499999999999,0.990
956.97,1.000
955.99,0.999
955.01,0.991
954.03,0.994
953.05,0.993
952.0699999999999,0.983
951.09,0.971
950.11,0.968
949.13,0.984
948.15,0.971
947.17,0.962
946.1899999999999,0.959
945.21,0.946
944.23,0.948
943.25,0.939
942.27,0.935
941.29,0.942
940.31,0.947
939.3299999999999,0.936
938.35,0.933
937.37,0.936
936.39,0.928
935.41,0.929
934.43,0.907
933.4499999999999,0.893
932.47,0.888
931.49,0.883
930.51,0.890
929.53,0.878
928.55,0.870
927.5699999999999,0.868
926.59,0.873
925.61,0.876
924.63,0.869
923.65,0.858
922.67,0.846
921.6899999999999,0.835
920.71,0.841
919.73,0.842
918.75,0.841
917.77,0.843
916.79,0.826
915.81,0.819
914.8299999999999,0.816
913.85,0.814
912.87,0.806
911.89,0.805
910.91,0.796
909.93,0.793
908.9499999999999,0.804
907.97,0.821
906.99,0.824
906.01,0.812
905.03,0.805
904.05,0.804
903.0699999999999,0.795
902.09,0.799
901.11,0.796
900.13,0.792
899.15,0.786
898.17,0.773
897.1899999999999,0.787
896.21,0.785
895.23,0.777
894.25,0.780
893.27,0.781
892.29,0.777
891.31,0.773
890.3299999999999,0.771
889.35,0.768
888.37,0.775
887.39,0.766
886.41,0.758
885.43,0.761
884.4499999999999,0.763
883.47,0.759
882.49,0.769
881.51,0.778
880.53,0.771
879.55,0.765
878.5699999999999,0.767
877.59,0.763
876.61,0.746
875.63,0.735
874.65,0.725
873.67,0.722
872.6899999999999,0.724
871.71,0.721
870.73,0.704
869.75,0.708
868.77,0.699
867.79,0.693
866.81,0.685
865.83,0.662
864.85,0.656
863.87,0.659
862.89,0.659
861.91,0.654
860.93,0.643
859.9499999999999,0.640
858.97,0.648
857.99,0.664
857.01,0.676
856.03,0.679
855.05,0.688
854.0699999999999,0.701
853.09,0.714
852.11,0.717
851.13,0.718
850.15,0.731
849.17,0.738
848.1899999999999,0.738
847.21,0.756
846.23,0.748
845.25,0.754
844.27,0.762
843.29,0.762
842.31,0.749
841.33,0.747
840.35,0.753
839.37,0.757
838.39,0.747
837.41,0.743
836.43,0.738
835.4499999999999,0.733
834.47,0.736
833.49,0.736
832.51,0.731
831.53,0.718
830.55,0.709
829.5699999999999,0.708
828.59,0.712
827.61,0.703
826.63,0.700
825.65,0.696
824.67,0.692
823.6899999999999,0.688
822.71,0.684
821.73,0.678
820.75,0.670
819.77,0.668
818.79,0.655
817.81,0.655
816.83,0.647
815.85,0.635
814.87,0.633
813.89,0.628
812.91,0.623
811.93,0.621
810.9499999999999,0.617
809.97,0.602
808.99,0.605
808.01,0.603
807.03,0.600
806.05,0.592
805.0699999999999,0.582
804.09,0.580
803.11,0.577
802.13,0.573
801.15,0.569
800.17,0.567
799.1899999999999,0.559
798.21,0.558
797.23,0.556
796.25,0.553
795.27,0.556
794.29,0.553
793.31,0.544
792.33,0.531
791.35,0.537
790.37,0.534
789.39,0.533
788.41,0.526
787.43,0.518
786.4499999999999,0.522
785.47,0.524
784.49,0.509
783.51,0.500
782.53,0.498
781.55,0.496
780.5699999999999,0.492
779.59,0.491
778.61,0.483
777.63,0.475
776.65,0.480
775.67,0.468
774.6899999999999,0.457
773.71,0.452
772.73,0.446
771.75,0.448
770.77,0.448
769.79,0.447
768.81,0.445
767.83,0.448
766.85,0.445
765.87,0.437
764.89,0.429
763.91,0.427
762.93,0.420
761.9499999999999,0.421
760.97,0.417
759.99,0.409
759.01,0.395
758.03,0.389
757.05,0.384
756.0699999999999,0.377
755.09,0.362
754.11,0.350
753.13,0.339
752.15,0.327
751.17,0.314
750.1899999999999,0.308
749.21,0.302
748.23,0.290
747.25,0.279
746.27,0.274
745.29,0.269
744.31,0.254
743.33,0.256
742.35,0.257
741.37,0.258
740.39,0.259
739.41,0.258
738.43,0.259
737.4499999999999,0.261
736.47,0.258
735.49,0.256
734.51,0.249
733.53,0.253
732.55,0.255
731.5699999999999,0.259
730.59,0.263
729.61,0.259
728.63,0.264
727.65,0.264
726.67,0.261
725.6899999999999,0.261
724.71,0.259
723.73,0.261
722.75,0.260
721.77,0.259
720.79,0.259
719.81,0.258
718.83,0.258
717.85,0.259
716.87,0.261
715.89,0.270
714.91,0.266
713.93,0.268
712.9499999999999,0.271
711.97,0.273
710.99,0.271
710.01,0.280
709.03,0.288
708.05,0.294
707.0699999999999,0.298
706.09,0.300
705.11,0.301
704.13,0.307
703.15,0.316
702.17,0.324
701.1899999999999,0.330
700.21,0.338
699.23,0.345
698.25,0.350
697.27,0.358
696.29,0.364
695.31,0.368
694.33,0.376
693.35,0.382
692.37,0.385
691.39,0.388
690.41,0.396
689.43,0.403
688.4499999999999,0.407
687.47,0.412
686.49,0.411
685.51,0.415
684.53,0.422
683.55,0.418
682.5699999999999,0.423
681.59,0.425
680.61,0.422
679.63,0.421
678.65,0.426
677.67,0.428
676.6899999999999,0.428
675.71,0.432
674.73,0.427
673.75,0.422
672.77,0.421
671.79,0.417
670.81,0.417
669.83,0.421
668.85,0.415
667.87,0.416
666.89,0.417
665.91,0.417
664.93,0.415
663.9499999999999,0.410
662.97,0.411
661.99,0.413
661.01,0.414
660.03,0.407
659.05,0.411
658.0699999999999,0.411
657.09,0.410
656.11,0.407
655.13,0.408
654.15,0.409
653.17,0.411
652.1899999999999,0.414
651.21,0.411
650.23,0.408
649.25,0.406
648.27,0.407
647.29,0.406
646.31,0.403
645.33,0.404
644.35,0.403
643.37,0.403
642.39,0.405
641.41,0.404
640.43,0.404
639.4499999999999,0.402
638.47,0.401
637.49,0.402
636.51,0.407
635.53,0.407
634.55,0.405
633.5699999999999,0.405
632.59,0.402
631.61,0.400
630.63,0.402
629.65,0.406
628.67,0.408
627.6899999999999,0.407
626.71,0.403
625.73,0.398
624.75,0.395
623.77,0.397
622.79,0.396
621.81,0.395
620.83,0.395
619.85,0.397
618.87,0.400
617.89,0.393
616.91,0.395
615.93,0.396
614.95,0.398
613.97,0.403
612.99,0.401
612.01,0.398
611.03,0.396
610.05,0.396
609.0699999999999,0.400
608.09,0.401
607.11,0.401
606.13,0.404
605.15,0.408
604.17,0.404
603.1899999999999,0.404
602.21,0.404
601.23,0.404
600.25,0.407
599.27,0.409
598.29,0.406
597.31,0.406
596.33,0.413
595.35,0.415
594.37,0.417
593.39,0.415
592.41,0.412
591.43,0.413
590.45,0.415
589.47,0.417
588.49,0.416
587.51,0.416
586.53,0.414
585.55,0.403
584.5699999999999,0.407
583.59,0.411
582.61,0.414
581.63,0.419
580.65,0.419
579.67,0.424
578.6899999999999,0.427
577.71,0.428
576.73,0.426
575.75,0.438
574.77,0.440
573.79,0.445
572.81,0.451
571.83,0.459
570.85,0.461
569.87,0.456
568.89,0.451
567.91,0.444
566.93,0.442
565.95,0.440
564.97,0.436
563.99,0.430
563.01,0.426
562.03,0.422
561.05,0.419
560.0699999999999,0.417
559.09,0.416
558.11,0.405
557.13,0.410
556.15,0.410
555.17,0.412
554.1899999999999,0.412
553.21,0.413
552.23,0.414
551.25,0.416
550.27,0.419
549.29,0.421
548.31,0.423
547.33,0.423
546.35,0.428
545.37,0.432
544.39,0.430
543.41,0.423
542.43,0.425
541.45,0.426
540.47,0.427
539.49,0.432
538.51,0.425
537.53,0.429
536.55,0.430
535.5699999999999,0.430
534.59,0.431
533.61,0.427
532.63,0.423
531.65,0.420
530.67,0.418
529.6899999999999,0.417
528.71,0.414
527.73,0.408
526.75,0.407
525.77,0.413
524.79,0.411
523.81,0.406
522.83,0.402
521.85,0.400
520.87,0.398
519.89,0.396
518.91,0.391
517.93,0.388
516.95,0.384
515.97,0.385
514.99,0.382
514.01,0.376
513.03,0.371
512.05,0.366
511.07,0.359
510.09,0.359
509.11,0.357
508.13,0.353
507.15,0.348
506.17,0.343
505.19,0.336
504.21,0.332
503.23,0.330
502.25,0.325
501.27,0.328
500.28999999999996,0.326
499.31,0.325
498.33,0.329
497.34999999999997,0.329
496.37,0.326
495.39,0.326
494.40999999999997,0.327
493.43,0.329
492.45,0.331
491.46999999999997,0.332
490.49,0.338
489.51,0.343
488.53,0.346
487.55,0.351
486.57,0.355
485.59,0.358
484.61,0.358
483.63,0.360
482.65,0.356
481.67,0.350
480.69,0.348
479.71,0.349
478.73,0.350
477.75,0.348
476.77,0.346
475.78999999999996,0.344
474.81,0.339
473.83,0.329
472.84999999999997,0.325
471.87,0.318
470.89,0.310
469.90999999999997,0.303
468.93,0.296
467.95,0.292
466.96999999999997,0.290
465.99,0.285
465.01,0.281
464.03,0.278
463.05,0.279
462.07,0.279
461.09,0.277
460.11,0.276
459.13,0.273
458.15,0.274
457.17,0.273
456.19,0.271
455.21,0.270
454.23,0.261
453.25,0.256
452.27,0.252
451.28999999999996,0.248
450.31,0.245
449.33,0.238
448.34999999999997,0.234
447.37,0.230
446.39,0.229
445.40999999999997,0.221
444.43,0.218
443.45,0.212
442.46999999999997,0.206
441.49,0.203
440.51,0.197
439.53,0.191
438.55,0.187
437.57,0.185
436.59,0.186
435.61,0.184
434.63,0.183
433.65,0.184
432.67,0.183
431.69,0.183
430.71,0.185
429.73,0.184
428.75,0.184
427.77,0.182
426.79,0.183
425.81,0.186
424.83,0.186
423.84999999999997,0.188
422.87,0.192
421.89,0.190
420.90999999999997,0.189
419.93,0.190
418.95,0.192
417.96999999999997,0.193
416.99,0.195
416.01,0.196
415.03,0.199
414.05,0.199
413.07,0.198
412.09,0.198
