wavelength,amplitude
957.9499999999999,0.516
956.97,0.545
955.99,0.545
955.01,0.528
954.03,0.488
953.05,0.490
952.0699999999999,0.496
951.09,0.499
950.11,0.499
949.13,0.500
948.15,0.497
947.17,0.527
946.1899999999999,0.553
945.21,0.572
944.23,0.540
943.25,0.505
942.27,0.513
941.29,0.517
940.31,0.513
939.3299999999999,0.519
938.35,0.526
937.37,0.541
936.39,0.557
935.41,0.536
934.43,0.516
933.4499999999999,0.521
932.47,0.536
931.49,0.544
930.51,0.504
929.53,0.584
928.55,0.601
927.5699999999999,0.563
926.59,0.511
925.61,0.522
924.63,0.494
923.65,0.513
922.67,0.516
921.6899999999999,0.514
920.71,0.540
919.73,0.576
918.75,0.545
917.77,0.526
916.79,0.532
915.81,0.509
914.8299999999999,0.480
913.85,0.483
912.87,0.494
911.89,0.542
910.91,0.542
909.93,0.550
908.9499999999999,0.577
907.97,0.599
906.99,0.610
906.01,0.644
905.03,0.605
904.05,0.562
903.0699999999999,0.592
902.09,0.625
901.11,0.596
900.13,0.585
899.15,0.587
898.17,0.570
897.1899999999999,0.538
896.21,0.584
895.23,0.608
894.25,0.616
893.27,0.608
892.29,0.658
891.31,0.610
890.3299999999999,0.550
889.35,0.510
888.37,0.533
887.39,0.532
886.41,0.514
885.43,0.521
884.4499999999999,0.559
883.47,0.609
882.49,0.606
881.51,0.580
880.53,0.575
879.55,0.594
878.5699999999999,0.618
877.59,0.644
876.61,0.646
875.63,0.604
874.65,0.538
873.67,0.529
872.6899999999999,0.522
871.71,0.574
870.73,0.660
869.75,0.618
868.77,0.606
867.79,0.578
866.81,0.571
865.83,0.610
864.85,0.606
863.87,0.598
862.89,0.597
861.91,0.608
860.93,0.601
859.9499999999999,0.552
858.97,0.619
857.99,0.590
857.01,0.544
856.03,0.597
855.05,0.568
854.0699999999999,0.587
853.09,0.636
852.11,0.659
851.13,0.604
850.15,0.591
849.17,0.614
848.1899999999999,0.629
847.21,0.619
846.23,0.625
845.25,0.618
844.27,0.614
843.29,0.632
842.31,0.675
841.33,0.670
840.35,0.707
839.37,0.715
838.39,0.717
837.41,0.707
836.43,0.688
835.4499999999999,0.659
834.47,0.651
833.49,0.670
832.51,0.623
831.53,0.687
830.55,0.712
829.5699999999999,0.716
828.59,0.689
827.61,0.629
826.63,0.650
825.65,0.650
824.67,0.661
823.6899999999999,0.686
822.71,0.673
821.73,0.680
820.75,0.681
819.77,0.661
818.79,0.624
817.81,0.621
816.83,0.663
815.85,0.669
814.87,0.649
813.89,0.633
812.91,0.611
811.93,0.632
810.9499999999999,0.660
809.97,0.673
808.99,0.620
808.01,0.630
807.03,0.639
806.05,0.667
805.0699999999999,0.698
804.09,0.660
803.11,0.694
802.13,0.689
801.15,0.668
800.17,0.650
799.1899999999999,0.655
798.21,0.704
797.23,0.723
796.25,0.688
795.27,0.661
794.29,0.641
793.31,0.642
792.33,0.659
791.35,0.681
790.37,0.695
789.39,0.692
788.41,0.660
787.43,0.658
786.4499999999999,0.659
785.47,0.665
784.49,0.645
783.51,0.664
782.53,0.707
781.55,0.723
780.5699999999999,0.739
779.59,0.697
778.61,0.693
777.63,0.692
776.65,0.668
775.67,0.675
774.6899999999999,0.681
773.71,0.672
772.73,0.661
771.75,0.692
770.77,0.714
769.79,0.729
768.81,0.755
767.83,0.782
766.85,0.806
765.87,0.814
764.89,0.784
763.91,0.751
762.93,0.737
761.9499999999999,0.726
760.97,0.705
759.99,0.706
759.01,0.719
758.03,0.771
757.05,0.750
756.0699999999999,0.738
755.09,0.737
754.11,0.736
753.13,0.736
752.15,0.709
751.17,0.744
750.1899999999999,0.767
749.21,0.779
748.23,0.768
747.25,0.801
746.27,0.796
745.29,0.782
744.31,0.780
743.33,0.736
742.35,0.709
741.37,0.710
740.39,0.719
739.41,0.757
738.43,0.778
737.4499999999999,0.753
736.47,0.755
735.49,0.769
734.51,0.762
733.53,0.775
732.55,0.754
731.5699999999999,0.764
730.59,0.774
729.61,0.759
728.63,0.757
727.65,0.766
726.67,0.765
725.6899999999999,0.745
724.71,0.748
723.73,0.763
722.75,0.779
721.77,0.774
720.79,0.742
719.81,0.757
718.83,0.764
717.85,0.770
716.87,0.776
715.89,0.771
714.91,0.804
713.93,0.784
712.9499999999999,0.784
711.97,0.770
710.99,0.766
710.01,0.768
709.03,0.764
708.05,0.750
707.0699999999999,0.747
706.09,0.750
705.11,0.747
704.13,0.742
703.15,0.755
702.17,0.755
701.1899999999999,0.743
700.21,0.756
699.23,0.782
698.25,0.800
697.27,0.795
696.29,0.796
695.31,0.806
694.33,0.804
693.35,0.808
692.37,0.808
691.39,0.778
690.41,0.772
689.43,0.770
688.4499999999999,0.784
687.47,0.822
686.49,0.798
685.51,0.801
684.53,0.803
683.55,0.801
682.5699999999999,0.805
681.59,0.834
680.61,0.843
679.63,0.838
678.65,0.825
677.67,0.783
676.6899999999999,0.780
675.71,0.780
674.73,0.785
673.75,0.796
672.77,0.801
671.79,0.808
670.81,0.825
669.83,0.828
668.85,0.840
667.87,0.811
666.89,0.807
665.91,0.811
664.93,0.814
663.9499999999999,0.804
662.97,0.833
661.99,0.837
661.01,0.846
660.03,0.886
659.05,0.868
658.0699999999999,0.885
657.09,0.893
656.11,0.898
655.13,0.902
654.15,0.901
653.17,0.906
652.1899999999999,0.909
651.21,0.899
650.23,0.905
649.25,0.887
648.27,0.880
647.29,0.896
646.31,0.923
645.33,0.931
644.35,0.924
643.37,0.913
642.39,0.898
641.41,0.886
640.43,0.920
639.4499999999999,0.923
638.47,0.923
637.49,0.912
636.51,0.915
635.53,0.928
634.55,0.920
633.5699999999999,0.928
632.59,0.941
631.61,0.947
630.63,0.905
629.65,0.928
628.67,0.963
627.6899999999999,1.000
626.71,0.972
625.73,0.941
624.75,0.902
623.77,0.876
622.79,0.881
621.81,0.834
620.83,0.808
619.85,0.791
618.87,0.769
617.89,0.739
616.91,0.725
615.93,0.706
614.95,0.690
613.97,0.666
612.99,0.647
612.01,0.644
611.03,0.642
610.05,0.644
609.0699999999999,0.634
608.09,0.627
607.11,0.650
606.13,0.623
605.15,0.621
604.17,0.661
603.1899999999999,0.666
602.21,0.672
601.23,0.670
600.25,0.665
599.27,0.674
598.29,0.650
597.31,0.649
596.33,0.642
595.35,0.644
594.37,0.678
593.39,0.666
592.41,0.666
591.43,0.667
590.45,0.663
589.47,0.640
588.49,0.655
587.51,0.640
586.53,0.635
585.55,0.648
584.5699999999999,0.665
583.59,0.649
582.61,0.662
581.63,0.678
580.65,0.693
579.67,0.724
578.6899999999999,0.722
577.71,0.711
576.73,0.715
575.75,0.739
574.77,0.726
573.79,0.761
572.81,0.770
571.83,0.751
570.85,0.757
569.87,0.761
568.89,0.771
567.91,0.774
566.93,0.777
565.95,0.786
564.97,0.757
563.99,0.737
563.01,0.732
562.03,0.736
561.05,0.723
560.0699999999999,0.719
559.09,0.702
558.11,0.689
557.13,0.686
556.15,0.666
555.17,0.666
554.1899999999999,0.662
553.21,0.639
552.23,0.625
551.25,0.657
550.27,0.661
549.29,0.666
548.31,0.692
547.33,0.701
546.35,0.682
545.37,0.674
544.39,0.662
543.41,0.657
542.43,0.667
541.45,0.665
540.47,0.675
539.49,0.675
538.51,0.674
537.53,0.656
536.55,0.646
535.5699999999999,0.652
534.59,0.659
533.61,0.659
532.63,0.666
531.65,0.670
530.67,0.659
529.6899999999999,0.650
528.71,0.653
527.73,0.659
526.75,0.661
525.77,0.654
524.79,0.651
523.81,0.675
522.83,0.670
521.85,0.655
520.87,0.658
519.89,0.650
518.91,0.648
517.93,0.646
516.95,0.630
515.97,0.609
514.99,0.602
514.01,0.613
513.03,0.607
512.05,0.609
511.07,0.601
510.09,0.576
509.11,0.600
508.13,0.597
507.15,0.577
506.17,0.541
505.19,0.529
504.21,0.536
503.23,0.517
502.25,0.505
501.27,0.507
500.28999999999996,0.496
499.31,0.474
498.33,0.457
497.34999999999997,0.440
496.37,0.429
495.39,0.426
494.40999999999997,0.425
493.43,0.432
492.45,0.439
491.46999999999997,0.442
490.49,0.456
489.51,0.437
488.53,0.443
487.55,0.464
486.57,0.447
485.59,0.444
484.61,0.439
483.63,0.439
482.65,0.445
481.67,0.455
480.69,0.453
479.71,0.453
478.73,0.442
477.75,0.446
476.77,0.449
475.78999999999996,0.454
474.81,0.450
473.83,0.438
472.84999999999997,0.443
471.87,0.430
470.89,0.413
469.90999999999997,0.405
468.93,0.400
467.95,0.411
466.96999999999997,0.404
465.99,0.405
465.01,0.400
464.03,0.398
463.05,0.397
462.07,0.393
461.09,0.385
460.11,0.382
459.13,0.382
458.15,0.383
457.17,0.375
456.19,0.365
455.21,0.358
454.23,0.352
453.25,0.356
452.27,0.373
451.28999999999996,0.380
450.31,0.376
449.33,0.358
448.34999999999997,0.353
447.37,0.344
446.39,0.341
445.40999999999997,0.346
444.43,0.344
443.45,0.345
442.46999999999997,0.340
441.49,0.334
440.51,0.328
439.53,0.342
438.55,0.352
437.57,0.345
436.59,0.334
435.61,0.320
434.63,0.291
433.65,0.283
432.67,0.286
431.69,0.284
430.71,0.271
429.73,0.273
428.75,0.257
427.77,0.263
426.79,0.282
425.81,0.279
424.83,0.277
423.84999999999997,0.263
422.87,0.246
421.89,0.230
420.90999999999997,0.244
419.93,0.243
418.95,0.246
417.96999999999997,0.251
416.99,0.240
416.01,0.239
415.03,0.241
414.05,0.236
413.07,0.227
412.09,0.215
411.11,0.225
410.13,0.226
409.15,0.233
408.17,0.237
407.19,0.228
406.21,0.220
405.23,0.200
404.25,0.191
403.27,0.188
402.29,0.193
401.31,0.190
400.33,0.198
399.34999999999997,0.203
398.37,0.193
397.39,0.199
396.40999999999997,0.188
395.43,0.176
394.45,0.166
393.46999999999997,0.178
392.49,0.171
391.51,0.173
390.53,0.169
389.55,0.171
388.57,0.172
387.59,0.177
386.61,0.181
385.63,0.178
384.65,0.185
383.67,0.192
382.69,0.193
381.71,0.191
380.73,0.183
