wavelength,amplitude
957.46,0.869
956.48,0.831
955.5,0.813
954.52,0.798
953.54,0.801
952.56,0.772
951.5799999999999,0.779
950.6,0.779
949.62,0.764
948.64,0.773
947.66,0.779
946.68,0.794
945.6999999999999,0.794
944.72,0.786
943.74,0.807
942.76,0.748
941.78,0.740
940.8,0.733
939.8199999999999,0.720
938.84,0.800
937.86,0.782
936.88,0.753
935.9,0.746
934.92,0.755
933.9399999999999,0.733
932.96,0.731
931.98,0.733
931.0,0.735
930.02,0.729
929.04,0.712
928.06,0.715
927.0799999999999,0.707
926.1,0.697
925.12,0.667
924.14,0.682
923.16,0.697
922.18,0.710
921.1999999999999,0.712
920.22,0.660
919.24,0.667
918.26,0.660
917.28,0.654
916.3,0.674
915.3199999999999,0.675
914.34,0.650
913.36,0.645
912.38,0.645
911.4,0.648
910.42,0.646
909.4399999999999,0.622
908.46,0.619
907.48,0.609
906.5,0.634
905.52,0.641
904.54,0.620
903.56,0.624
902.5799999999999,0.631
901.6,0.618
900.62,0.605
899.64,0.610
898.66,0.628
897.68,0.648
896.6999999999999,0.641
895.72,0.618
894.74,0.597
893.76,0.592
892.78,0.625
891.8,0.623
890.8199999999999,0.611
889.84,0.620
888.86,0.608
887.88,0.588
886.9,0.611
885.92,0.620
884.9399999999999,0.616
883.96,0.616
882.98,0.618
882.0,0.636
881.02,0.627
880.04,0.613
879.06,0.595
878.0799999999999,0.595
877.1,0.599
876.12,0.604
875.14,0.619
874.16,0.607
873.18,0.626
872.1999999999999,0.609
871.22,0.606
870.24,0.613
869.26,0.602
868.28,0.566
867.3,0.569
866.3199999999999,0.574
865.34,0.557
864.36,0.580
863.38,0.580
862.4,0.577
861.42,0.573
860.4399999999999,0.554
859.46,0.565
858.48,0.548
857.5,0.564
856.52,0.587
855.54,0.609
854.56,0.538
853.58,0.547
852.6,0.553
851.62,0.560
850.64,0.587
849.66,0.589
848.68,0.606
847.6999999999999,0.600
846.72,0.587
845.74,0.586
844.76,0.601
843.78,0.599
842.8,0.593
841.8199999999999,0.588
840.84,0.617
839.86,0.587
838.88,0.582
837.9,0.583
836.92,0.574
835.9399999999999,0.589
834.96,0.598
833.98,0.600
833.0,0.604
832.02,0.609
831.04,0.621
830.06,0.582
829.08,0.585
828.1,0.613
827.12,0.587
826.14,0.607
825.16,0.597
824.18,0.588
823.1999999999999,0.603
822.22,0.585
821.24,0.598
820.26,0.611
819.28,0.613
818.3,0.604
817.3199999999999,0.586
816.34,0.590
815.36,0.586
814.38,0.577
813.4,0.585
812.42,0.591
811.4399999999999,0.604
810.46,0.606
809.48,0.596
808.5,0.591
807.52,0.607
806.54,0.578
805.56,0.585
804.58,0.589
803.6,0.565
802.62,0.572
801.64,0.560
800.66,0.544
799.68,0.530
798.6999999999999,0.557
797.72,0.549
796.74,0.548
795.76,0.560
794.78,0.541
793.8,0.561
792.8199999999999,0.547
791.84,0.545
790.86,0.538
789.88,0.533
788.9,0.558
787.92,0.566
786.9399999999999,0.550
785.96,0.541
784.98,0.526
784.0,0.527
783.02,0.520
782.04,0.513
781.06,0.516
780.08,0.546
779.1,0.515
778.12,0.500
777.14,0.492
776.16,0.494
775.18,0.504
774.1999999999999,0.487
773.22,0.468
772.24,0.454
771.26,0.463
770.28,0.483
769.3,0.471
768.3199999999999,0.470
767.34,0.476
766.36,0.463
765.38,0.464
764.4,0.461
763.42,0.438
762.4399999999999,0.415
761.46,0.418
760.48,0.393
759.5,0.385
758.52,0.371
757.54,0.363
756.56,0.363
755.58,0.356
754.6,0.342
753.62,0.319
752.64,0.299
751.66,0.281
750.68,0.267
749.6999999999999,0.252
748.72,0.250
747.74,0.235
746.76,0.251
745.78,0.244
744.8,0.243
743.8199999999999,0.228
742.84,0.230
741.86,0.219
740.88,0.228
739.9,0.222
738.92,0.226
737.9399999999999,0.220
736.96,0.223
735.98,0.223
735.0,0.218
734.02,0.214
733.04,0.226
732.06,0.227
731.08,0.229
730.1,0.230
729.12,0.223
728.14,0.217
727.16,0.232
726.18,0.235
725.1999999999999,0.218
724.22,0.222
723.24,0.222
722.26,0.224
721.28,0.232
720.3,0.249
719.3199999999999,0.239
718.34,0.254
717.36,0.260
716.38,0.259
715.4,0.253
714.42,0.269
713.4399999999999,0.270
712.46,0.279
711.48,0.294
710.5,0.309
709.52,0.315
708.54,0.327
707.56,0.344
706.58,0.353
705.6,0.378
704.62,0.403
703.64,0.422
702.66,0.427
701.68,0.433
700.6999999999999,0.469
699.72,0.475
698.74,0.494
697.76,0.508
696.78,0.501
695.8,0.517
694.8199999999999,0.532
693.84,0.539
692.86,0.550
691.88,0.556
690.9,0.560
689.92,0.558
688.9399999999999,0.554
687.96,0.543
686.98,0.545
686.0,0.557
685.02,0.552
684.04,0.553
683.06,0.560
682.08,0.569
681.1,0.572
680.12,0.588
679.14,0.585
678.16,0.582
677.18,0.578
676.1999999999999,0.581
675.22,0.579
674.24,0.574
673.26,0.569
672.28,0.579
671.3,0.582
670.3199999999999,0.585
669.34,0.579
668.36,0.558
667.38,0.571
666.4,0.585
665.42,0.610
664.4399999999999,0.642
663.46,0.668
662.48,0.698
661.5,0.739
660.52,0.759
659.54,0.768
658.56,0.815
657.58,0.814
656.6,0.815
655.62,0.809
654.64,0.785
653.66,0.747
652.68,0.708
651.6999999999999,0.674
650.72,0.640
649.74,0.601
648.76,0.577
647.78,0.556
646.8,0.539
645.8199999999999,0.541
644.84,0.529
643.86,0.530
642.88,0.527
641.9,0.530
640.92,0.532
639.9399999999999,0.520
638.96,0.533
637.98,0.539
637.0,0.536
636.02,0.544
635.04,0.542
634.06,0.550
633.08,0.561
