wavelength,amplitude
957.9499999999999,0.260
956.97,0.249
955.99,0.247
955.01,0.259
954.03,0.246
953.05,0.233
952.0699999999999,0.235
951.09,0.230
950.11,0.221
949.13,0.223
948.15,0.225
947.17,0.240
946.1899999999999,0.243
945.21,0.241
944.23,0.232
943.25,0.227
942.27,0.225
941.29,0.222
940.31,0.223
939.3299999999999,0.231
938.35,0.237
937.37,0.233
936.39,0.226
935.41,0.236
934.43,0.222
933.4499999999999,0.223
932.47,0.229
931.49,0.236
930.51,0.226
929.53,0.231
928.55,0.235
927.5699999999999,0.238
926.59,0.232
925.61,0.234
924.63,0.240
923.65,0.236
922.67,0.244
921.6899999999999,0.248
920.71,0.240
919.73,0.231
918.75,0.232
917.77,0.236
916.79,0.231
915.81,0.238
914.8299999999999,0.235
913.85,0.235
912.87,0.236
911.89,0.235
910.91,0.220
909.93,0.227
908.9499999999999,0.227
907.97,0.217
906.99,0.211
906.01,0.219
905.03,0.227
904.05,0.228
903.0699999999999,0.235
902.09,0.234
901.11,0.229
900.13,0.230
899.15,0.229
898.17,0.227
897.1899999999999,0.243
896.21,0.247
895.23,0.249
894.25,0.237
893.27,0.232
892.29,0.228
891.31,0.235
890.3299999999999,0.226
889.35,0.218
888.37,0.227
887.39,0.215
886.41,0.220
885.43,0.223
884.4499999999999,0.226
883.47,0.230
882.49,0.222
881.51,0.215
880.53,0.217
879.55,0.223
878.5699999999999,0.215
877.59,0.219
876.61,0.220
875.63,0.223
874.65,0.223
873.67,0.222
872.6899999999999,0.223
871.71,0.223
870.73,0.229
869.75,0.228
868.77,0.224
867.79,0.230
866.81,0.229
865.83,0.225
864.85,0.227
863.87,0.225
862.89,0.223
861.91,0.223
860.93,0.220
859.9499999999999,0.213
858.97,0.218
857.99,0.220
857.01,0.223
856.03,0.226
855.05,0.228
854.0699999999999,0.217
853.09,0.219
852.11,0.232
851.13,0.223
850.15,0.231
849.17,0.225
848.1899999999999,0.228
847.21,0.227
846.23,0.232
845.25,0.222
844.27,0.219
843.29,0.221
842.31,0.220
841.33,0.214
840.35,0.225
839.37,0.220
838.39,0.221
837.41,0.219
836.43,0.219
835.4499999999999,0.228
834.47,0.227
833.49,0.233
832.51,0.222
831.53,0.212
830.55,0.222
829.5699999999999,0.216
828.59,0.221
827.61,0.222
826.63,0.216
825.65,0.220
824.67,0.223
823.6899999999999,0.229
822.71,0.241
821.73,0.240
820.75,0.237
819.77,0.231
818.79,0.231
817.81,0.225
816.83,0.242
815.85,0.236
814.87,0.228
813.89,0.220
812.91,0.220
811.93,0.225
810.9499999999999,0.228
809.97,0.228
808.99,0.226
808.01,0.235
807.03,0.228
806.05,0.232
805.0699999999999,0.228
804.09,0.232
803.11,0.225
802.13,0.223
801.15,0.223
800.17,0.217
799.1899999999999,0.213
798.21,0.209
797.23,0.210
796.25,0.211
795.27,0.212
794.29,0.210
793.31,0.224
792.33,0.227
791.35,0.233
790.37,0.219
789.39,0.211
788.41,0.221
787.43,0.232
786.4499999999999,0.236
785.47,0.241
784.49,0.241
783.51,0.237
782.53,0.236
781.55,0.246
780.5699999999999,0.231
779.59,0.214
778.61,0.212
777.63,0.214
776.65,0.216
775.67,0.215
774.6899999999999,0.213
773.71,0.211
772.73,0.203
771.75,0.212
770.77,0.221
769.79,0.218
768.81,0.212
767.83,0.210
766.85,0.201
765.87,0.197
764.89,0.192
763.91,0.195
762.93,0.201
761.9499999999999,0.205
760.97,0.198
759.99,0.197
759.01,0.196
758.03,0.197
757.05,0.193
756.0699999999999,0.208
755.09,0.214
754.11,0.194
753.13,0.208
752.15,0.196
751.17,0.188
750.1899999999999,0.189
749.21,0.197
748.23,0.208
747.25,0.194
746.27,0.184
745.29,0.181
744.31,0.182
743.33,0.187
742.35,0.190
741.37,0.184
740.39,0.185
739.41,0.191
738.43,0.194
737.4499999999999,0.186
736.47,0.188
735.49,0.199
734.51,0.196
733.53,0.199
732.55,0.197
731.5699999999999,0.201
730.59,0.203
729.61,0.214
728.63,0.218
727.65,0.215
726.67,0.212
725.6899999999999,0.217
724.71,0.209
723.73,0.214
722.75,0.227
721.77,0.228
720.79,0.233
719.81,0.232
718.83,0.222
717.85,0.229
716.87,0.238
715.89,0.227
714.91,0.214
713.93,0.209
712.9499999999999,0.216
711.97,0.220
710.99,0.241
710.01,0.245
709.03,0.238
708.05,0.230
707.0699999999999,0.219
706.09,0.230
705.11,0.222
704.13,0.227
703.15,0.227
702.17,0.227
701.1899999999999,0.214
700.21,0.208
699.23,0.207
698.25,0.204
697.27,0.210
696.29,0.220
695.31,0.229
694.33,0.230
693.35,0.219
692.37,0.210
691.39,0.215
690.41,0.231
689.43,0.240
688.4499999999999,0.255
687.47,0.293
686.49,0.312
685.51,0.340
684.53,0.348
683.55,0.350
682.5699999999999,0.372
681.59,0.381
680.61,0.400
679.63,0.406
678.65,0.396
677.67,0.394
676.6899999999999,0.384
675.71,0.368
674.73,0.377
673.75,0.382
672.77,0.380
671.79,0.383
670.81,0.382
669.83,0.380
668.85,0.409
667.87,0.431
666.89,0.471
665.91,0.529
664.93,0.589
663.9499999999999,0.692
662.97,0.814
661.99,0.922
661.01,0.980
660.03,1.000
659.05,0.980
658.0699999999999,0.952
657.09,0.907
656.11,0.842
655.13,0.761
654.15,0.619
653.17,0.525
652.1899999999999,0.448
651.21,0.411
650.23,0.411
649.25,0.430
648.27,0.447
647.29,0.465
646.31,0.470
645.33,0.438
644.35,0.422
643.37,0.423
642.39,0.429
641.41,0.434
640.43,0.486
639.4499999999999,0.469
638.47,0.471
637.49,0.496
636.51,0.496
635.53,0.493
634.55,0.504
633.5699999999999,0.524
632.59,0.535
631.61,0.495
630.63,0.506
629.65,0.533
628.67,0.543
627.6899999999999,0.522
626.71,0.485
625.73,0.477
624.75,0.438
623.77,0.410
622.79,0.406
621.81,0.400
620.83,0.361
619.85,0.330
618.87,0.315
617.89,0.285
616.91,0.259
615.93,0.264
614.95,0.257
613.97,0.234
612.99,0.230
612.01,0.221
611.03,0.218
610.05,0.221
609.0699999999999,0.220
608.09,0.215
607.11,0.209
606.13,0.201
605.15,0.196
604.17,0.197
603.1899999999999,0.208
602.21,0.196
601.23,0.197
600.25,0.194
599.27,0.188
598.29,0.198
597.31,0.193
596.33,0.199
595.35,0.214
594.37,0.232
593.39,0.233
592.41,0.240
591.43,0.254
590.45,0.277
589.47,0.335
588.49,0.362
587.51,0.418
586.53,0.482
585.55,0.597
584.5699999999999,0.707
583.59,0.762
