wavelength,amplitude
954.52,0.040
953.54,0.033
952.56,0.030
951.5799999999999,0.030
950.6,0.031
949.62,0.032
948.64,0.033
947.66,0.034
946.68,0.033
945.6999999999999,0.030
944.72,0.032
943.74,0.033
942.76,0.032
941.78,0.030
940.8,0.031
939.8199999999999,0.031
938.84,0.032
937.86,0.031
936.88,0.031
935.9,0.031
934.92,0.031
933.9399999999999,0.030
932.96,0.031
931.98,0.033
931.0,0.031
930.02,0.032
929.04,0.033
928.06,0.032
927.0799999999999,0.031
926.1,0.030
925.12,0.032
924.14,0.032
923.16,0.032
922.18,0.034
921.1999999999999,0.032
920.22,0.031
919.24,0.029
918.26,0.029
917.28,0.030
916.3,0.031
915.3199999999999,0.032
914.34,0.032
913.36,0.032
912.38,0.031
911.4,0.029
910.42,0.030
909.4399999999999,0.032
908.46,0.032
907.48,0.029
906.5,0.029
905.52,0.030
904.54,0.029
903.56,0.030
902.5799999999999,0.031
901.6,0.032
900.62,0.031
899.64,0.028
898.66,0.026
897.68,0.027
896.6999999999999,0.027
895.72,0.026
894.74,0.028
893.76,0.027
892.78,0.027
891.8,0.027
890.8199999999999,0.026
889.84,0.027
888.86,0.025
887.88,0.024
886.9,0.025
885.92,0.025
884.9399999999999,0.028
883.96,0.032
882.98,0.030
882.0,0.028
881.02,0.027
880.04,0.027
879.06,0.028
878.0799999999999,0.029
877.1,0.028
876.12,0.029
875.14,0.029
874.16,0.029
873.18,0.029
872.1999999999999,0.029
871.22,0.029
870.24,0.030
869.26,0.029
868.28,0.029
867.3,0.028
866.3199999999999,0.027
865.34,0.028
864.36,0.027
863.38,0.027
862.4,0.029
861.42,0.031
860.4399999999999,0.031
859.46,0.030
858.48,0.030
857.5,0.030
856.52,0.033
855.54,0.031
854.56,0.030
853.58,0.031
852.6,0.034
851.62,0.033
850.64,0.032
849.66,0.033
848.68,0.033
847.6999999999999,0.034
846.72,0.034
845.74,0.034
844.76,0.034
843.78,0.033
842.8,0.031
841.8199999999999,0.032
840.84,0.031
839.86,0.030
838.88,0.027
837.9,0.031
836.92,0.031
835.9399999999999,0.028
834.96,0.028
833.98,0.029
833.0,0.028
832.02,0.029
831.04,0.030
830.06,0.031
829.08,0.029
828.1,0.029
827.12,0.028
826.14,0.029
825.16,0.029
824.18,0.027
823.1999999999999,0.028
822.22,0.028
821.24,0.027
820.26,0.029
819.28,0.028
818.3,0.029
817.3199999999999,0.030
816.34,0.030
815.36,0.030
814.38,0.033
813.4,0.034
812.42,0.034
811.4399999999999,0.033
810.46,0.032
809.48,0.032
808.5,0.033
807.52,0.033
806.54,0.033
805.56,0.032
804.58,0.031
803.6,0.032
802.62,0.032
801.64,0.033
800.66,0.032
799.68,0.032
798.6999999999999,0.030
797.72,0.030
796.74,0.029
795.76,0.028
794.78,0.027
793.8,0.028
792.8199999999999,0.028
791.84,0.028
790.86,0.028
789.88,0.027
788.9,0.026
787.92,0.026
786.9399999999999,0.025
785.96,0.025
784.98,0.025
784.0,0.025
783.02,0.025
782.04,0.025
781.06,0.027
780.08,0.027
779.1,0.026
778.12,0.025
777.14,0.024
776.16,0.025
775.18,0.026
774.1999999999999,0.025
773.22,0.025
772.24,0.027
771.26,0.028
770.28,0.028
769.3,0.027
768.3199999999999,0.028
767.34,0.029
766.36,0.028
765.38,0.028
764.4,0.029
763.42,0.028
762.4399999999999,0.028
761.46,0.028
760.48,0.027
759.5,0.027
758.52,0.030
757.54,0.032
756.56,0.032
755.58,0.031
754.6,0.033
753.62,0.033
752.64,0.033
751.66,0.033
750.68,0.034
749.6999999999999,0.034
748.72,0.034
747.74,0.034
746.76,0.034
745.78,0.034
744.8,0.033
743.8199999999999,0.032
742.84,0.032
741.86,0.031
740.88,0.031
739.9,0.031
738.92,0.031
737.9399999999999,0.032
736.96,0.032
735.98,0.031
735.0,0.033
734.02,0.033
733.04,0.034
732.06,0.037
731.08,0.037
730.1,0.039
729.12,0.040
728.14,0.043
727.16,0.047
726.18,0.051
725.1999999999999,0.058
724.22,0.066
723.24,0.078
722.26,0.097
721.28,0.133
720.3,0.201
719.3199999999999,0.283
718.34,0.371
717.36,0.468
716.38,0.568
715.4,0.654
714.42,0.712
713.4399999999999,0.766
712.46,0.815
711.48,0.883
710.5,0.956
709.52,1.000
708.54,0.997
707.56,0.930
706.58,0.840
705.6,0.729
704.62,0.603
703.64,0.455
702.66,0.299
701.68,0.218
700.6999999999999,0.168
699.72,0.137
698.74,0.113
697.76,0.092
696.78,0.079
695.8,0.069
694.8199999999999,0.060
693.84,0.055
692.86,0.050
691.88,0.046
690.9,0.043
689.92,0.041
688.9399999999999,0.041
687.96,0.041
686.98,0.040
686.0,0.040
685.02,0.041
684.04,0.038
683.06,0.038
682.08,0.038
681.1,0.038
680.12,0.039
679.14,0.040
678.16,0.039
677.18,0.039
676.1999999999999,0.041
675.22,0.042
674.24,0.041
673.26,0.042
672.28,0.041
671.3,0.041
670.3199999999999,0.041
669.34,0.042
668.36,0.043
667.38,0.044
666.4,0.045
665.42,0.048
664.4399999999999,0.048
663.46,0.050
662.48,0.050
661.5,0.050
660.52,0.052
659.54,0.052
658.56,0.054
657.58,0.056
656.6,0.058
655.62,0.060
654.64,0.061
653.66,0.063
652.68,0.065
651.6999999999999,0.066
650.72,0.069
649.74,0.072
648.76,0.074
647.78,0.077
646.8,0.078
645.8199999999999,0.080
644.84,0.082
643.86,0.083
642.88,0.082
641.9,0.083
640.92,0.083
639.9399999999999,0.081
638.96,0.080
637.98,0.079
637.0,0.078
636.02,0.079
635.04,0.079
634.06,0.078
633.08,0.078
632.1,0.078
631.12,0.075
630.14,0.074
629.16,0.074
628.18,0.073
627.2,0.073
626.22,0.074
625.24,0.074
624.26,0.075
623.28,0.079
622.3,0.076
621.3199999999999,0.074
620.34,0.074
619.36,0.074
618.38,0.074
617.4,0.073
616.42,0.071
615.4399999999999,0.067
614.46,0.063
613.48,0.057
612.5,0.052
611.52,0.048
610.54,0.045
609.56,0.042
608.58,0.041
607.6,0.039
606.62,0.037
605.64,0.034
604.66,0.032
603.68,0.030
602.7,0.029
601.72,0.029
600.74,0.028
599.76,0.026
598.78,0.024
597.8,0.023
596.8199999999999,0.022
595.84,0.021
594.86,0.020
593.88,0.020
592.9,0.020
591.92,0.020
590.9399999999999,0.020
589.96,0.020
588.98,0.020
588.0,0.021
587.02,0.021
