wavelength,amplitude
952.56,0.406
951.5799999999999,0.384
950.6,0.351
949.62,0.318
948.64,0.286
947.66,0.255
946.68,0.234
945.6999999999999,0.221
944.72,0.214
943.74,0.210
942.76,0.214
941.78,0.222
940.8,0.236
939.8199999999999,0.254
938.84,0.284
937.86,0.332
936.88,0.403
935.9,0.497
934.92,0.619
933.9399999999999,0.740
932.96,0.861
931.98,0.941
931.0,0.985
930.02,1.000
929.04,0.988
928.06,0.938
927.0799999999999,0.868
926.1,0.792
925.12,0.704
924.14,0.596
923.16,0.519
922.18,0.468
921.1999999999999,0.437
920.22,0.439
919.24,0.467
918.26,0.512
917.28,0.562
916.3,0.603
915.3199999999999,0.634
914.34,0.636
913.36,0.628
912.38,0.610
911.4,0.581
910.42,0.551
909.4399999999999,0.534
908.46,0.528
907.48,0.527
906.5,0.530
905.52,0.524
904.54,0.512
903.56,0.490
902.5799999999999,0.460
901.6,0.422
900.62,0.374
899.64,0.325
898.66,0.280
897.68,0.238
896.6999999999999,0.195
895.72,0.165
894.74,0.141
893.76,0.125
892.78,0.115
891.8,0.108
890.8199999999999,0.104
889.84,0.105
888.86,0.107
887.88,0.109
886.9,0.109
885.92,0.108
884.9399999999999,0.107
883.96,0.105
882.98,0.107
882.0,0.111
881.02,0.116
880.04,0.124
879.06,0.131
878.0799999999999,0.146
877.1,0.177
876.12,0.237
875.14,0.315
874.16,0.400
873.18,0.485
872.1999999999999,0.530
871.22,0.548
870.24,0.543
869.26,0.517
868.28,0.481
867.3,0.440
866.3199999999999,0.400
865.34,0.367
864.36,0.351
863.38,0.409
862.4,0.512
861.42,0.635
860.4399999999999,0.766
859.46,0.849
858.48,0.876
857.5,0.868
856.52,0.829
855.54,0.764
854.56,0.679
853.58,0.583
852.6,0.484
851.62,0.396
850.64,0.317
849.66,0.251
848.68,0.210
847.6999999999999,0.190
846.72,0.195
845.74,0.231
844.76,0.299
843.78,0.383
842.8,0.476
841.8199999999999,0.562
840.84,0.613
839.86,0.625
838.88,0.611
837.9,0.575
836.92,0.521
835.9399999999999,0.456
834.96,0.384
833.98,0.311
833.0,0.240
832.02,0.181
831.04,0.152
830.06,0.138
829.08,0.132
828.1,0.138
827.12,0.164
826.14,0.214
825.16,0.274
824.18,0.330
823.1999999999999,0.373
822.22,0.395
821.24,0.385
820.26,0.360
819.28,0.327
818.3,0.286
817.3199999999999,0.235
816.34,0.188
815.36,0.144
814.38,0.112
813.4,0.093
812.42,0.085
811.4399999999999,0.090
810.46,0.105
809.48,0.125
808.5,0.145
807.52,0.161
806.54,0.168
805.56,0.163
804.58,0.148
803.6,0.130
802.62,0.106
801.64,0.088
800.66,0.072
799.68,0.059
798.6999999999999,0.049
797.72,0.045
796.74,0.041
795.76,0.041
794.78,0.042
793.8,0.047
792.8199999999999,0.056
791.84,0.067
790.86,0.078
789.88,0.087
788.9,0.089
787.92,0.086
786.9399999999999,0.079
785.96,0.070
784.98,0.064
784.0,0.065
783.02,0.083
782.04,0.118
781.06,0.167
780.08,0.221
779.1,0.249
778.12,0.255
777.14,0.247
776.16,0.228
775.18,0.195
774.1999999999999,0.158
773.22,0.125
772.24,0.097
771.26,0.077
770.28,0.074
