wavelength,amplitude
955.99,0.312
955.01,0.247
954.03,0.238
953.05,0.231
952.0699999999999,0.248
951.09,0.256
950.11,0.256
949.13,0.253
948.15,0.226
947.17,0.246
946.1899999999999,0.234
945.21,0.240
944.23,0.250
943.25,0.260
942.27,0.238
941.29,0.260
940.31,0.246
939.3299999999999,0.240
938.35,0.246
937.37,0.280
936.39,0.238
935.41,0.232
934.43,0.242
933.4499999999999,0.250
932.47,0.260
931.49,0.251
930.51,0.251
929.53,0.237
928.55,0.238
927.5699999999999,0.229
926.59,0.241
925.61,0.251
924.63,0.251
923.65,0.237
922.67,0.244
921.6899999999999,0.248
920.71,0.253
919.73,0.232
918.75,0.222
917.77,0.234
916.79,0.234
915.81,0.240
914.8299999999999,0.244
913.85,0.270
912.87,0.278
911.89,0.271
910.91,0.246
909.93,0.237
908.9499999999999,0.240
907.97,0.231
906.99,0.240
906.01,0.236
905.03,0.226
904.05,0.224
903.0699999999999,0.201
902.09,0.204
901.11,0.222
900.13,0.219
899.15,0.222
898.17,0.235
897.1899999999999,0.236
896.21,0.227
895.23,0.211
894.25,0.223
893.27,0.210
892.29,0.205
891.31,0.214
890.3299999999999,0.231
889.35,0.214
888.37,0.215
887.39,0.247
886.41,0.228
885.43,0.233
884.4499999999999,0.231
883.47,0.213
882.49,0.206
881.51,0.206
880.53,0.222
879.55,0.222
878.5699999999999,0.223
877.59,0.238
876.61,0.220
875.63,0.229
874.65,0.236
873.67,0.245
872.6899999999999,0.237
871.71,0.218
870.73,0.218
869.75,0.212
868.77,0.211
867.79,0.231
866.81,0.226
865.83,0.231
864.85,0.228
863.87,0.220
862.89,0.223
861.91,0.211
860.93,0.214
859.9499999999999,0.206
858.97,0.210
857.99,0.219
857.01,0.210
856.03,0.215
855.05,0.222
854.0699999999999,0.241
853.09,0.231
852.11,0.223
851.13,0.215
850.15,0.197
849.17,0.205
848.1899999999999,0.209
847.21,0.208
846.23,0.211
845.25,0.200
844.27,0.209
843.29,0.217
842.31,0.223
841.33,0.228
840.35,0.224
839.37,0.215
838.39,0.223
837.41,0.228
836.43,0.228
835.4499999999999,0.211
834.47,0.236
833.49,0.229
832.51,0.223
831.53,0.223
830.55,0.219
829.5699999999999,0.234
828.59,0.224
827.61,0.223
826.63,0.224
825.65,0.215
824.67,0.213
823.6899999999999,0.215
822.71,0.201
821.73,0.201
820.75,0.213
819.77,0.204
818.79,0.210
817.81,0.217
816.83,0.219
815.85,0.220
814.87,0.205
813.89,0.201
812.91,0.215
811.93,0.206
810.9499999999999,0.201
809.97,0.205
808.99,0.203
