wavelength,amplitude
948.15,0.958
947.17,0.879
946.1899999999999,0.826
945.21,0.869
944.23,0.946
943.25,0.934
942.27,1.000
941.29,0.976
940.31,0.978
939.3299999999999,0.938
938.35,0.847
937.37,0.837
936.39,0.822
935.41,0.798
934.43,0.903
933.4499999999999,0.886
932.47,0.920
931.49,0.896
930.51,0.836
929.53,0.826
928.55,0.887
927.5699999999999,0.880
926.59,0.794
925.61,0.811
924.63,0.945
923.65,0.859
922.67,0.831
921.6899999999999,0.814
920.71,0.843
919.73,0.814
918.75,0.857
917.77,0.841
916.79,0.844
915.81,0.787
914.8299999999999,0.801
913.85,0.823
912.87,0.812
911.89,0.795
910.91,0.829
909.93,0.868
908.9499999999999,0.872
907.97,0.861
906.99,0.843
906.01,0.838
905.03,0.829
904.05,0.828
903.0699999999999,0.871
902.09,0.813
901.11,0.868
900.13,0.830
899.15,0.816
898.17,0.811
897.1899999999999,0.851
896.21,0.813
895.23,0.766
894.25,0.747
893.27,0.861
892.29,0.895
891.31,0.806
890.3299999999999,0.741
889.35,0.753
888.37,0.768
887.39,0.750
886.41,0.751
885.43,0.771
884.4499999999999,0.762
883.47,0.775
882.49,0.861
881.51,0.841
880.53,0.865
879.55,0.865
878.5699999999999,0.817
877.59,0.824
876.61,0.799
875.63,0.800
874.65,0.810
873.67,0.812
872.6899999999999,0.790
871.71,0.825
870.73,0.836
869.75,0.893
868.77,0.812
867.79,0.822
866.81,0.810
865.83,0.836
864.85,0.831
863.87,0.802
862.89,0.810
861.91,0.768
860.93,0.766
859.9499999999999,0.783
858.97,0.810
857.99,0.786
857.01,0.805
856.03,0.774
855.05,0.805
854.0699999999999,0.798
853.09,0.790
852.11,0.766
851.13,0.814
850.15,0.793
849.17,0.850
848.1899999999999,0.843
847.21,0.872
846.23,0.905
845.25,0.795
844.27,0.812
843.29,0.814
842.31,0.810
841.33,0.731
840.35,0.774
839.37,0.764
838.39,0.766
837.41,0.790
836.43,0.764
835.4499999999999,0.810
834.47,0.843
833.49,0.857
832.51,0.841
831.53,0.802
830.55,0.743
829.5699999999999,0.754
828.59,0.781
827.61,0.810
826.63,0.759
825.65,0.795
824.67,0.807
823.6899999999999,0.807
822.71,0.881
821.73,0.840
820.75,0.822
819.77,0.812
818.79,0.769
817.81,0.812
816.83,0.802
815.85,0.764
814.87,0.778
813.89,0.752
812.91,0.733
811.93,0.769
810.9499999999999,0.775
809.97,0.776
808.99,0.801
808.01,0.850
807.03,0.790
806.05,0.749
805.0699999999999,0.809
804.09,0.742
803.11,0.707
802.13,0.761
801.15,0.782
800.17,0.779
799.1899999999999,0.793
798.21,0.797
797.23,0.782
796.25,0.743
795.27,0.764
794.29,0.810
793.31,0.785
792.33,0.782
791.35,0.779
790.37,0.738
789.39,0.708
788.41,0.766
787.43,0.731
786.4499999999999,0.698
785.47,0.726
784.49,0.732
783.51,0.711
782.53,0.708
781.55,0.717
780.5699999999999,0.736
779.59,0.760
