wavelength,amplitude
948.15,0.935
947.17,0.730
946.1899999999999,0.616
945.21,0.631
944.23,0.652
943.25,0.630
942.27,0.645
941.29,0.601
940.31,0.516
939.3299999999999,0.574
938.35,0.589
937.37,0.667
936.39,0.667
935.41,0.621
934.43,0.633
933.4499999999999,0.627
932.47,0.594
931.49,0.610
930.51,0.605
929.53,0.608
928.55,0.541
927.5699999999999,0.524
926.59,0.525
925.61,0.520
924.63,0.560
923.65,0.599
922.67,0.593
921.6899999999999,0.586
920.71,0.573
919.73,0.528
918.75,0.533
917.77,0.571
916.79,0.603
915.81,0.554
914.8299999999999,0.576
913.85,0.588
912.87,0.547
911.89,0.541
910.91,0.478
909.93,0.528
908.9499999999999,0.552
907.97,0.563
906.99,0.570
906.01,0.555
905.03,0.571
904.05,0.565
903.0699999999999,0.554
902.09,0.567
901.11,0.554
900.13,0.547
899.15,0.521
898.17,0.549
897.1899999999999,0.595
896.21,0.517
895.23,0.534
894.25,0.541
893.27,0.474
892.29,0.511
891.31,0.577
890.3299999999999,0.584
889.35,0.577
888.37,0.541
887.39,0.526
886.41,0.483
885.43,0.493
884.4499999999999,0.542
883.47,0.523
882.49,0.574
881.51,0.526
880.53,0.502
879.55,0.571
878.5699999999999,0.567
877.59,0.599
876.61,0.541
875.63,0.541
874.65,0.575
873.67,0.595
872.6899999999999,0.571
871.71,0.504
870.73,0.487
869.75,0.506
868.77,0.541
867.79,0.491
866.81,0.480
865.83,0.476
864.85,0.491
863.87,0.567
862.89,0.489
861.91,0.480
860.93,0.520
859.9499999999999,0.504
858.97,0.526
857.99,0.511
857.01,0.528
856.03,0.575
855.05,0.524
854.0699999999999,0.487
853.09,0.485
852.11,0.515
851.13,0.532
850.15,0.537
849.17,0.511
848.1899999999999,0.491
847.21,0.493
846.23,0.483
845.25,0.532
844.27,0.498
843.29,0.485
842.31,0.478
841.33,0.496
840.35,0.509
839.37,0.478
838.39,0.474
837.41,0.465
836.43,0.448
835.4499999999999,0.444
834.47,0.452
833.49,0.450
832.51,0.427
831.53,0.489
830.55,0.472
829.5699999999999,0.506
828.59,0.502
827.61,0.496
826.63,0.498
825.65,0.517
824.67,0.537
823.6899999999999,0.537
822.71,0.487
821.73,0.513
820.75,0.515
819.77,0.521
818.79,0.534
817.81,0.489
816.83,0.541
815.85,0.530
814.87,0.521
813.89,0.509
812.91,0.461
811.93,0.521
810.9499999999999,0.554
809.97,0.547
808.99,0.579
808.01,0.519
807.03,0.462
806.05,0.464
805.0699999999999,0.502
804.09,0.488
803.11,0.444
802.13,0.488
801.15,0.508
800.17,0.529
799.1899999999999,0.462
798.21,0.472
797.23,0.459
796.25,0.445
795.27,0.428
794.29,0.382
793.31,0.447
792.33,0.456
791.35,0.449
790.37,0.448
789.39,0.436
788.41,0.433
787.43,0.437
786.4499999999999,0.494
785.47,0.464
784.49,0.438
783.51,0.490
782.53,0.491
781.55,0.468
780.5699999999999,0.454
779.59,0.470
778.61,0.438
777.63,0.446
776.65,0.470
775.67,0.394
774.6899999999999,0.384
773.71,0.387
772.73,0.379
771.75,0.413
770.77,0.390
769.79,0.417
768.81,0.412
767.83,0.402
766.85,0.393
765.87,0.426
764.89,0.385
763.91,0.382
762.93,0.398
761.9499999999999,0.406
760.97,0.417
759.99,0.414
759.01,0.419
758.03,0.423
757.05,0.395
756.0699999999999,0.401
755.09,0.398
754.11,0.384
753.13,0.361
752.15,0.347
751.17,0.341
750.1899999999999,0.348
749.21,0.346
748.23,0.386
747.25,0.395
746.27,0.377
745.29,0.386
744.31,0.383
743.33,0.352
742.35,0.362
741.37,0.334
740.39,0.331
739.41,0.343
738.43,0.363
737.4499999999999,0.378
736.47,0.352
735.49,0.335
734.51,0.312
733.53,0.341
732.55,0.338
731.5699999999999,0.330
730.59,0.335
729.61,0.329
728.63,0.340
727.65,0.337
726.67,0.337
725.6899999999999,0.302
724.71,0.306
723.73,0.319
722.75,0.353
721.77,0.362
720.79,0.329
719.81,0.324
718.83,0.342
717.85,0.347
716.87,0.331
715.89,0.311
714.91,0.332
713.93,0.322
712.9499999999999,0.372
711.97,0.369
710.99,0.314
710.01,0.292
709.03,0.290
708.05,0.290
707.0699999999999,0.331
706.09,0.369
705.11,0.373
704.13,0.360
703.15,0.329
702.17,0.345
701.1899999999999,0.301
700.21,0.322
699.23,0.329
698.25,0.330
697.27,0.336
696.29,0.371
695.31,0.367
694.33,0.355
693.35,0.329
692.37,0.323
691.39,0.351
690.41,0.336
689.43,0.318
688.4499999999999,0.330
687.47,0.387
686.49,0.343
685.51,0.377
684.53,0.405
683.55,0.415
682.5699999999999,0.417
681.59,0.423
680.61,0.414
679.63,0.406
678.65,0.395
677.67,0.453
676.6899999999999,0.427
675.71,0.424
674.73,0.422
673.75,0.414
672.77,0.431
671.79,0.414
670.81,0.438
669.83,0.452
668.85,0.484
667.87,0.453
666.89,0.466
665.91,0.481
664.93,0.512
663.9499999999999,0.543
662.97,0.628
661.99,0.740
661.01,0.860
660.03,0.964
659.05,1.000
658.0699999999999,0.946
657.09,0.900
656.11,0.851
655.13,0.770
654.15,0.718
653.17,0.679
652.1899999999999,0.639
651.21,0.628
650.23,0.630
649.25,0.637
648.27,0.606
647.29,0.568
646.31,0.554
645.33,0.532
644.35,0.501
643.37,0.457
642.39,0.461
641.41,0.458
640.43,0.433
639.4499999999999,0.475
638.47,0.494
637.49,0.494
636.51,0.466
635.53,0.472
634.55,0.447
633.5699999999999,0.450
632.59,0.451
631.61,0.445
630.63,0.485
629.65,0.484
628.67,0.480
627.6899999999999,0.454
626.71,0.484
625.73,0.450
624.75,0.476
623.77,0.487
622.79,0.482
621.81,0.472
620.83,0.469
619.85,0.448
618.87,0.446
617.89,0.439
616.91,0.410
615.93,0.423
614.95,0.399
613.97,0.379
612.99,0.347
612.01,0.316
611.03,0.329
610.05,0.333
609.0699999999999,0.303
608.09,0.318
607.11,0.330
606.13,0.320
605.15,0.311
604.17,0.298
603.1899999999999,0.309
602.21,0.288
601.23,0.290
600.25,0.289
599.27,0.277
598.29,0.288
597.31,0.268
596.33,0.278
595.35,0.279
594.37,0.274
593.39,0.285
592.41,0.278
591.43,0.288
590.45,0.290
589.47,0.308
588.49,0.347
587.51,0.339
586.53,0.353
585.55,0.379
584.5699999999999,0.393
583.59,0.476
582.61,0.595
581.63,0.707
580.65,0.833
579.67,0.891
578.6899999999999,0.898
577.71,0.881
576.73,0.845
575.75,0.752
574.77,0.703
573.79,0.674
572.81,0.637
571.83,0.594
570.85,0.575
569.87,0.549
568.89,0.508
567.91,0.502
566.93,0.460
565.95,0.416
564.97,0.377
563.99,0.354
563.01,0.322
562.03,0.309
561.05,0.328
560.0699999999999,0.291
559.09,0.286
558.11,0.276
557.13,0.277
556.15,0.269
555.17,0.249
554.1899999999999,0.247
553.21,0.244
552.23,0.251
551.25,0.265
550.27,0.268
549.29,0.268
548.31,0.248
547.33,0.256
546.35,0.245
545.37,0.261
544.39,0.260
543.41,0.239
542.43,0.241
541.45,0.244
540.47,0.235
539.49,0.233
538.51,0.248
537.53,0.236
536.55,0.249
535.5699999999999,0.251
534.59,0.252
533.61,0.257
532.63,0.237
531.65,0.253
530.67,0.259
529.6899999999999,0.258
528.71,0.253
527.73,0.266
526.75,0.258
525.77,0.253
524.79,0.265
523.81,0.272
522.83,0.283
521.85,0.291
520.87,0.308
519.89,0.293
518.91,0.321
517.93,0.356
516.95,0.360
515.97,0.376
514.99,0.418
514.01,0.385
513.03,0.384
512.05,0.365
511.07,0.332
510.09,0.320
509.11,0.349
508.13,0.337
507.15,0.322
506.17,0.302
505.19,0.311
504.21,0.290
503.23,0.311
502.25,0.303
501.27,0.279
500.28999999999996,0.286
499.31,0.311
498.33,0.287
497.34999999999997,0.265
496.37,0.267
495.39,0.244
494.40999999999997,0.252
493.43,0.243
492.45,0.239
491.46999999999997,0.238
490.49,0.233
489.51,0.231
488.53,0.229
487.55,0.241
486.57,0.226
485.59,0.235
484.61,0.238
483.63,0.248
482.65,0.273
481.67,0.263
480.69,0.260
479.71,0.265
478.73,0.265
477.75,0.243
476.77,0.229
475.78999999999996,0.218
474.81,0.224
473.83,0.219
472.84999999999997,0.222
471.87,0.237
470.89,0.240
469.90999999999997,0.255
468.93,0.256
467.95,0.267
466.96999999999997,0.260
465.99,0.254
465.01,0.249
464.03,0.259
463.05,0.298
462.07,0.407
461.09,0.472
460.11,0.486
459.13,0.455
458.15,0.399
457.17,0.369
456.19,0.333
455.21,0.316
454.23,0.270
453.25,0.289
452.27,0.280
451.28999999999996,0.265
450.31,0.279
449.33,0.268
448.34999999999997,0.271
447.37,0.238
446.39,0.220
445.40999999999997,0.202
444.43,0.205
443.45,0.204
442.46999999999997,0.202
441.49,0.201
440.51,0.204
439.53,0.214
438.55,0.206
437.57,0.213
436.59,0.204
435.61,0.204
434.63,0.185
433.65,0.180
432.67,0.187
431.69,0.187
430.71,0.185
429.73,0.179
428.75,0.186
427.77,0.182
426.79,0.184
425.81,0.176
424.83,0.170
423.84999999999997,0.166
422.87,0.166
421.89,0.166
420.90999999999997,0.165
419.93,0.161
418.95,0.175
417.96999999999997,0.174
416.99,0.158
416.01,0.152
415.03,0.148
414.05,0.161
413.07,0.163
412.09,0.157
411.11,0.165
410.13,0.163
409.15,0.162
408.17,0.172
407.19,0.172
406.21,0.154
405.23,0.152
404.25,0.149
403.27,0.153
402.29,0.163
401.31,0.169
400.33,0.178
399.34999999999997,0.174
398.37,0.161
397.39,0.168
396.40999999999997,0.158
395.43,0.160
