wavelength,amplitude
884.975,0.141
884.065,0.139
883.1550000000001,0.131
882.245,0.132
881.335,0.140
880.4250000000001,0.114
879.515,0.132
878.605,0.136
877.695,0.132
876.7850000000001,0.132
875.875,0.140
874.965,0.144
874.0550000000001,0.143
873.145,0.133
872.235,0.125
871.325,0.129
870.4150000000001,0.138
869.505,0.141
868.595,0.126
867.6850000000001,0.134
866.775,0.134
865.865,0.132
864.955,0.133
864.0450000000001,0.143
863.135,0.148
862.225,0.144
861.315,0.133
860.405,0.136
859.495,0.122
858.585,0.122
857.6750000000001,0.121
856.765,0.126
855.855,0.138
854.945,0.123
854.0350000000001,0.127
853.125,0.126
852.215,0.124
851.3050000000001,0.122
850.395,0.138
849.485,0.136
848.575,0.134
847.6650000000001,0.132
846.755,0.136
845.845,0.132
844.9350000000001,0.152
844.025,0.152
843.115,0.134
842.205,0.134
841.2950000000001,0.129
840.385,0.132
839.475,0.130
838.565,0.137
837.655,0.127
836.745,0.132
835.835,0.121
834.9250000000001,0.125
834.015,0.125
833.105,0.121
832.195,0.122
831.2850000000001,0.117
830.375,0.120
829.465,0.122
828.5550000000001,0.133
827.645,0.129
826.735,0.134
825.825,0.131
824.9150000000001,0.135
824.005,0.140
823.095,0.135
822.1850000000001,0.139
821.275,0.133
820.365,0.129
819.455,0.139
818.5450000000001,0.139
817.635,0.132
816.725,0.128
815.815,0.145
814.905,0.145
813.995,0.139
813.085,0.136
812.1750000000001,0.137
811.265,0.135
810.355,0.131
809.445,0.127
808.5350000000001,0.131
807.625,0.134
806.715,0.137
805.8050000000001,0.130
804.895,0.133
803.985,0.138
803.075,0.134
802.1650000000001,0.131
801.255,0.122
800.345,0.120
799.4350000000001,0.124
798.525,0.123
797.615,0.134
796.705,0.145
795.7950000000001,0.153
794.885,0.147
793.975,0.150
793.065,0.138
792.155,0.137
791.245,0.139
790.335,0.141
789.4250000000001,0.137
788.515,0.149
787.605,0.157
786.695,0.156
785.7850000000001,0.147
784.875,0.132
783.965,0.132
783.0550000000001,0.127
782.145,0.116
781.235,0.124
780.325,0.127
779.4150000000001,0.138
778.505,0.136
777.595,0.137
776.6850000000001,0.139
775.775,0.139
774.865,0.139
773.955,0.138
773.0450000000001,0.128
772.135,0.120
771.225,0.118
770.315,0.116
769.405,0.112
768.495,0.117
767.585,0.122
766.6750000000001,0.121
765.765,0.117
764.855,0.124
763.945,0.127
763.0350000000001,0.139
762.125,0.139
761.215,0.134
760.3050000000001,0.129
759.395,0.118
758.485,0.111
757.575,0.119
756.6650000000001,0.125
755.755,0.138
754.845,0.149
753.9350000000001,0.144
753.025,0.146
752.115,0.142
751.205,0.128
750.2950000000001,0.128
749.385,0.122
748.475,0.120
747.565,0.124
746.655,0.130
745.745,0.114
744.835,0.118
743.9250000000001,0.116
743.015,0.113
742.105,0.106
741.195,0.107
740.2850000000001,0.105
739.375,0.109
738.465,0.105
737.5550000000001,0.101
736.645,0.096
735.735,0.096
734.825,0.096
733.9150000000001,0.090
733.005,0.088
732.095,0.093
731.1850000000001,0.092
730.275,0.091
729.365,0.094
728.455,0.091
727.5450000000001,0.088
726.635,0.082
725.725,0.083
724.815,0.084
723.905,0.085
722.995,0.091
722.085,0.089
721.1750000000001,0.092
720.265,0.093
719.355,0.094
718.445,0.093
717.535,0.082
716.625,0.085
715.715,0.081
714.8050000000001,0.084
713.895,0.086
712.985,0.085
712.075,0.077
711.1650000000001,0.082
710.255,0.085
709.345,0.084
708.4350000000001,0.077
707.525,0.082
706.615,0.080
705.705,0.083
704.7950000000001,0.083
703.885,0.079
702.975,0.085
702.065,0.084
701.155,0.079
700.245,0.076
699.335,0.078
698.4250000000001,0.082
697.515,0.088
696.605,0.085
695.695,0.083
694.785,0.083
693.875,0.087
692.965,0.086
692.0550000000001,0.086
691.145,0.085
690.235,0.083
689.325,0.086
688.4150000000001,0.085
687.505,0.080
686.595,0.083
685.6850000000001,0.085
684.775,0.080
683.865,0.082
682.955,0.084
682.0450000000001,0.085
681.135,0.087
680.225,0.087
679.315,0.083
678.405,0.084
677.495,0.081
676.585,0.080
675.6750000000001,0.079
674.765,0.078
673.855,0.080
672.945,0.085
672.035,0.084
671.125,0.082
670.215,0.083
669.3050000000001,0.088
668.395,0.100
667.485,0.124
666.575,0.201
665.6650000000001,0.379
664.755,0.684
663.845,0.973
662.9350000000001,1.000
662.025,0.887
661.115,0.714
660.205,0.514
659.2950000000001,0.324
658.385,0.208
657.475,0.148
656.565,0.114
655.655,0.098
654.745,0.085
653.835,0.081
652.9250000000001,0.080
652.015,0.082
651.105,0.086
650.195,0.089
649.285,0.090
648.375,0.093
647.465,0.094
646.5550000000001,0.089
645.645,0.091
644.735,0.089
643.825,0.088
642.9150000000001,0.089
642.005,0.088
641.095,0.092
640.1850000000001,0.094
639.275,0.097
638.365,0.096
637.455,0.100
636.5450000000001,0.108
635.635,0.116
634.725,0.118
633.815,0.113
632.905,0.110
631.995,0.109
631.085,0.107
630.1750000000001,0.113
629.265,0.108
628.355,0.104
627.445,0.103
626.535,0.110
625.625,0.125
624.715,0.132
623.8050000000001,0.140
622.895,0.137
621.985,0.130
621.075,0.131
620.1650000000001,0.133
619.255,0.138
618.345,0.151
617.4350000000001,0.160
616.525,0.156
615.615,0.161
614.705,0.175
613.7950000000001,0.187
612.885,0.193
611.975,0.184
611.065,0.170
610.155,0.173
609.245,0.182
608.335,0.190
607.4250000000001,0.216
606.515,0.210
605.605,0.215
604.695,0.212
603.785,0.218
602.875,0.231
601.965,0.254
601.0550000000001,0.264
600.145,0.252
599.235,0.224
598.325,0.216
597.415,0.219
596.505,0.226
595.595,0.243
594.6850000000001,0.252
593.775,0.247
592.865,0.243
591.955,0.244
591.0450000000001,0.245
590.135,0.229
589.225,0.220
588.315,0.209
587.405,0.203
586.495,0.211
585.585,0.228
584.6750000000001,0.213
583.765,0.198
582.855,0.181
581.945,0.162
581.035,0.184
580.125,0.195
579.215,0.211
578.3050000000001,0.231
577.395,0.222
576.485,0.217
575.575,0.191
574.665,0.170
573.755,0.153
572.845,0.141
571.9350000000001,0.128
571.025,0.124
570.115,0.123
569.205,0.126
568.2950000000001,0.123
567.385,0.121
566.475,0.109
565.565,0.097
564.655,0.099
563.745,0.096
562.835,0.093
561.9250000000001,0.089
561.015,0.081
560.105,0.077
559.195,0.077
558.285,0.076
557.375,0.077
556.465,0.076
555.5550000000001,0.073
554.645,0.072
