wavelength,amplitude
956.48,0.582
955.5,0.524
954.52,0.472
953.54,0.440
952.56,0.423
951.5799999999999,0.439
950.6,0.400
949.62,0.348
948.64,0.302
947.66,0.267
946.68,0.253
945.6999999999999,0.246
944.72,0.248
943.74,0.256
942.76,0.274
941.78,0.308
940.8,0.361
939.8199999999999,0.399
938.84,0.405
937.86,0.349
936.88,0.290
935.9,0.244
934.92,0.212
933.9399999999999,0.199
932.96,0.203
931.98,0.248
931.0,0.339
930.02,0.482
929.04,0.705
928.06,0.935
927.0799999999999,1.000
926.1,0.937
925.12,0.795
924.14,0.623
923.16,0.471
922.18,0.357
921.1999999999999,0.279
920.22,0.243
919.24,0.253
918.26,0.222
917.28,0.182
916.3,0.145
915.3199999999999,0.118
914.34,0.091
913.36,0.076
912.38,0.066
911.4,0.060
910.42,0.059
909.4399999999999,0.055
908.46,0.054
907.48,0.055
906.5,0.054
905.52,0.055
904.54,0.053
903.56,0.050
902.5799999999999,0.049
901.6,0.047
900.62,0.047
899.64,0.050
898.66,0.055
897.68,0.058
896.6999999999999,0.061
895.72,0.058
894.74,0.058
893.76,0.056
892.78,0.055
891.8,0.058
890.8199999999999,0.070
889.84,0.092
888.86,0.127
887.88,0.156
886.9,0.148
885.92,0.120
884.9399999999999,0.093
883.96,0.072
882.98,0.061
882.0,0.057
881.02,0.058
880.04,0.056
879.06,0.055
878.0799999999999,0.056
877.1,0.051
876.12,0.052
875.14,0.052
874.16,0.050
873.18,0.050
872.1999999999999,0.052
871.22,0.061
870.24,0.072
869.26,0.088
868.28,0.104
867.3,0.114
866.3199999999999,0.146
865.34,0.181
864.36,0.205
863.38,0.206
862.4,0.180
861.42,0.143
860.4399999999999,0.113
859.46,0.101
858.48,0.099
857.5,0.103
856.52,0.109
855.54,0.132
854.56,0.168
853.58,0.232
852.6,0.392
851.62,0.582
850.64,0.726
849.66,0.716
848.68,0.595
847.6999999999999,0.448
846.72,0.304
845.74,0.188
844.76,0.118
843.78,0.097
842.8,0.080
841.8199999999999,0.071
840.84,0.067
839.86,0.069
838.88,0.058
837.9,0.052
836.92,0.049
835.9399999999999,0.045
834.96,0.051
833.98,0.047
833.0,0.044
832.02,0.043
831.04,0.042
830.06,0.038
829.08,0.036
828.1,0.036
827.12,0.033
826.14,0.036
825.16,0.035
824.18,0.035
823.1999999999999,0.035
822.22,0.034
821.24,0.036
820.26,0.035
819.28,0.033
818.3,0.032
817.3199999999999,0.033
816.34,0.031
815.36,0.034
814.38,0.035
813.4,0.032
812.42,0.032
811.4399999999999,0.032
810.46,0.034
809.48,0.035
808.5,0.035
807.52,0.031
806.54,0.029
805.56,0.031
804.58,0.033
803.6,0.033
802.62,0.030
801.64,0.030
800.66,0.033
799.68,0.034
798.6999999999999,0.031
797.72,0.032
796.74,0.029
795.76,0.028
794.78,0.029
793.8,0.029
792.8199999999999,0.030
791.84,0.031
790.86,0.029
789.88,0.030
788.9,0.030
787.92,0.028
786.9399999999999,0.029
785.96,0.030
784.98,0.032
784.0,0.030
783.02,0.028
782.04,0.027
781.06,0.027
780.08,0.029
779.1,0.030
778.12,0.028
777.14,0.027
776.16,0.027
775.18,0.026
774.1999999999999,0.024
773.22,0.026
772.24,0.027
771.26,0.025
770.28,0.024
769.3,0.027
768.3199999999999,0.027
767.34,0.027
766.36,0.027
765.38,0.026
764.4,0.025
763.42,0.024
762.4399999999999,0.023
761.46,0.024
760.48,0.026
759.5,0.027
758.52,0.026
757.54,0.025
756.56,0.027
755.58,0.025
754.6,0.026
753.62,0.026
752.64,0.027
751.66,0.026
750.68,0.024
749.6999999999999,0.024
748.72,0.025
747.74,0.024
746.76,0.027
745.78,0.028
744.8,0.027
743.8199999999999,0.025
742.84,0.024
741.86,0.024
740.88,0.023
739.9,0.024
738.92,0.024
737.9399999999999,0.026
736.96,0.024
735.98,0.025
735.0,0.025
734.02,0.025
733.04,0.023
732.06,0.023
731.08,0.023
730.1,0.023
729.12,0.024
728.14,0.026
727.16,0.027
726.18,0.027
725.1999999999999,0.026
724.22,0.026
723.24,0.027
722.26,0.026
721.28,0.026
720.3,0.025
719.3199999999999,0.024
718.34,0.024
717.36,0.027
716.38,0.028
715.4,0.027
714.42,0.027
713.4399999999999,0.027
712.46,0.025
711.48,0.024
710.5,0.026
709.52,0.026
708.54,0.027
707.56,0.027
706.58,0.027
705.6,0.027
704.62,0.025
703.64,0.026
