wavelength,amplitude
887.705,0.274
886.7950000000001,0.252
885.885,0.223
884.975,0.193
884.065,0.167
883.1550000000001,0.145
882.245,0.128
881.335,0.116
880.4250000000001,0.107
879.515,0.105
878.605,0.111
877.695,0.121
876.7850000000001,0.135
875.875,0.152
874.965,0.173
874.0550000000001,0.213
873.145,0.299
872.235,0.423
871.325,0.584
870.4150000000001,0.763
869.505,0.892
868.595,0.968
867.6850000000001,1.000
866.775,0.988
865.865,0.953
864.955,0.886
864.0450000000001,0.797
863.135,0.700
862.225,0.601
861.315,0.491
860.405,0.400
859.495,0.342
858.585,0.314
857.6750000000001,0.331
856.765,0.393
855.855,0.475
854.945,0.560
854.0350000000001,0.623
853.125,0.648
852.215,0.640
851.3050000000001,0.609
850.395,0.566
849.485,0.514
848.575,0.465
847.6650000000001,0.435
846.755,0.423
845.845,0.420
844.9350000000001,0.415
844.025,0.401
843.115,0.381
842.205,0.353
841.2950000000001,0.311
840.385,0.262
839.475,0.213
838.565,0.169
837.655,0.132
836.745,0.103
835.835,0.081
834.9250000000001,0.069
834.015,0.057
833.105,0.049
832.195,0.043
831.2850000000001,0.042
830.375,0.042
829.465,0.042
828.5550000000001,0.041
827.645,0.045
826.735,0.045
825.825,0.045
824.9150000000001,0.045
824.005,0.045
823.095,0.045
822.1850000000001,0.048
821.275,0.048
820.365,0.050
819.455,0.055
818.5450000000001,0.062
817.635,0.083
816.725,0.117
815.815,0.166
814.905,0.226
813.995,0.283
813.085,0.320
812.1750000000001,0.328
811.265,0.315
810.355,0.291
809.445,0.250
808.5350000000001,0.206
807.625,0.172
806.715,0.150
805.8050000000001,0.144
804.895,0.191
803.985,0.301
803.075,0.432
802.1650000000001,0.558
801.255,0.649
800.345,0.649
799.4350000000001,0.618
798.525,0.558
797.615,0.479
796.705,0.380
795.7950000000001,0.291
794.885,0.210
793.975,0.147
793.065,0.107
792.155,0.078
791.245,0.066
790.335,0.061
789.4250000000001,0.066
788.515,0.087
787.605,0.132
786.695,0.200
785.7850000000001,0.282
784.875,0.362
783.965,0.411
783.0550000000001,0.411
782.145,0.380
781.235,0.333
780.325,0.274
779.4150000000001,0.212
778.505,0.156
777.595,0.108
776.6850000000001,0.076
775.775,0.057
774.865,0.047
773.955,0.042
773.0450000000001,0.042
772.135,0.049
771.225,0.061
770.315,0.095
769.405,0.135
768.495,0.171
767.585,0.197
766.6750000000001,0.204
765.765,0.188
764.855,0.163
763.945,0.134
763.0350000000001,0.104
762.125,0.077
761.215,0.058
760.3050000000001,0.043
759.395,0.035
758.485,0.030
757.575,0.029
756.6650000000001,0.031
755.755,0.036
754.845,0.044
753.9350000000001,0.050
753.025,0.054
752.115,0.055
751.205,0.051
750.2950000000001,0.047
749.385,0.043
748.475,0.035
747.565,0.029
746.655,0.026
745.745,0.023
744.835,0.022
743.9250000000001,0.021
743.015,0.020
742.105,0.019
741.195,0.019
740.2850000000001,0.020
739.375,0.022
738.465,0.025
737.5550000000001,0.029
736.645,0.032
735.735,0.032
734.825,0.029
733.9150000000001,0.027
733.005,0.025
732.095,0.025
731.1850000000001,0.030
730.275,0.040
729.365,0.054
728.455,0.074
727.5450000000001,0.102
726.635,0.109
725.725,0.110
724.815,0.102
723.905,0.089
722.995,0.071
722.085,0.053
721.1750000000001,0.040
720.265,0.031
719.355,0.027
718.445,0.029
717.535,0.038
716.625,0.060
715.715,0.089
714.8050000000001,0.122
713.895,0.141
712.985,0.147
712.075,0.138
711.1650000000001,0.119
710.255,0.091
709.345,0.067
708.4350000000001,0.049
707.525,0.034
706.615,0.024
705.705,0.021
704.7950000000001,0.019
703.885,0.018
702.975,0.017
702.065,0.018
701.155,0.016
700.245,0.016
699.335,0.016
698.4250000000001,0.015
697.515,0.016
696.605,0.015
695.695,0.015
694.785,0.015
