wavelength,amplitude
886.7950000000001,0.176
885.885,0.170
884.975,0.167
884.065,0.171
883.1550000000001,0.166
882.245,0.167
881.335,0.159
880.4250000000001,0.152
879.515,0.150
878.605,0.150
877.695,0.161
876.7850000000001,0.162
875.875,0.162
874.965,0.162
874.0550000000001,0.159
873.145,0.159
872.235,0.157
871.325,0.157
870.4150000000001,0.154
869.505,0.165
868.595,0.164
867.6850000000001,0.165
866.775,0.159
865.865,0.152
864.955,0.149
864.0450000000001,0.154
863.135,0.153
862.225,0.154
861.315,0.148
860.405,0.149
859.495,0.158
858.585,0.159
857.6750000000001,0.162
856.765,0.162
855.855,0.155
854.945,0.155
854.0350000000001,0.150
853.125,0.144
852.215,0.150
851.3050000000001,0.146
850.395,0.145
849.485,0.144
848.575,0.143
847.6650000000001,0.135
846.755,0.139
845.845,0.141
844.9350000000001,0.141
844.025,0.143
843.115,0.137
842.205,0.139
841.2950000000001,0.142
840.385,0.143
839.475,0.143
838.565,0.142
837.655,0.135
836.745,0.138
835.835,0.142
834.9250000000001,0.141
834.015,0.136
833.105,0.129
832.195,0.126
831.2850000000001,0.127
830.375,0.136
829.465,0.133
828.5550000000001,0.133
827.645,0.137
826.735,0.137
825.825,0.137
824.9150000000001,0.134
824.005,0.138
823.095,0.137
822.1850000000001,0.139
821.275,0.139
820.365,0.134
819.455,0.138
818.5450000000001,0.142
817.635,0.134
816.725,0.134
815.815,0.137
814.905,0.132
813.995,0.126
813.085,0.131
812.1750000000001,0.130
811.265,0.127
810.355,0.129
809.445,0.126
808.5350000000001,0.132
807.625,0.130
806.715,0.126
805.8050000000001,0.125
804.895,0.128
803.985,0.123
803.075,0.128
802.1650000000001,0.124
801.255,0.126
800.345,0.121
799.4350000000001,0.127
798.525,0.125
797.615,0.125
796.705,0.124
795.7950000000001,0.123
794.885,0.128
793.975,0.129
793.065,0.131
792.155,0.138
791.245,0.131
790.335,0.134
789.4250000000001,0.135
788.515,0.132
787.605,0.136
786.695,0.135
785.7850000000001,0.136
784.875,0.140
783.965,0.146
783.0550000000001,0.150
782.145,0.155
781.235,0.156
780.325,0.148
779.4150000000001,0.144
778.505,0.151
777.595,0.154
776.6850000000001,0.160
775.775,0.171
774.865,0.188
773.955,0.212
773.0450000000001,0.236
772.135,0.252
771.225,0.255
770.315,0.266
769.405,0.256
768.495,0.233
767.585,0.216
766.6750000000001,0.192
765.765,0.159
764.855,0.135
763.945,0.123
763.0350000000001,0.118
762.125,0.113
761.215,0.113
760.3050000000001,0.109
759.395,0.110
758.485,0.108
757.575,0.107
756.6650000000001,0.116
755.755,0.119
754.845,0.119
753.9350000000001,0.123
753.025,0.129
752.115,0.154
751.205,0.189
750.2950000000001,0.243
749.385,0.320
748.475,0.436
747.565,0.526
746.655,0.593
745.745,0.633
744.835,0.642
743.9250000000001,0.621
743.015,0.567
742.105,0.501
741.195,0.433
740.2850000000001,0.360
739.375,0.303
738.465,0.276
737.5550000000001,0.268
736.645,0.268
735.735,0.267
734.825,0.249
733.9150000000001,0.231
733.005,0.210
732.095,0.182
731.1850000000001,0.161
730.275,0.134
729.365,0.122
728.455,0.121
727.5450000000001,0.120
726.635,0.127
725.725,0.140
724.815,0.186
723.905,0.257
722.995,0.369
722.085,0.549
721.1750000000001,0.748
720.265,0.891
719.355,0.974
718.445,1.000
717.535,0.984
716.625,0.908
715.715,0.809
714.8050000000001,0.693
713.895,0.552
712.985,0.403
712.075,0.296
711.1650000000001,0.242
710.255,0.241
709.345,0.297
708.4350000000001,0.379
707.525,0.465
706.615,0.531
705.705,0.560
704.7950000000001,0.554
703.885,0.515
702.975,0.446
702.065,0.375
701.155,0.288
700.245,0.204
699.335,0.150
698.4250000000001,0.115
697.515,0.102
696.605,0.092
695.695,0.088
694.785,0.088
693.875,0.088
692.965,0.083
692.0550000000001,0.086
691.145,0.088
690.235,0.092
689.325,0.091
688.4150000000001,0.093
687.505,0.095
686.595,0.100
685.6850000000001,0.114
684.775,0.132
683.865,0.158
682.955,0.214
682.0450000000001,0.273
681.135,0.336
680.225,0.397
679.315,0.450
678.405,0.501
677.495,0.533
676.585,0.549
675.6750000000001,0.552
674.765,0.532
673.855,0.486
672.945,0.439
672.035,0.389
671.125,0.338
670.215,0.291
669.3050000000001,0.270
668.395,0.273
667.485,0.284
666.575,0.302
665.6650000000001,0.320
664.755,0.312
663.845,0.303
662.9350000000001,0.293
662.025,0.284
661.115,0.291
660.205,0.323
659.2950000000001,0.374
658.385,0.443
657.475,0.530
656.565,0.576
655.655,0.594
654.745,0.588
653.835,0.563
652.9250000000001,0.520
652.015,0.446
651.105,0.377
650.195,0.315
649.285,0.268
648.375,0.253
647.465,0.303
646.5550000000001,0.396
645.645,0.546
644.735,0.710
643.825,0.840
642.9150000000001,0.914
