wavelength,amplitude
953.05,0.122
952.0699999999999,0.119
951.09,0.121
950.11,0.123
949.13,0.123
948.15,0.121
947.17,0.132
946.1899999999999,0.133
945.21,0.138
944.23,0.132
943.25,0.132
942.27,0.142
941.29,0.149
940.31,0.148
939.3299999999999,0.143
938.35,0.145
937.37,0.148
936.39,0.147
935.41,0.153
934.43,0.154
933.4499999999999,0.157
932.47,0.153
931.49,0.152
930.51,0.151
929.53,0.150
928.55,0.155
927.5699999999999,0.158
926.59,0.161
925.61,0.166
924.63,0.169
923.65,0.185
922.67,0.195
921.6899999999999,0.202
920.71,0.210
919.73,0.220
918.75,0.220
917.77,0.222
916.79,0.226
915.81,0.223
914.8299999999999,0.226
913.85,0.230
912.87,0.228
911.89,0.229
910.91,0.208
909.93,0.198
908.9499999999999,0.187
907.97,0.174
906.99,0.172
906.01,0.163
905.03,0.149
904.05,0.144
903.0699999999999,0.149
902.09,0.151
901.11,0.155
900.13,0.165
899.15,0.174
898.17,0.185
897.1899999999999,0.191
896.21,0.210
895.23,0.229
894.25,0.229
893.27,0.230
892.29,0.234
891.31,0.237
890.3299999999999,0.247
889.35,0.246
888.37,0.225
887.39,0.238
886.41,0.233
885.43,0.227
884.4499999999999,0.225
883.47,0.230
882.49,0.241
881.51,0.269
880.53,0.317
879.55,0.387
878.5699999999999,0.490
877.59,0.588
876.61,0.691
875.63,0.778
874.65,0.862
873.67,0.937
872.6899999999999,0.980
871.71,1.000
870.73,0.993
869.75,0.959
868.77,0.908
867.79,0.842
866.81,0.765
865.83,0.680
864.85,0.616
863.87,0.545
862.89,0.517
861.91,0.514
860.93,0.536
859.9499999999999,0.570
858.97,0.665
857.99,0.761
857.01,0.847
856.03,0.901
855.05,0.948
854.0699999999999,0.970
853.09,0.975
852.11,0.961
851.13,0.940
850.15,0.870
849.17,0.772
848.1899999999999,0.685
847.21,0.604
846.23,0.526
845.25,0.508
844.27,0.489
843.29,0.508
842.31,0.557
841.33,0.637
840.35,0.721
839.37,0.792
838.39,0.854
837.41,0.903
836.43,0.927
835.4499999999999,0.937
834.47,0.909
833.49,0.866
832.51,0.809
831.53,0.731
830.55,0.646
829.5699999999999,0.568
828.59,0.510
827.61,0.478
826.63,0.468
825.65,0.496
824.67,0.550
823.6899999999999,0.626
