wavelength,amplitude
955.5,0.074
954.52,0.066
953.54,0.065
952.56,0.065
951.5799999999999,0.062
950.6,0.065
949.62,0.066
948.64,0.064
947.66,0.062
946.68,0.065
945.6999999999999,0.063
944.72,0.063
943.74,0.065
942.76,0.060
941.78,0.061
940.8,0.062
939.8199999999999,0.066
938.84,0.068
937.86,0.067
936.88,0.077
935.9,0.083
934.92,0.082
933.9399999999999,0.086
932.96,0.089
931.98,0.095
931.0,0.094
930.02,0.092
929.04,0.091
928.06,0.094
927.0799999999999,0.095
926.1,0.087
925.12,0.087
924.14,0.088
923.16,0.079
922.18,0.083
921.1999999999999,0.077
920.22,0.077
919.24,0.076
918.26,0.072
917.28,0.070
916.3,0.072
915.3199999999999,0.072
914.34,0.073
913.36,0.073
912.38,0.077
911.4,0.078
910.42,0.076
909.4399999999999,0.073
908.46,0.065
907.48,0.065
906.5,0.068
905.52,0.070
904.54,0.064
903.56,0.063
902.5799999999999,0.062
901.6,0.062
900.62,0.055
899.64,0.057
898.66,0.058
897.68,0.054
896.6999999999999,0.051
895.72,0.056
894.74,0.048
893.76,0.049
892.78,0.049
891.8,0.048
890.8199999999999,0.047
889.84,0.046
888.86,0.044
887.88,0.044
886.9,0.047
885.92,0.043
884.9399999999999,0.046
883.96,0.047
882.98,0.049
882.0,0.050
881.02,0.048
880.04,0.050
879.06,0.049
878.0799999999999,0.053
877.1,0.061
876.12,0.051
875.14,0.052
874.16,0.052
873.18,0.051
872.1999999999999,0.049
871.22,0.053
870.24,0.052
869.26,0.053
868.28,0.052
867.3,0.047
866.3199999999999,0.050
865.34,0.053
864.36,0.052
863.38,0.054
862.4,0.058
861.42,0.056
860.4399999999999,0.061
859.46,0.063
858.48,0.065
857.5,0.062
856.52,0.065
855.54,0.065
854.56,0.066
853.58,0.069
852.6,0.056
851.62,0.055
850.64,0.053
849.66,0.051
848.68,0.049
847.6999999999999,0.045
846.72,0.048
845.74,0.047
844.76,0.045
843.78,0.050
842.8,0.053
841.8199999999999,0.054
840.84,0.052
839.86,0.051
838.88,0.048
837.9,0.049
836.92,0.050
835.9399999999999,0.049
834.96,0.050
833.98,0.055
833.0,0.050
832.02,0.047
831.04,0.046
830.06,0.043
829.08,0.042
828.1,0.047
827.12,0.047
826.14,0.043
825.16,0.047
824.18,0.046
823.1999999999999,0.050
822.22,0.046
821.24,0.039
820.26,0.045
819.28,0.048
818.3,0.048
817.3199999999999,0.047
816.34,0.044
815.36,0.041
814.38,0.044
813.4,0.043
812.42,0.046
811.4399999999999,0.048
810.46,0.045
809.48,0.042
808.5,0.041
807.52,0.043
806.54,0.037
805.56,0.040
804.58,0.041
803.6,0.041
802.62,0.045
801.64,0.047
800.66,0.042
799.68,0.041
798.6999999999999,0.040
797.72,0.045
796.74,0.046
795.76,0.044
794.78,0.044
793.8,0.047
792.8199999999999,0.051
791.84,0.052
790.86,0.055
789.88,0.057
788.9,0.060
787.92,0.067
786.9399999999999,0.071
785.96,0.077
784.98,0.082
784.0,0.085
783.02,0.094
782.04,0.099
781.06,0.104
780.08,0.100
779.1,0.090
778.12,0.103
777.14,0.094
776.16,0.088
775.18,0.078
774.1999999999999,0.077
773.22,0.070
772.24,0.064
771.26,0.059
770.28,0.056
769.3,0.059
768.3199999999999,0.061
767.34,0.060
766.36,0.059
765.38,0.057
764.4,0.056
763.42,0.054
762.4399999999999,0.054
761.46,0.054
760.48,0.052
759.5,0.052
758.52,0.053
757.54,0.057
756.56,0.057
755.58,0.058
754.6,0.059
753.62,0.052
752.64,0.051
751.66,0.051
750.68,0.046
749.6999999999999,0.052
748.72,0.051
747.74,0.049
746.76,0.050
745.78,0.048
744.8,0.046
743.8199999999999,0.045
742.84,0.044
741.86,0.041
740.88,0.045
739.9,0.049
738.92,0.049
737.9399999999999,0.050
736.96,0.050
735.98,0.048
735.0,0.046
734.02,0.045
733.04,0.043
732.06,0.042
731.08,0.046
730.1,0.045
729.12,0.045
728.14,0.049
727.16,0.047
726.18,0.045
725.1999999999999,0.048
724.22,0.051
723.24,0.056
722.26,0.054
721.28,0.055
720.3,0.058
719.3199999999999,0.060
718.34,0.060
717.36,0.064
716.38,0.062
715.4,0.063
714.42,0.066
713.4399999999999,0.064
712.46,0.066
711.48,0.069
710.5,0.072
709.52,0.077
708.54,0.079
707.56,0.087
706.58,0.086
705.6,0.086
704.62,0.086
703.64,0.092
702.66,0.091
701.68,0.090
700.6999999999999,0.091
699.72,0.092
698.74,0.089
697.76,0.085
696.78,0.083
695.8,0.084
694.8199999999999,0.086
693.84,0.088
692.86,0.086
691.88,0.087
690.9,0.090
689.92,0.091
688.9399999999999,0.098
687.96,0.104
686.98,0.111
686.0,0.119
685.02,0.130
684.04,0.146
683.06,0.160
682.08,0.170
681.1,0.179
680.12,0.190
679.14,0.197
678.16,0.210
677.18,0.214
676.1999999999999,0.217
675.22,0.225
674.24,0.223
673.26,0.223
672.28,0.226
671.3,0.221
670.3199999999999,0.220
669.34,0.222
668.36,0.224
667.38,0.233
666.4,0.249
665.42,0.268
664.4399999999999,0.293
663.46,0.329
662.48,0.375
661.5,0.435
