wavelength,amplitude
959.91,0.292
958.93,0.275
957.9499999999999,0.271
956.97,0.275
955.99,0.275
955.01,0.276
954.03,0.281
953.05,0.284
952.0699999999999,0.285
951.09,0.282
950.11,0.286
949.13,0.295
948.15,0.297
947.17,0.290
946.1899999999999,0.290
945.21,0.287
944.23,0.291
943.25,0.294
942.27,0.300
941.29,0.293
940.31,0.289
939.3299999999999,0.289
938.35,0.301
937.37,0.303
936.39,0.306
935.41,0.305
934.43,0.295
933.4499999999999,0.293
932.47,0.297
931.49,0.291
930.51,0.292
929.53,0.292
928.55,0.299
927.5699999999999,0.304
926.59,0.293
925.61,0.300
924.63,0.296
923.65,0.297
922.67,0.306
921.6899999999999,0.303
920.71,0.296
919.73,0.294
918.75,0.293
917.77,0.296
916.79,0.295
915.81,0.293
914.8299999999999,0.285
913.85,0.293
912.87,0.292
911.89,0.287
910.91,0.287
909.93,0.288
908.9499999999999,0.291
907.97,0.290
906.99,0.289
906.01,0.287
905.03,0.285
904.05,0.294
903.0699999999999,0.290
902.09,0.287
901.11,0.292
900.13,0.285
899.15,0.290
898.17,0.283
897.1899999999999,0.281
896.21,0.276
895.23,0.274
894.25,0.276
893.27,0.271
892.29,0.270
891.31,0.274
890.3299999999999,0.289
889.35,0.305
888.37,0.318
887.39,0.325
886.41,0.340
885.43,0.347
884.4499999999999,0.356
883.47,0.354
882.49,0.345
881.51,0.341
880.53,0.346
879.55,0.345
878.5699999999999,0.336
877.59,0.322
876.61,0.316
875.63,0.300
874.65,0.293
873.67,0.286
872.6899999999999,0.283
871.71,0.272
870.73,0.267
869.75,0.259
868.77,0.259
867.79,0.261
866.81,0.260
865.83,0.251
864.85,0.240
863.87,0.245
862.89,0.254
861.91,0.250
860.93,0.257
859.9499999999999,0.258
858.97,0.257
857.99,0.262
857.01,0.252
856.03,0.248
855.05,0.249
854.0699999999999,0.251
853.09,0.253
852.11,0.246
851.13,0.244
850.15,0.250
849.17,0.254
848.1899999999999,0.251
847.21,0.244
846.23,0.242
845.25,0.246
844.27,0.255
843.29,0.259
842.31,0.261
841.33,0.255
840.35,0.253
839.37,0.251
838.39,0.247
837.41,0.250
836.43,0.255
835.4499999999999,0.256
834.47,0.258
833.49,0.262
832.51,0.268
831.53,0.267
830.55,0.258
829.5699999999999,0.266
828.59,0.263
827.61,0.269
826.63,0.272
825.65,0.269
824.67,0.267
823.6899999999999,0.269
822.71,0.270
821.73,0.271
820.75,0.272
819.77,0.282
818.79,0.280
817.81,0.278
816.83,0.282
815.85,0.272
814.87,0.283
813.89,0.278
812.91,0.280
811.93,0.286
810.9499999999999,0.287
809.97,0.286
808.99,0.280
808.01,0.275
807.03,0.272
806.05,0.279
805.0699999999999,0.284
804.09,0.288
803.11,0.287
802.13,0.285
801.15,0.298
800.17,0.293
799.1899999999999,0.289
798.21,0.284
797.23,0.271
796.25,0.275
795.27,0.283
794.29,0.285
793.31,0.289
792.33,0.282
791.35,0.285
790.37,0.286
789.39,0.284
788.41,0.286
787.43,0.292
786.4499999999999,0.294
785.47,0.289
784.49,0.287
783.51,0.286
782.53,0.286
781.55,0.288
780.5699999999999,0.286
779.59,0.290
778.61,0.293
777.63,0.290
776.65,0.289
775.67,0.290
774.6899999999999,0.292
