wavelength,amplitude
956.97,0.103
955.99,0.090
955.01,0.086
954.03,0.088
953.05,0.092
952.0699999999999,0.084
951.09,0.085
950.11,0.085
949.13,0.081
948.15,0.084
947.17,0.079
946.1899999999999,0.080
945.21,0.081
944.23,0.080
943.25,0.083
942.27,0.085
941.29,0.086
940.31,0.083
939.3299999999999,0.080
938.35,0.085
937.37,0.087
936.39,0.085
935.41,0.082
934.43,0.079
933.4499999999999,0.083
932.47,0.076
931.49,0.078
930.51,0.080
929.53,0.080
928.55,0.079
927.5699999999999,0.083
926.59,0.083
925.61,0.077
924.63,0.080
923.65,0.074
922.67,0.077
921.6899999999999,0.079
920.71,0.079
919.73,0.072
918.75,0.079
917.77,0.079
916.79,0.075
915.81,0.082
914.8299999999999,0.079
913.85,0.076
912.87,0.078
911.89,0.076
910.91,0.074
909.93,0.070
908.9499999999999,0.075
907.97,0.079
906.99,0.073
906.01,0.080
905.03,0.076
904.05,0.081
903.0699999999999,0.080
902.09,0.074
901.11,0.070
900.13,0.074
899.15,0.072
898.17,0.074
897.1899999999999,0.076
896.21,0.075
895.23,0.072
894.25,0.074
893.27,0.077
892.29,0.068
891.31,0.062
890.3299999999999,0.068
889.35,0.068
888.37,0.075
887.39,0.077
886.41,0.082
885.43,0.073
884.4499999999999,0.072
883.47,0.077
882.49,0.069
881.51,0.071
880.53,0.069
879.55,0.069
878.5699999999999,0.079
877.59,0.078
876.61,0.072
875.63,0.078
874.65,0.084
873.67,0.074
872.6899999999999,0.077
871.71,0.080
870.73,0.064
869.75,0.070
868.77,0.057
867.79,0.064
866.81,0.070
865.83,0.068
864.85,0.068
863.87,0.079
862.89,0.076
861.91,0.077
860.93,0.071
859.9499999999999,0.077
858.97,0.076
857.99,0.081
857.01,0.084
856.03,0.078
855.05,0.091
854.0699999999999,0.087
853.09,0.075
852.11,0.072
851.13,0.070
850.15,0.070
849.17,0.071
848.1899999999999,0.066
847.21,0.064
846.23,0.067
845.25,0.069
844.27,0.069
843.29,0.063
842.31,0.069
841.33,0.076
840.35,0.073
839.37,0.075
838.39,0.072
837.41,0.073
836.43,0.071
835.4499999999999,0.080
834.47,0.078
833.49,0.077
832.51,0.071
831.53,0.072
830.55,0.072
829.5699999999999,0.072
828.59,0.070
827.61,0.067
826.63,0.068
825.65,0.069
824.67,0.075
823.6899999999999,0.072
822.71,0.079
821.73,0.078
820.75,0.074
819.77,0.079
818.79,0.081
817.81,0.081
816.83,0.074
815.85,0.074
814.87,0.073
813.89,0.078
812.91,0.079
811.93,0.085
810.9499999999999,0.084
809.97,0.089
808.99,0.091
808.01,0.089
807.03,0.094
806.05,0.089
805.0699999999999,0.090
804.09,0.100
803.11,0.099
802.13,0.101
801.15,0.101
800.17,0.100
799.1899999999999,0.101
798.21,0.112
797.23,0.105
796.25,0.107
795.27,0.109
794.29,0.107
793.31,0.116
792.33,0.123
791.35,0.122
790.37,0.124
789.39,0.124
788.41,0.120
787.43,0.123
786.4499999999999,0.125
785.47,0.131
784.49,0.127
783.51,0.125
782.53,0.130
781.55,0.127
780.5699999999999,0.130
779.59,0.120
778.61,0.118
777.63,0.124
776.65,0.131
775.67,0.134
774.6899999999999,0.132
773.71,0.136
772.73,0.140
771.75,0.139
770.77,0.137
769.79,0.146
768.81,0.138
767.83,0.143
766.85,0.151
765.87,0.157
764.89,0.159
763.91,0.166
762.93,0.170
761.9499999999999,0.172
760.97,0.173
759.99,0.177
759.01,0.177
758.03,0.177
757.05,0.178
756.0699999999999,0.184
755.09,0.183
754.11,0.184
753.13,0.191
752.15,0.193
751.17,0.187
750.1899999999999,0.202
749.21,0.205
748.23,0.205
747.25,0.199
746.27,0.208
745.29,0.215
744.31,0.219
743.33,0.225
742.35,0.226
741.37,0.230
740.39,0.237
739.41,0.242
738.43,0.249
737.4499999999999,0.255
736.47,0.256
735.49,0.253
734.51,0.260
733.53,0.273
732.55,0.281
731.5699999999999,0.289
730.59,0.296
729.61,0.302
728.63,0.316
727.65,0.325
726.67,0.335
725.6899999999999,0.337
724.71,0.342
723.73,0.345
722.75,0.351
721.77,0.362
720.79,0.367
719.81,0.371
718.83,0.376
