wavelength,amplitude
958.93,0.065
957.9499999999999,0.053
956.97,0.050
955.99,0.053
955.01,0.052
954.03,0.052
953.05,0.053
952.0699999999999,0.052
951.09,0.049
950.11,0.050
949.13,0.051
948.15,0.054
947.17,0.053
946.1899999999999,0.052
945.21,0.054
944.23,0.055
943.25,0.056
942.27,0.057
941.29,0.057
940.31,0.064
939.3299999999999,0.063
938.35,0.067
937.37,0.076
936.39,0.083
935.41,0.093
934.43,0.096
933.4499999999999,0.098
932.47,0.098
931.49,0.098
930.51,0.100
929.53,0.096
928.55,0.094
927.5699999999999,0.095
926.59,0.088
925.61,0.083
924.63,0.078
923.65,0.076
922.67,0.075
921.6899999999999,0.073
920.71,0.068
919.73,0.063
918.75,0.063
917.77,0.065
916.79,0.061
915.81,0.062
914.8299999999999,0.061
913.85,0.057
912.87,0.057
911.89,0.058
910.91,0.059
909.93,0.057
908.9499999999999,0.055
907.97,0.054
906.99,0.058
906.01,0.053
905.03,0.051
904.05,0.054
903.0699999999999,0.053
902.09,0.049
901.11,0.047
900.13,0.044
899.15,0.045
898.17,0.041
897.1899999999999,0.043
896.21,0.042
895.23,0.042
894.25,0.045
893.27,0.044
892.29,0.042
891.31,0.042
890.3299999999999,0.043
889.35,0.044
888.37,0.043
887.39,0.043
886.41,0.042
885.43,0.043
884.4499999999999,0.044
883.47,0.043
882.49,0.044
881.51,0.045
880.53,0.045
879.55,0.039
878.5699999999999,0.042
877.59,0.044
876.61,0.047
875.63,0.048
874.65,0.051
873.67,0.049
872.6899999999999,0.048
871.71,0.046
870.73,0.046
869.75,0.049
868.77,0.046
867.79,0.047
866.81,0.048
865.83,0.054
864.85,0.057
863.87,0.062
862.89,0.064
861.91,0.063
860.93,0.067
859.9499999999999,0.065
858.97,0.064
857.99,0.061
857.01,0.060
856.03,0.058
855.05,0.053
854.0699999999999,0.050
853.09,0.052
852.11,0.046
851.13,0.047
850.15,0.046
849.17,0.046
848.1899999999999,0.048
847.21,0.048
846.23,0.051
845.25,0.050
844.27,0.051
843.29,0.053
842.31,0.053
841.33,0.051
840.35,0.049
839.37,0.049
838.39,0.052
837.41,0.051
836.43,0.049
835.4499999999999,0.049
834.47,0.047
833.49,0.051
832.51,0.049
831.53,0.047
830.55,0.046
829.5699999999999,0.049
828.59,0.048
827.61,0.054
826.63,0.054
825.65,0.054
824.67,0.055
823.6899999999999,0.051
822.71,0.051
821.73,0.049
820.75,0.047
819.77,0.050
818.79,0.048
817.81,0.044
816.83,0.045
815.85,0.052
814.87,0.050
813.89,0.049
812.91,0.051
811.93,0.055
810.9499999999999,0.052
809.97,0.052
808.99,0.053
808.01,0.049
807.03,0.048
806.05,0.054
805.0699999999999,0.053
804.09,0.057
803.11,0.057
802.13,0.056
801.15,0.056
800.17,0.059
799.1899999999999,0.062
798.21,0.064
797.23,0.065
796.25,0.066
795.27,0.083
794.29,0.100
793.31,0.118
792.33,0.140
791.35,0.169
790.37,0.190
789.39,0.207
