wavelength,amplitude
956.48,0.354
955.5,0.349
954.52,0.347
953.54,0.350
952.56,0.353
951.5799999999999,0.353
950.6,0.350
949.62,0.350
948.64,0.353
947.66,0.351
946.68,0.353
945.6999999999999,0.365
944.72,0.368
943.74,0.362
942.76,0.367
941.78,0.366
940.8,0.373
939.8199999999999,0.374
938.84,0.368
937.86,0.373
936.88,0.378
935.9,0.383
934.92,0.389
933.9399999999999,0.394
932.96,0.398
931.98,0.401
931.0,0.405
930.02,0.407
929.04,0.410
928.06,0.419
927.0799999999999,0.419
926.1,0.420
925.12,0.428
924.14,0.432
923.16,0.425
922.18,0.425
921.1999999999999,0.425
920.22,0.425
919.24,0.420
918.26,0.422
917.28,0.425
916.3,0.430
915.3199999999999,0.436
914.34,0.432
913.36,0.427
912.38,0.427
911.4,0.425
910.42,0.418
909.4399999999999,0.429
908.46,0.427
907.48,0.424
906.5,0.427
905.52,0.428
904.54,0.432
903.56,0.438
902.5799999999999,0.439
901.6,0.439
900.62,0.440
899.64,0.438
898.66,0.434
897.68,0.438
896.6999999999999,0.447
895.72,0.444
894.74,0.445
893.76,0.440
892.78,0.433
891.8,0.432
890.8199999999999,0.432
889.84,0.423
888.86,0.419
887.88,0.420
886.9,0.419
885.92,0.427
884.9399999999999,0.429
883.96,0.431
882.98,0.430
882.0,0.427
881.02,0.427
880.04,0.425
879.06,0.427
878.0799999999999,0.424
877.1,0.408
876.12,0.410
875.14,0.406
874.16,0.399
873.18,0.401
872.1999999999999,0.398
871.22,0.396
870.24,0.388
869.26,0.375
868.28,0.368
867.3,0.357
866.3199999999999,0.349
865.34,0.339
864.36,0.326
863.38,0.317
862.4,0.314
861.42,0.307
860.4399999999999,0.299
859.46,0.286
858.48,0.282
857.5,0.279
856.52,0.285
855.54,0.295
854.56,0.298
853.58,0.308
852.6,0.324
851.62,0.339
850.64,0.349
849.66,0.360
848.68,0.378
847.6999999999999,0.397
846.72,0.407
845.74,0.412
844.76,0.418
843.78,0.425
842.8,0.429
841.8199999999999,0.434
840.84,0.437
839.86,0.433
838.88,0.430
837.9,0.429
836.92,0.431
835.9399999999999,0.433
834.96,0.424
833.98,0.423
833.0,0.426
832.02,0.428
831.04,0.419
830.06,0.426
829.08,0.426
828.1,0.425
827.12,0.425
826.14,0.422
825.16,0.417
824.18,0.421
823.1999999999999,0.425
822.22,0.419
821.24,0.414
820.26,0.415
819.28,0.413
818.3,0.411
817.3199999999999,0.409
816.34,0.406
815.36,0.404
814.38,0.401
813.4,0.399
812.42,0.396
811.4399999999999,0.388
810.46,0.388
809.48,0.390
808.5,0.388
807.52,0.388
806.54,0.398
805.56,0.400
804.58,0.398
803.6,0.397
802.62,0.391
801.64,0.393
800.66,0.395
799.68,0.397
798.6999999999999,0.399
797.72,0.402
796.74,0.410
795.76,0.417
794.78,0.423
