wavelength,amplitude
913.2600000000001,0.575
912.33,0.566
911.4000000000001,0.568
910.47,0.576
909.5400000000001,0.581
908.61,0.579
907.6800000000001,0.586
906.75,0.585
905.82,0.581
904.8900000000001,0.585
903.96,0.593
903.0300000000001,0.596
902.1,0.600
901.1700000000001,0.602
900.24,0.602
899.3100000000001,0.602
898.38,0.606
897.45,0.608
896.5200000000001,0.612
895.59,0.625
894.6600000000001,0.627
893.73,0.629
892.8000000000001,0.633
891.87,0.635
890.94,0.642
890.01,0.642
889.08,0.647
888.1500000000001,0.654
887.22,0.654
886.2900000000001,0.663
885.36,0.667
884.4300000000001,0.672
883.5,0.676
882.57,0.676
881.6400000000001,0.675
880.71,0.680
879.7800000000001,0.684
878.85,0.686
877.9200000000001,0.691
876.99,0.691
876.0600000000001,0.693
875.13,0.699
874.2,0.707
873.2700000000001,0.704
872.34,0.701
871.4100000000001,0.701
870.48,0.703
869.5500000000001,0.707
868.62,0.705
867.69,0.711
866.76,0.715
865.83,0.715
864.9000000000001,0.724
863.97,0.719
863.0400000000001,0.726
862.11,0.733
861.1800000000001,0.737
860.25,0.736
859.32,0.737
858.3900000000001,0.742
857.46,0.746
856.5300000000001,0.746
855.6,0.747
854.6700000000001,0.745
853.74,0.745
852.8100000000001,0.746
851.88,0.748
850.95,0.745
850.0200000000001,0.750
849.09,0.749
848.1600000000001,0.744
847.23,0.748
846.3000000000001,0.747
845.37,0.743
844.44,0.742
843.51,0.743
842.58,0.746
841.6500000000001,0.745
840.72,0.743
839.7900000000001,0.741
838.86,0.740
837.9300000000001,0.737
837.0,0.739
836.07,0.737
835.1400000000001,0.734
834.21,0.730
833.2800000000001,0.730
832.35,0.728
831.4200000000001,0.728
830.49,0.728
829.5600000000001,0.726
828.63,0.726
827.7,0.723
826.7700000000001,0.720
825.84,0.719
824.9100000000001,0.712
823.98,0.705
823.0500000000001,0.703
822.12,0.704
821.19,0.703
820.26,0.694
819.33,0.692
818.4000000000001,0.694
817.47,0.702
816.5400000000001,0.713
815.61,0.712
814.6800000000001,0.721
813.75,0.730
812.82,0.739
811.89,0.744
810.96,0.759
810.0300000000001,0.771
809.1,0.775
808.1700000000001,0.778
807.24,0.786
806.3100000000001,0.790
805.38,0.791
804.45,0.790
803.5200000000001,0.790
802.59,0.790
801.6600000000001,0.792
800.73,0.788
799.8000000000001,0.781
798.87,0.773
797.94,0.773
797.01,0.769
796.08,0.765
795.1500000000001,0.759
794.22,0.755
793.2900000000001,0.746
792.36,0.738
791.4300000000001,0.730
790.5,0.728
789.57,0.732
788.64,0.730
787.71,0.724
786.7800000000001,0.721
785.85,0.718
784.9200000000001,0.707
783.99,0.710
783.0600000000001,0.709
782.13,0.702
781.2,0.693
780.2700000000001,0.696
779.34,0.693
778.4100000000001,0.688
777.48,0.682
776.5500000000001,0.673
775.62,0.674
774.69,0.676
773.76,0.672
772.83,0.663
771.9000000000001,0.665
770.97,0.661
770.0400000000001,0.659
769.11,0.659
768.1800000000001,0.661
767.25,0.663
766.32,0.664
765.39,0.668
764.46,0.670
763.5300000000001,0.671
762.6,0.675
761.6700000000001,0.677
760.74,0.679
759.8100000000001,0.683
758.88,0.687
757.95,0.695
757.0200000000001,0.700
756.09,0.703
755.1600000000001,0.706
754.23,0.710
753.3000000000001,0.713
752.37,0.713
751.44,0.717
750.51,0.719
749.58,0.721
748.6500000000001,0.721
747.72,0.723
746.7900000000001,0.719
745.86,0.710
744.9300000000001,0.709
744.0,0.707
743.07,0.704
742.14,0.699
741.21,0.698
740.2800000000001,0.697
739.35,0.689
738.4200000000001,0.684
737.49,0.682
736.5600000000001,0.682
735.63,0.677
734.7,0.676
733.77,0.675
732.84,0.673
731.9100000000001,0.665
730.98,0.664
730.0500000000001,0.660
729.12,0.657
728.19,0.652
727.26,0.644
726.33,0.639
725.4000000000001,0.632
724.47,0.627
