wavelength,amplitude
963.83,0.191
962.8465,0.159
961.863,0.155
960.8795,0.187
959.8960000000001,0.212
958.9125,0.220
957.9290000000001,0.199
956.9455,0.196
955.962,0.192
954.9785,0.187
953.995,0.175
953.0115000000001,0.184
952.028,0.176
951.0445000000001,0.162
950.061,0.164
949.0775,0.159
948.094,0.157
947.1105,0.163
946.1270000000001,0.161
945.1435,0.175
944.1600000000001,0.181
943.1765,0.173
942.193,0.161
941.2095,0.169
940.226,0.193
939.2425000000001,0.189
938.259,0.173
937.2755000000001,0.168
936.292,0.184
935.3085000000001,0.166
934.325,0.167
933.3415,0.166
932.3580000000001,0.159
931.3745,0.154
930.3910000000001,0.164
929.4075,0.170
928.4240000000001,0.163
927.4405,0.160
926.457,0.162
925.4735000000001,0.167
924.49,0.169
923.5065000000001,0.172
922.523,0.178
921.5395000000001,0.189
920.556,0.183
919.5725,0.173
918.589,0.167
917.6055,0.174
916.6220000000001,0.172
915.6385,0.165
914.6550000000001,0.168
913.6715,0.185
912.688,0.167
911.7045,0.163
910.721,0.156
909.7375000000001,0.155
908.754,0.155
907.7705000000001,0.164
906.787,0.156
905.8035,0.161
904.82,0.163
903.8365,0.163
902.8530000000001,0.167
901.8695,0.161
900.8860000000001,0.163
899.9025,0.171
898.919,0.169
897.9355,0.172
896.952,0.157
895.9685000000001,0.160
894.985,0.169
894.0015000000001,0.168
893.018,0.183
892.0345000000001,0.175
891.051,0.167
890.0675,0.162
889.0840000000001,0.175
888.1005,0.176
887.1170000000001,0.162
886.1335,0.156
885.1500000000001,0.146
884.1665,0.151
883.183,0.152
882.1995000000001,0.156
881.216,0.165
880.2325000000001,0.169
879.249,0.162
878.2655000000001,0.149
877.282,0.147
876.2985,0.158
875.315,0.139
874.3315,0.131
873.3480000000001,0.140
872.3645,0.143
871.3810000000001,0.152
870.3975,0.157
869.414,0.162
868.4305,0.165
867.447,0.162
866.4635000000001,0.159
865.48,0.142
864.4965000000001,0.158
863.513,0.169
862.5295,0.181
861.546,0.189
860.5625,0.175
859.5790000000001,0.164
858.5955,0.158
857.6120000000001,0.144
856.6285,0.142
855.645,0.145
854.6615,0.160
853.678,0.161
852.6945000000001,0.152
851.711,0.144
850.7275000000001,0.150
849.744,0.144
848.7605,0.155
