wavelength,amplitude
830.025,0.274
829.175,0.282
828.3249999999999,0.288
827.475,0.288
826.625,0.278
825.775,0.274
824.925,0.276
824.0749999999999,0.284
823.225,0.289
822.375,0.291
821.525,0.286
820.675,0.285
819.8249999999999,0.285
818.975,0.285
818.125,0.292
817.275,0.289
816.425,0.301
815.5749999999999,0.309
814.725,0.308
813.875,0.311
813.025,0.312
812.175,0.313
811.3249999999999,0.321
810.475,0.319
809.625,0.336
808.775,0.327
807.925,0.327
807.0749999999999,0.327
806.225,0.324
805.375,0.332
804.525,0.335
803.675,0.333
802.8249999999999,0.329
801.975,0.334
801.125,0.332
800.275,0.336
799.425,0.340
798.5749999999999,0.345
797.725,0.344
796.875,0.345
796.025,0.346
795.175,0.349
794.3249999999999,0.350
793.475,0.350
792.625,0.360
791.775,0.359
790.925,0.345
790.0749999999999,0.336
789.225,0.330
788.375,0.319
787.525,0.318
786.675,0.328
785.8249999999999,0.333
784.975,0.326
784.125,0.331
783.275,0.335
782.425,0.332
781.5749999999999,0.326
780.725,0.322
779.875,0.327
779.025,0.333
778.175,0.336
777.3249999999999,0.343
776.475,0.340
775.625,0.349
774.775,0.356
773.925,0.356
773.0749999999999,0.349
772.225,0.347
771.375,0.345
770.525,0.337
769.675,0.330
768.8249999999999,0.343
767.975,0.341
767.125,0.337
766.275,0.332
765.425,0.337
764.5749999999999,0.322
763.725,0.322
762.875,0.320
762.025,0.309
761.175,0.291
760.3249999999999,0.298
759.475,0.306
758.625,0.307
757.775,0.300
756.925,0.299
756.0749999999999,0.300
755.225,0.300
754.375,0.300
753.525,0.296
752.675,0.294
751.8249999999999,0.294
750.975,0.294
750.125,0.286
749.275,0.282
748.425,0.281
747.5749999999999,0.274
746.725,0.270
745.875,0.273
745.025,0.256
744.175,0.261
743.3249999999999,0.258
742.475,0.251
741.625,0.253
740.775,0.246
739.925,0.247
739.0749999999999,0.254
738.225,0.260
737.375,0.252
736.525,0.265
735.675,0.283
734.8249999999999,0.301
733.975,0.316
733.125,0.328
732.275,0.332
731.425,0.339
730.5749999999999,0.345
729.725,0.351
728.875,0.352
728.025,0.359
727.175,0.358
726.3249999999999,0.356
725.475,0.350
724.625,0.353
723.775,0.357
722.925,0.359
722.0749999999999,0.356
721.225,0.353
720.375,0.357
719.525,0.352
718.675,0.353
717.8249999999999,0.358
716.975,0.357
716.125,0.362
715.275,0.358
714.425,0.358
713.5749999999999,0.363
712.725,0.358
711.875,0.368
711.025,0.374
710.175,0.369
709.3249999999999,0.357
708.475,0.360
707.625,0.361
706.775,0.361
705.925,0.363
705.0749999999999,0.364
704.225,0.361
703.375,0.351
702.525,0.348
701.675,0.350
700.8249999999999,0.338
699.975,0.344
699.125,0.346
698.275,0.344
697.425,0.346
696.5749999999999,0.349
695.725,0.349
694.875,0.358
694.025,0.363
693.175,0.365
692.3249999999999,0.377
691.475,0.374
690.625,0.378
689.775,0.386
688.925,0.387
688.0749999999999,0.391
687.225,0.401
686.375,0.403
685.525,0.405
684.675,0.416
683.8249999999999,0.424
682.975,0.431
682.125,0.438
681.275,0.438
680.425,0.433
679.5749999999999,0.435
678.725,0.434
677.875,0.431
677.025,0.426
676.175,0.427
675.3249999999999,0.424
674.475,0.414
673.625,0.406
672.775,0.407
671.925,0.398
671.0749999999999,0.411
670.225,0.413
669.375,0.405
668.525,0.403
667.675,0.412
666.8249999999999,0.411
665.975,0.416
665.125,0.421
664.275,0.421
663.425,0.422
662.5749999999999,0.424
661.725,0.425
660.875,0.420
660.025,0.417
659.175,0.417
658.3249999999999,0.413
657.475,0.408
656.625,0.407
655.775,0.397
654.925,0.392
654.0749999999999,0.388
653.225,0.382
652.375,0.387
651.525,0.383
650.675,0.386
649.8249999999999,0.387
648.975,0.390
648.125,0.395
647.275,0.401
646.425,0.403
645.5749999999999,0.409
644.725,0.413
643.875,0.417
643.025,0.426
642.175,0.426
641.3249999999999,0.428
640.475,0.430
639.625,0.429
638.775,0.434
637.925,0.438
637.0749999999999,0.439
636.225,0.439
635.375,0.440
634.525,0.441
633.675,0.443
632.8249999999999,0.445
631.975,0.449
631.125,0.456
630.275,0.456
629.425,0.459
628.5749999999999,0.462
627.725,0.469
626.875,0.475
626.025,0.482
625.175,0.485
624.3249999999999,0.487
623.475,0.483
622.625,0.486
621.775,0.487
620.925,0.488
620.0749999999999,0.488
619.225,0.490
618.375,0.491
617.525,0.496
616.675,0.500
615.8249999999999,0.500
614.975,0.502
614.125,0.502
613.275,0.505
612.425,0.510
611.5749999999999,0.518
610.725,0.520
609.875,0.526
609.025,0.529
608.175,0.533
607.3249999999999,0.534
606.475,0.535
605.625,0.537
604.775,0.544
603.925,0.547
603.0749999999999,0.552
602.225,0.554
601.375,0.560
600.525,0.567
599.675,0.565
598.8249999999999,0.572
597.975,0.571
597.125,0.572
596.275,0.575
595.425,0.578
594.5749999999999,0.583
593.725,0.587
592.875,0.587
592.025,0.584
591.175,0.588
590.3249999999999,0.591
589.475,0.594
588.625,0.595
587.775,0.594
586.925,0.590
586.0749999999999,0.595
585.225,0.600
584.375,0.605
583.525,0.613
582.675,0.616
581.8249999999999,0.622
580.975,0.629
580.125,0.638
579.275,0.643
578.425,0.652
577.5749999999999,0.663
576.725,0.672
575.875,0.679
575.025,0.692
574.175,0.706
573.3249999999999,0.719
572.475,0.728
571.625,0.739
570.775,0.757
569.925,0.759
569.0749999999999,0.762
568.225,0.766
567.375,0.770
566.525,0.776
565.675,0.789
564.8249999999999,0.794
563.975,0.797
563.125,0.798
562.275,0.807
561.425,0.809
560.5749999999999,0.806
559.725,0.802
558.875,0.807
558.025,0.812
557.175,0.815
556.3249999999999,0.819
555.475,0.827
554.625,0.841
553.775,0.840
552.925,0.844
552.0749999999999,0.855
551.225,0.861
550.375,0.870
549.525,0.874
548.675,0.879
547.8249999999999,0.886
546.975,0.886
546.125,0.903
545.275,0.905
544.425,0.915
543.5749999999999,0.923
542.725,0.922
541.875,0.925
541.025,0.926
540.175,0.920
539.3249999999999,0.912
538.475,0.906
537.625,0.892
536.775,0.879
535.925,0.865
535.0749999999999,0.848
534.225,0.821
533.375,0.797
532.525,0.772
531.675,0.751
530.8249999999999,0.738
529.975,0.713
529.125,0.698
528.275,0.683
527.425,0.670
526.5749999999999,0.664
525.725,0.657
524.875,0.656
524.025,0.656
523.175,0.655
522.3249999999999,0.655
521.475,0.666
520.625,0.675
519.775,0.680
518.925,0.684
518.0749999999999,0.686
517.225,0.688
516.375,0.689
515.525,0.691
514.675,0.697
513.8249999999999,0.695
512.975,0.698
512.125,0.703
511.275,0.703
510.425,0.708
509.575,0.714
508.72499999999997,0.720
507.875,0.727
507.025,0.734
506.175,0.738
505.325,0.744
504.47499999999997,0.748
503.625,0.749
502.775,0.753
501.925,0.754
501.075,0.755
500.22499999999997,0.759
499.375,0.764
498.525,0.767
497.675,0.762
496.825,0.762
495.97499999999997,0.764
495.125,0.766
494.275,0.768
493.425,0.771
492.575,0.773
491.72499999999997,0.777
490.875,0.781
490.025,0.786
489.175,0.788
488.325,0.789
487.47499999999997,0.791
486.625,0.795
485.775,0.795
484.925,0.795
484.075,0.795
483.22499999999997,0.793
482.375,0.793
481.525,0.790
480.675,0.787
479.825,0.786
478.97499999999997,0.787
478.125,0.780
477.275,0.783
476.425,0.784
475.575,0.786
474.72499999999997,0.789
473.875,0.794
473.025,0.799
472.175,0.809
471.325,0.822
470.47499999999997,0.836
469.625,0.850
468.775,0.865
467.925,0.880
467.075,0.893
466.22499999999997,0.905
465.375,0.914
464.525,0.921
463.675,0.926
462.825,0.931
461.97499999999997,0.936
461.125,0.942
460.275,0.948
459.425,0.953
458.575,0.960
457.72499999999997,0.967
456.875,0.972
456.025,0.980
455.175,0.986
454.325,0.991
453.47499999999997,0.992
452.625,0.995
451.775,0.998
450.925,1.000
450.075,0.997
449.22499999999997,0.990
448.375,0.986
447.525,0.982
446.675,0.975
445.825,0.971
444.97499999999997,0.965
444.125,0.960
443.275,0.952
442.425,0.942
441.575,0.938
440.72499999999997,0.928
439.875,0.918
439.025,0.906
438.175,0.891
437.325,0.867
436.47499999999997,0.843
435.625,0.808
434.775,0.772
433.925,0.732
433.075,0.692
432.22499999999997,0.649
431.375,0.609
430.525,0.568
429.675,0.533
428.825,0.494
427.97499999999997,0.470
427.125,0.461
426.275,0.465
425.425,0.472
424.575,0.474
423.72499999999997,0.477
422.875,0.480
422.025,0.484
421.175,0.483
420.325,0.483
419.47499999999997,0.487
418.625,0.488
417.775,0.486
416.925,0.489
416.075,0.490
415.22499999999997,0.489
414.375,0.486
413.525,0.486
412.675,0.484
411.825,0.485
410.97499999999997,0.484
410.125,0.483
409.275,0.482
408.425,0.476
407.575,0.472
406.72499999999997,0.469
405.875,0.467
405.025,0.465
404.175,0.462
403.325,0.459
402.47499999999997,0.456
401.625,0.457
400.775,0.455
399.925,0.452
399.075,0.448
398.22499999999997,0.447
397.375,0.442
396.525,0.437
395.675,0.431
394.825,0.429
393.97499999999997,0.425
393.125,0.423
392.275,0.421
391.425,0.422
390.575,0.421
389.72499999999997,0.420
388.875,0.418
388.025,0.419
387.175,0.419
386.325,0.418
385.47499999999997,0.416
384.625,0.416
383.775,0.415
382.925,0.414
382.075,0.409
381.22499999999997,0.406
380.375,0.399
