wavelength,amplitude
824.0749999999999,0.976
823.225,0.913
822.375,0.925
821.525,1.000
820.675,0.954
819.8249999999999,0.877
818.975,0.809
818.125,0.780
817.275,0.744
816.425,0.733
815.5749999999999,0.768
814.725,0.846
813.875,0.856
813.025,0.846
812.175,0.783
811.3249999999999,0.778
810.475,0.804
809.625,0.829
808.775,0.834
807.925,0.922
807.0749999999999,0.951
806.225,0.956
805.375,0.839
804.525,0.758
803.675,0.789
802.8249999999999,0.800
801.975,0.791
801.125,0.760
800.275,0.702
799.425,0.694
798.5749999999999,0.682
797.725,0.706
796.875,0.732
796.025,0.734
795.175,0.738
794.3249999999999,0.736
793.475,0.732
792.625,0.742
791.775,0.753
790.925,0.779
790.0749999999999,0.759
789.225,0.737
788.375,0.740
787.525,0.695
786.675,0.710
785.8249999999999,0.743
784.975,0.764
784.125,0.788
783.275,0.773
782.425,0.776
781.5749999999999,0.732
780.725,0.677
779.875,0.624
779.025,0.621
778.175,0.631
777.3249999999999,0.665
776.475,0.665
775.625,0.680
774.775,0.697
773.925,0.658
773.0749999999999,0.630
772.225,0.649
771.375,0.667
770.525,0.642
769.675,0.636
768.8249999999999,0.651
767.975,0.634
767.125,0.719
766.275,0.692
765.425,0.663
764.5749999999999,0.616
763.725,0.618
762.875,0.647
762.025,0.676
761.175,0.676
760.3249999999999,0.662
759.475,0.734
758.625,0.704
757.775,0.633
756.925,0.606
756.0749999999999,0.574
755.225,0.557
754.375,0.568
753.525,0.575
752.675,0.547
751.8249999999999,0.534
750.975,0.587
750.125,0.609
749.275,0.644
748.425,0.637
747.5749999999999,0.592
746.725,0.551
745.875,0.556
745.025,0.576
744.175,0.602
743.3249999999999,0.555
742.475,0.529
741.625,0.517
740.775,0.485
739.925,0.472
739.0749999999999,0.501
738.225,0.537
737.375,0.563
736.525,0.598
735.675,0.636
734.8249999999999,0.570
733.975,0.533
733.125,0.538
732.275,0.533
731.425,0.489
730.5749999999999,0.499
729.725,0.494
728.875,0.499
728.025,0.488
727.175,0.520
726.3249999999999,0.563
725.475,0.532
724.625,0.528
723.775,0.576
722.925,0.546
722.0749999999999,0.533
721.225,0.530
720.375,0.517
719.525,0.493
718.675,0.473
717.8249999999999,0.442
716.975,0.451
716.125,0.451
715.275,0.514
714.425,0.531
713.5749999999999,0.501
712.725,0.507
711.875,0.532
711.025,0.529
710.175,0.499
709.3249999999999,0.444
708.475,0.427
707.625,0.414
706.775,0.430
705.925,0.389
705.0749999999999,0.387
704.225,0.398
703.375,0.390
702.525,0.391
701.675,0.434
700.8249999999999,0.460
699.975,0.496
699.125,0.458
698.275,0.392
697.425,0.416
696.5749999999999,0.420
695.725,0.401
694.875,0.375
694.025,0.404
693.175,0.418
692.3249999999999,0.412
691.475,0.423
690.625,0.389
689.775,0.401
688.925,0.400
688.0749999999999,0.393
687.225,0.379
686.375,0.373
685.525,0.393
684.675,0.391
683.8249999999999,0.382
682.975,0.400
682.125,0.406
681.275,0.385
680.425,0.370
679.5749999999999,0.371
678.725,0.407
677.875,0.395
677.025,0.370
676.175,0.365
675.3249999999999,0.363
674.475,0.394
673.625,0.396
672.775,0.405
671.925,0.400
671.0749999999999,0.423
670.225,0.420
669.375,0.404
668.525,0.410
667.675,0.391
666.8249999999999,0.393
665.975,0.420
665.125,0.421
664.275,0.397
663.425,0.381
662.5749999999999,0.381
661.725,0.385
660.875,0.383
660.025,0.368
659.175,0.334
658.3249999999999,0.366
657.475,0.392
656.625,0.399
655.775,0.393
654.925,0.400
654.0749999999999,0.383
653.225,0.380
652.375,0.359
651.525,0.349
650.675,0.350
649.8249999999999,0.365
648.975,0.359
648.125,0.351
647.275,0.341
646.425,0.344
645.5749999999999,0.351
644.725,0.352
643.875,0.358
643.025,0.351
642.175,0.346
641.3249999999999,0.320
640.475,0.323
639.625,0.325
638.775,0.352
637.925,0.340
637.0749999999999,0.335
636.225,0.342
635.375,0.347
634.525,0.338
633.675,0.339
632.8249999999999,0.355
631.975,0.355
631.125,0.351
630.275,0.389
629.425,0.351
628.5749999999999,0.342
627.725,0.347
626.875,0.372
626.025,0.354
625.175,0.336
624.3249999999999,0.335
623.475,0.352
622.625,0.370
621.775,0.376
620.925,0.388
620.0749999999999,0.378
619.225,0.377
618.375,0.371
617.525,0.351
616.675,0.360
615.8249999999999,0.370
614.975,0.365
614.125,0.367
613.275,0.375
612.425,0.353
611.5749999999999,0.388
610.725,0.436
609.875,0.405
609.025,0.422
608.175,0.410
607.3249999999999,0.417
606.475,0.433
605.625,0.426
604.775,0.432
603.925,0.457
603.0749999999999,0.482
602.225,0.490
601.375,0.484
600.525,0.476
599.675,0.456
598.8249999999999,0.462
597.975,0.485
597.125,0.488
596.275,0.466
595.425,0.454
594.5749999999999,0.450
593.725,0.463
592.875,0.474
592.025,0.515
591.175,0.541
590.3249999999999,0.524
589.475,0.514
588.625,0.508
587.775,0.509
586.925,0.524
586.0749999999999,0.549
585.225,0.542
584.375,0.524
583.525,0.505
582.675,0.511
581.8249999999999,0.530
580.975,0.577
580.125,0.592
579.275,0.593
578.425,0.612
577.5749999999999,0.621
576.725,0.611
575.875,0.598
575.025,0.561
574.175,0.529
573.3249999999999,0.555
572.475,0.544
571.625,0.564
570.775,0.595
569.925,0.636
569.0749999999999,0.621
568.225,0.600
567.375,0.597
566.525,0.604
565.675,0.591
564.8249999999999,0.553
563.975,0.551
563.125,0.563
562.275,0.593
561.425,0.598
560.5749999999999,0.593
559.725,0.572
558.875,0.565
558.025,0.565
557.175,0.547
556.3249999999999,0.579
