wavelength,amplitude
999.6,0.831
998.75,0.928
997.9,0.991
997.05,0.971
996.1999999999999,0.899
995.35,0.815
994.5,0.818
993.65,0.825
992.8,0.782
991.9499999999999,0.836
991.1,0.849
990.25,0.828
989.4,0.882
988.55,0.838
987.6999999999999,0.845
986.85,0.930
986.0,1.000
985.15,0.974
984.3,0.838
983.4499999999999,0.817
982.6,0.784
981.75,0.785
980.9,0.756
980.05,0.808
979.1999999999999,0.804
978.35,0.792
977.5,0.819
976.65,0.849
975.8,0.794
974.9499999999999,0.735
974.1,0.735
973.25,0.849
972.4,0.783
971.55,0.810
970.6999999999999,0.816
969.85,0.793
969.0,0.769
968.15,0.841
967.3,0.799
966.4499999999999,0.722
965.6,0.730
964.75,0.723
963.9,0.753
963.05,0.770
962.1999999999999,0.775
961.35,0.858
960.5,0.835
959.65,0.832
958.8,0.825
957.9499999999999,0.782
957.1,0.832
956.25,0.853
955.4,0.786
954.55,0.810
953.6999999999999,0.890
952.85,0.930
952.0,0.758
951.15,0.830
950.3,0.901
949.4499999999999,0.854
948.6,0.715
947.75,0.706
946.9,0.723
946.05,0.769
945.1999999999999,0.833
944.35,0.762
943.5,0.720
942.65,0.721
941.8,0.740
940.9499999999999,0.690
940.1,0.637
939.25,0.716
938.4,0.710
937.55,0.718
936.6999999999999,0.761
935.85,0.818
935.0,0.792
934.15,0.760
933.3,0.708
932.4499999999999,0.704
931.6,0.724
930.75,0.693
929.9,0.672
929.05,0.719
928.1999999999999,0.754
927.35,0.726
926.5,0.726
925.65,0.733
924.8,0.710
923.9499999999999,0.694
923.1,0.773
922.25,0.770
921.4,0.726
920.55,0.688
919.6999999999999,0.743
918.85,0.743
918.0,0.730
917.15,0.737
916.3,0.710
915.4499999999999,0.730
914.6,0.717
913.75,0.730
912.9,0.713
912.05,0.747
911.1999999999999,0.721
910.35,0.677
909.5,0.689
908.65,0.708
907.8,0.666
906.9499999999999,0.704
906.1,0.737
905.25,0.736
904.4,0.717
903.55,0.668
902.6999999999999,0.627
901.85,0.629
901.0,0.658
900.15,0.681
899.3,0.663
898.4499999999999,0.769
897.6,0.777
896.75,0.680
895.9,0.676
895.05,0.617
894.1999999999999,0.565
893.35,0.576
892.5,0.669
891.65,0.659
890.8,0.596
889.9499999999999,0.585
889.1,0.606
888.25,0.680
887.4,0.683
886.55,0.747
885.6999999999999,0.733
884.85,0.652
884.0,0.653
883.15,0.707
882.3,0.611
881.4499999999999,0.605
880.6,0.637
879.75,0.615
878.9,0.578
878.05,0.552
877.1999999999999,0.587
876.35,0.695
875.5,0.687
874.65,0.632
873.8,0.629
872.9499999999999,0.677
872.1,0.685
871.25,0.710
870.4,0.751
869.55,0.649
868.6999999999999,0.613
867.85,0.661
867.0,0.652
866.15,0.608
865.3,0.600
864.4499999999999,0.586
863.6,0.540
862.75,0.562
861.9,0.622
861.05,0.655
860.1999999999999,0.645
859.35,0.563
858.5,0.634
857.65,0.705
856.8,0.708
855.9499999999999,0.693
855.1,0.602
854.25,0.585
853.4,0.589
852.55,0.577
851.6999999999999,0.598
850.85,0.500
850.0,0.571
849.15,0.635
848.3,0.632
847.4499999999999,0.667
846.6,0.605
845.75,0.570
844.9,0.581
844.05,0.609
843.1999999999999,0.591
842.35,0.557
841.5,0.595
840.65,0.621
839.8,0.653
838.9499999999999,0.579
838.1,0.574
837.25,0.604
836.4,0.613
835.55,0.643
834.6999999999999,0.562
833.85,0.574
833.0,0.595
832.15,0.596
831.3,0.564
830.4499999999999,0.619
829.6,0.601
828.75,0.629
827.9,0.708
827.05,0.592
826.1999999999999,0.522
825.35,0.507
824.5,0.532
823.65,0.610
822.8,0.562
821.9499999999999,0.559
821.1,0.650
820.25,0.666
819.4,0.676
818.55,0.619
817.6999999999999,0.598
816.85,0.565
816.0,0.606
815.15,0.643
814.3,0.642
813.4499999999999,0.608
812.6,0.615
811.75,0.684
810.9,0.656
810.05,0.576
809.1999999999999,0.539
808.35,0.517
807.5,0.500
806.65,0.567
805.8,0.533
804.9499999999999,0.498
804.1,0.512
803.25,0.544
802.4,0.514
801.55,0.574
800.6999999999999,0.530
799.85,0.506
799.0,0.531
798.15,0.528
797.3,0.517
796.4499999999999,0.503
795.6,0.527
794.75,0.536
793.9,0.543
793.05,0.547
792.1999999999999,0.521
791.35,0.493
790.5,0.557
789.65,0.533
788.8,0.510
787.9499999999999,0.503
787.1,0.506
786.25,0.425
785.4,0.539
784.55,0.533
783.6999999999999,0.506
782.85,0.534
782.0,0.550
781.15,0.519
780.3,0.486
779.4499999999999,0.482
778.6,0.430
777.75,0.462
776.9,0.494
776.05,0.542
775.1999999999999,0.520
774.35,0.487
773.5,0.512
772.65,0.504
771.8,0.492
770.9499999999999,0.530
770.1,0.525
769.25,0.454
768.4,0.454
767.55,0.478
766.6999999999999,0.524
765.85,0.494
765.0,0.514
764.15,0.532
763.3,0.493
762.4499999999999,0.476
761.6,0.441
760.75,0.441
759.9,0.465
759.05,0.499
758.1999999999999,0.501
757.35,0.494
756.5,0.460
755.65,0.446
754.8,0.451
753.9499999999999,0.446
753.1,0.429
752.25,0.415
751.4,0.395
750.55,0.417
749.6999999999999,0.461
748.85,0.454
748.0,0.450
747.15,0.424
746.3,0.411
745.4499999999999,0.402
744.6,0.402
743.75,0.395
742.9,0.434
742.05,0.393
741.1999999999999,0.386
740.35,0.384
739.5,0.393
738.65,0.402
737.8,0.421
736.9499999999999,0.470
736.1,0.457
735.25,0.418
734.4,0.395
733.55,0.376
732.6999999999999,0.387
731.85,0.392
731.0,0.402
730.15,0.411
729.3,0.376
728.4499999999999,0.436
727.6,0.419
726.75,0.361
725.9,0.343
725.05,0.398
724.1999999999999,0.384
723.35,0.380
722.5,0.404
721.65,0.387
720.8,0.390
719.9499999999999,0.379
719.1,0.367
718.25,0.338
717.4,0.355
716.55,0.372
715.6999999999999,0.348
714.85,0.375
714.0,0.390
713.15,0.370
712.3,0.366
711.4499999999999,0.372
710.6,0.348
709.75,0.343
708.9,0.360
708.05,0.365
707.1999999999999,0.346
706.35,0.356
705.5,0.335
704.65,0.359
703.8,0.366
702.9499999999999,0.344
702.1,0.322
701.25,0.369
700.4,0.326
699.55,0.338
698.6999999999999,0.329
697.85,0.304
697.0,0.333
696.15,0.361
695.3,0.362
694.4499999999999,0.346
693.6,0.330
692.75,0.341
691.9,0.330
691.05,0.343
690.1999999999999,0.334
689.35,0.302
688.5,0.304
687.65,0.338
686.8,0.330
685.9499999999999,0.314
685.1,0.331
684.25,0.309
683.4,0.334
682.55,0.338
681.6999999999999,0.334
680.85,0.333
680.0,0.337
679.15,0.332
678.3,0.301
677.4499999999999,0.310
676.6,0.282
675.75,0.294
674.9,0.293
674.05,0.289
673.1999999999999,0.295
672.35,0.278
671.5,0.279
670.65,0.273
669.8,0.281
668.9499999999999,0.310
668.1,0.305
667.25,0.299
666.4,0.286
665.55,0.303
664.6999999999999,0.306
663.85,0.309
663.0,0.274
662.15,0.271
661.3,0.272
660.4499999999999,0.250
659.6,0.261
658.75,0.291
657.9,0.319
657.05,0.281
656.1999999999999,0.299
655.35,0.297
654.5,0.312
653.65,0.297
652.8,0.285
651.9499999999999,0.319
651.1,0.303
650.25,0.311
649.4,0.289
648.55,0.302
647.6999999999999,0.294
646.85,0.282
646.0,0.287
645.15,0.269
644.3,0.290
643.4499999999999,0.281
642.6,0.272
641.75,0.264
640.9,0.276
640.05,0.288
639.1999999999999,0.286
638.35,0.279
637.5,0.260
636.65,0.294
635.8,0.270
634.9499999999999,0.276
634.1,0.276
633.25,0.289
632.4,0.289
631.55,0.288
630.6999999999999,0.268
629.85,0.267
629.0,0.272
628.15,0.281
627.3,0.286
626.4499999999999,0.269
625.6,0.250
624.75,0.261
623.9,0.252
623.05,0.275
622.1999999999999,0.270
621.35,0.274
620.5,0.267
619.65,0.245
618.8,0.261
617.9499999999999,0.273
617.1,0.285
616.25,0.258
615.4,0.253
614.55,0.266
613.6999999999999,0.272
612.85,0.245
612.0,0.248
611.15,0.246
610.3,0.243
609.4499999999999,0.250
608.6,0.275
607.75,0.281
606.9,0.269
606.05,0.268
605.1999999999999,0.246
604.35,0.247
603.5,0.259
602.65,0.257
601.8,0.251
600.9499999999999,0.255
600.1,0.253
599.25,0.254
598.4,0.251
597.55,0.247
596.6999999999999,0.226
595.85,0.257
595.0,0.265
594.15,0.253
593.3,0.253
592.4499999999999,0.271
591.6,0.273
590.75,0.245
589.9,0.235
589.05,0.247
588.1999999999999,0.250
587.35,0.231
586.5,0.245
585.65,0.250
584.8,0.236
583.9499999999999,0.225
583.1,0.237
582.25,0.236
581.4,0.227
580.55,0.266
579.6999999999999,0.254
578.85,0.239
578.0,0.254
577.15,0.253
576.3,0.244
575.4499999999999,0.231
574.6,0.245
573.75,0.250
572.9,0.251
572.05,0.263
571.1999999999999,0.267
570.35,0.283
569.5,0.288
568.65,0.268
567.8,0.268
566.9499999999999,0.244
566.1,0.255
565.25,0.263
564.4,0.249
563.55,0.234
562.6999999999999,0.251
561.85,0.238
561.0,0.238
560.15,0.208
559.3,0.232
558.4499999999999,0.226
557.6,0.217
556.75,0.222
555.9,0.225
555.05,0.238
554.1999999999999,0.247
553.35,0.251
552.5,0.237
551.65,0.231
550.8,0.215
549.9499999999999,0.218
549.1,0.222
548.25,0.216
547.4,0.225
546.55,0.214
545.6999999999999,0.227
544.85,0.223
544.0,0.222
543.15,0.215
542.3,0.224
541.4499999999999,0.212
540.6,0.229
539.75,0.255
538.9,0.212
538.05,0.202
537.1999999999999,0.205
536.35,0.220
535.5,0.213
534.65,0.228
533.8,0.206
532.9499999999999,0.198
532.1,0.216
531.25,0.220
530.4,0.211
529.55,0.222
528.6999999999999,0.221
527.85,0.215
527.0,0.222
526.15,0.215
525.3,0.219
524.4499999999999,0.214
523.6,0.213
522.75,0.205
521.9,0.203
521.05,0.193
520.1999999999999,0.198
519.35,0.216
518.5,0.208
517.65,0.205
516.8,0.201
515.9499999999999,0.204
515.1,0.204
514.25,0.223
513.4,0.209
512.55,0.206
511.7,0.229
510.84999999999997,0.204
510.0,0.194
509.15,0.213
508.3,0.211
507.45,0.202
506.59999999999997,0.214
505.75,0.195
504.9,0.196
504.05,0.203
503.2,0.206
502.34999999999997,0.195
501.5,0.188
500.65,0.208
499.8,0.219
498.95,0.213
498.09999999999997,0.232
497.25,0.215
496.4,0.204
495.55,0.198
494.7,0.198
493.84999999999997,0.198
493.0,0.205
492.15,0.193
491.3,0.190
490.45,0.184
489.59999999999997,0.196
488.75,0.190
487.9,0.198
487.05,0.192
486.2,0.204
485.34999999999997,0.195
484.5,0.193
483.65,0.195
482.8,0.190
481.95,0.210
481.09999999999997,0.200
480.25,0.188
479.4,0.205
478.55,0.187
477.7,0.189
476.84999999999997,0.187
476.0,0.191
475.15,0.197
474.3,0.181
473.45,0.193
472.59999999999997,0.196
471.75,0.197
470.9,0.199
470.05,0.193
469.2,0.180
468.34999999999997,0.180
467.5,0.186
466.65,0.176
465.8,0.188
464.95,0.191
464.09999999999997,0.187
463.25,0.182
462.4,0.179
461.55,0.190
460.7,0.214
459.84999999999997,0.215
459.0,0.211
458.15,0.182
457.3,0.166
456.45,0.184
455.59999999999997,0.186
454.75,0.192
453.9,0.198
453.05,0.203
452.2,0.202
451.34999999999997,0.185
450.5,0.194
449.65,0.176
448.8,0.180
447.95,0.177
447.09999999999997,0.193
446.25,0.191
445.4,0.188
444.55,0.177
443.7,0.173
442.84999999999997,0.191
442.0,0.176
441.15,0.186
440.3,0.172
439.45,0.174
438.59999999999997,0.174
437.75,0.172
436.9,0.183
436.05,0.193
435.2,0.176
434.34999999999997,0.178
433.5,0.166
432.65,0.162
431.8,0.162
430.95,0.182
430.09999999999997,0.181
429.25,0.165
428.4,0.180
427.55,0.172
426.7,0.168
425.84999999999997,0.163
425.0,0.172
424.15,0.193
423.3,0.189
422.45,0.188
421.59999999999997,0.184
420.75,0.186
419.9,0.190
419.05,0.186
418.2,0.174
417.34999999999997,0.184
416.5,0.172
415.65,0.175
414.8,0.192
413.95,0.175
413.09999999999997,0.171
412.25,0.179
411.4,0.171
