wavelength,amplitude
830.4499999999999,0.140
829.6,0.145
828.75,0.149
827.9,0.152
827.05,0.144
826.1999999999999,0.149
825.35,0.153
824.5,0.150
823.65,0.149
822.8,0.154
821.9499999999999,0.150
821.1,0.155
820.25,0.150
819.4,0.150
818.55,0.143
817.6999999999999,0.145
816.85,0.143
816.0,0.144
815.15,0.142
814.3,0.146
813.4499999999999,0.152
812.6,0.154
811.75,0.144
810.9,0.140
810.05,0.150
809.1999999999999,0.143
808.35,0.142
807.5,0.136
806.65,0.144
805.8,0.136
804.9499999999999,0.143
804.1,0.140
803.25,0.136
802.4,0.132
801.55,0.130
800.6999999999999,0.136
799.85,0.136
799.0,0.132
798.15,0.137
797.3,0.139
796.4499999999999,0.146
795.6,0.145
794.75,0.142
793.9,0.129
793.05,0.129
792.1999999999999,0.130
791.35,0.124
790.5,0.124
789.65,0.123
788.8,0.125
787.9499999999999,0.131
787.1,0.131
786.25,0.121
785.4,0.122
784.55,0.118
783.6999999999999,0.118
782.85,0.116
782.0,0.114
781.15,0.117
780.3,0.122
779.4499999999999,0.124
778.6,0.118
777.75,0.122
776.9,0.127
776.05,0.125
775.1999999999999,0.124
774.35,0.115
773.5,0.116
772.65,0.116
771.8,0.116
770.9499999999999,0.117
770.1,0.118
769.25,0.119
768.4,0.118
767.55,0.113
766.6999999999999,0.112
765.85,0.105
765.0,0.108
764.15,0.113
763.3,0.107
762.4499999999999,0.111
761.6,0.121
760.75,0.120
759.9,0.122
759.05,0.124
758.1999999999999,0.119
757.35,0.115
756.5,0.114
755.65,0.108
754.8,0.107
753.9499999999999,0.110
753.1,0.109
752.25,0.111
751.4,0.109
750.55,0.107
749.6999999999999,0.110
748.85,0.103
748.0,0.099
747.15,0.106
746.3,0.111
745.4499999999999,0.109
744.6,0.102
743.75,0.097
742.9,0.105
742.05,0.115
741.1999999999999,0.110
740.35,0.105
739.5,0.103
738.65,0.097
737.8,0.092
736.9499999999999,0.093
736.1,0.093
735.25,0.090
734.4,0.093
733.55,0.090
732.6999999999999,0.098
731.85,0.090
731.0,0.088
730.15,0.097
729.3,0.098
728.4499999999999,0.098
727.6,0.098
726.75,0.093
725.9,0.087
725.05,0.094
724.1999999999999,0.094
723.35,0.093
722.5,0.086
721.65,0.087
720.8,0.090
719.9499999999999,0.088
719.1,0.087
718.25,0.079
717.4,0.083
716.55,0.091
715.6999999999999,0.091
714.85,0.088
714.0,0.082
713.15,0.092
712.3,0.087
711.4499999999999,0.082
710.6,0.082
709.75,0.087
708.9,0.082
708.05,0.083
707.1999999999999,0.082
706.35,0.079
705.5,0.082
704.65,0.084
703.8,0.084
702.9499999999999,0.085
702.1,0.082
701.25,0.081
700.4,0.077
699.55,0.078
698.6999999999999,0.080
697.85,0.081
697.0,0.082
696.15,0.079
695.3,0.079
694.4499999999999,0.082
693.6,0.084
692.75,0.080
691.9,0.081
691.05,0.084
690.1999999999999,0.082
689.35,0.080
688.5,0.074
687.65,0.078
686.8,0.079
685.9499999999999,0.085
685.1,0.082
684.25,0.075
683.4,0.077
682.55,0.076
681.6999999999999,0.077
680.85,0.076
680.0,0.078
679.15,0.077
678.3,0.074
677.4499999999999,0.074
676.6,0.072
675.75,0.072
674.9,0.072
674.05,0.072
673.1999999999999,0.075
672.35,0.072
671.5,0.073
670.65,0.072
669.8,0.069
668.9499999999999,0.077
668.1,0.082
667.25,0.077
666.4,0.074
665.55,0.071
664.6999999999999,0.066
663.85,0.069
663.0,0.073
662.15,0.073
661.3,0.071
660.4499999999999,0.071
659.6,0.072
658.75,0.076
657.9,0.077
657.05,0.075
656.1999999999999,0.068
655.35,0.072
654.5,0.072
653.65,0.072
652.8,0.072
651.9499999999999,0.069
651.1,0.070
650.25,0.073
649.4,0.074
648.55,0.072
647.6999999999999,0.071
646.85,0.071
646.0,0.074
645.15,0.074
644.3,0.079
643.4499999999999,0.083
642.6,0.082
641.75,0.078
640.9,0.077
640.05,0.083
639.1999999999999,0.081
638.35,0.079
637.5,0.078
636.65,0.077
635.8,0.081
634.9499999999999,0.082
634.1,0.084
633.25,0.087
632.4,0.091
631.55,0.086
630.6999999999999,0.085
629.85,0.083
629.0,0.084
628.15,0.091
627.3,0.091
626.4499999999999,0.094
625.6,0.098
624.75,0.102
623.9,0.106
623.05,0.117
622.1999999999999,0.125
621.35,0.138
620.5,0.153
619.65,0.177
618.8,0.215
617.9499999999999,0.285
617.1,0.387
616.25,0.525
615.4,0.614
614.55,0.682
613.6999999999999,0.710
612.85,0.713
612.0,0.724
611.15,0.735
610.3,0.787
609.4499999999999,0.852
608.6,0.903
607.75,0.945
606.9,0.973
606.05,0.993
605.1999999999999,1.000
604.35,0.984
603.5,0.988
602.65,0.930
601.8,0.826
600.9499999999999,0.681
600.1,0.510
599.25,0.429
598.4,0.371
597.55,0.325
596.6999999999999,0.289
595.85,0.244
595.0,0.221
594.15,0.196
593.3,0.177
592.4499999999999,0.163
591.6,0.155
590.75,0.138
589.9,0.130
589.05,0.124
588.1999999999999,0.118
587.35,0.106
586.5,0.099
585.65,0.095
584.8,0.094
583.9499999999999,0.087
583.1,0.084
582.25,0.080
581.4,0.079
580.55,0.076
579.6999999999999,0.074
578.85,0.070
578.0,0.076
577.15,0.075
576.3,0.074
575.4499999999999,0.075
574.6,0.075
573.75,0.074
572.9,0.078
572.05,0.083
571.1999999999999,0.083
570.35,0.081
569.5,0.085
568.65,0.083
567.8,0.078
566.9499999999999,0.088
566.1,0.085
565.25,0.080
564.4,0.080
563.55,0.080
562.6999999999999,0.083
561.85,0.078
561.0,0.073
560.15,0.076
559.3,0.076
558.4499999999999,0.070
557.6,0.066
556.75,0.064
555.9,0.061
555.05,0.054
554.1999999999999,0.048
553.35,0.049
552.5,0.052
551.65,0.050
550.8,0.051
549.9499999999999,0.049
549.1,0.052
548.25,0.050
547.4,0.047
546.55,0.047
545.6999999999999,0.049
544.85,0.049
544.0,0.048
543.15,0.046
542.3,0.050
541.4499999999999,0.050
540.6,0.048
539.75,0.046
538.9,0.047
538.05,0.047
537.1999999999999,0.047
536.35,0.043
535.5,0.043
534.65,0.048
533.8,0.047
532.9499999999999,0.046
532.1,0.042
531.25,0.043
530.4,0.041
529.55,0.045
528.6999999999999,0.046
527.85,0.044
527.0,0.046
526.15,0.044
525.3,0.047
524.4499999999999,0.046
