wavelength,amplitude
958.9125,0.469
957.9290000000001,0.459
956.9455,0.446
955.962,0.429
954.9785,0.415
953.995,0.386
953.0115000000001,0.365
952.028,0.348
951.0445000000001,0.330
950.061,0.320
949.0775,0.318
948.094,0.314
947.1105,0.321
946.1270000000001,0.337
945.1435,0.361
944.1600000000001,0.401
943.1765,0.452
942.193,0.521
941.2095,0.604
940.226,0.682
939.2425000000001,0.763
938.259,0.821
937.2755000000001,0.871
936.292,0.919
935.3085000000001,0.958
934.325,0.984
933.3415,0.997
932.3580000000001,1.000
931.3745,0.991
930.3910000000001,0.971
929.4075,0.935
928.4240000000001,0.895
927.4405,0.861
926.457,0.829
925.4735000000001,0.824
924.49,0.840
923.5065000000001,0.860
922.523,0.881
921.5395000000001,0.913
920.556,0.936
919.5725,0.953
918.589,0.953
917.6055,0.947
916.6220000000001,0.931
915.6385,0.895
914.6550000000001,0.868
913.6715,0.843
912.688,0.808
911.7045,0.788
910.721,0.771
909.7375000000001,0.747
908.754,0.714
907.7705000000001,0.689
906.787,0.649
905.8035,0.610
904.82,0.568
903.8365,0.522
902.8530000000001,0.472
901.8695,0.430
900.8860000000001,0.392
899.9025,0.358
898.919,0.335
897.9355,0.314
896.952,0.296
895.9685000000001,0.285
894.985,0.274
894.0015000000001,0.260
893.018,0.251
892.0345000000001,0.240
891.051,0.225
890.0675,0.209
889.0840000000001,0.197
888.1005,0.195
887.1170000000001,0.187
886.1335,0.181
885.1500000000001,0.181
884.1665,0.185
883.183,0.199
882.1995000000001,0.223
881.216,0.254
880.2325000000001,0.290
879.249,0.343
878.2655000000001,0.389
877.282,0.427
876.2985,0.460
875.315,0.479
874.3315,0.492
873.3480000000001,0.486
872.3645,0.480
871.3810000000001,0.478
870.3975,0.483
869.414,0.507
868.4305,0.556
867.447,0.619
866.4635000000001,0.694
865.48,0.764
864.4965000000001,0.823
863.513,0.861
862.5295,0.881
861.546,0.883
860.5625,0.871
859.5790000000001,0.829
858.5955,0.777
857.6120000000001,0.721
856.6285,0.658
855.645,0.593
854.6615,0.525
853.678,0.479
852.6945000000001,0.454
851.711,0.450
850.7275000000001,0.463
849.744,0.488
848.7605,0.523
847.777,0.567
846.7935,0.627
845.8100000000001,0.651
844.8265,0.669
843.8430000000001,0.678
842.8595,0.676
841.8760000000001,0.649
840.8925,0.603
839.909,0.548
838.9255,0.494
837.942,0.443
836.9585000000001,0.390
835.975,0.358
834.9915000000001,0.335
834.008,0.322
833.0245,0.321
832.041,0.330
831.0575,0.343
830.0740000000001,0.360
829.0905,0.381
828.1070000000001,0.401
827.1235,0.407
826.14,0.409
825.1565,0.405
824.173,0.389
823.1895000000001,0.361
822.206,0.328
821.2225000000001,0.296
820.239,0.267
819.2555,0.239
818.272,0.220
817.2885,0.210
816.3050000000001,0.205
815.3215,0.205
814.3380000000001,0.206
813.3545,0.210
812.371,0.210
811.3875,0.207
810.404,0.199
809.4205000000001,0.190
808.437,0.175
807.4535000000001,0.162
806.47,0.149
805.4865,0.138
804.503,0.125
803.5195,0.118
802.5360000000001,0.110
801.5525,0.106
800.5690000000001,0.103
799.5855,0.102
798.6020000000001,0.097
797.6185,0.097
796.635,0.099
795.6515,0.103
794.668,0.100
793.6845000000001,0.100
792.701,0.100
791.7175000000001,0.101
790.734,0.100
789.7505,0.103
788.767,0.109
787.7835,0.120
786.8000000000001,0.137
785.8165,0.157
784.8330000000001,0.176
783.8495,0.195
782.866,0.208
781.8825,0.213
780.899,0.207
779.9155000000001,0.200
778.932,0.185
777.9485000000001,0.166
776.965,0.152
775.9815,0.143
774.998,0.146
774.0145,0.160
773.0310000000001,0.181
772.0475,0.214
771.0640000000001,0.239
770.0805,0.263
769.097,0.282
768.1135,0.290
767.13,0.281
766.1465000000001,0.265
765.163,0.242
764.1795000000001,0.217
763.196,0.191
762.2125,0.169
761.229,0.151
760.2455,0.136
