wavelength,amplitude
889.07,0.039
888.1600000000001,0.037
887.25,0.035
886.34,0.035
885.4300000000001,0.035
884.52,0.036
883.61,0.037
882.7,0.035
881.7900000000001,0.033
880.88,0.033
879.97,0.035
879.0600000000001,0.037
878.15,0.037
877.24,0.035
876.33,0.036
875.4200000000001,0.038
874.51,0.036
873.6,0.036
872.69,0.034
871.7800000000001,0.033
870.87,0.034
869.96,0.033
869.0500000000001,0.034
868.14,0.035
867.23,0.037
866.32,0.038
865.4100000000001,0.039
864.5,0.037
863.59,0.035
862.6800000000001,0.034
861.77,0.033
860.86,0.033
859.95,0.033
859.0400000000001,0.031
858.13,0.032
857.22,0.035
856.3100000000001,0.037
855.4,0.038
854.49,0.035
853.58,0.035
852.6700000000001,0.036
851.76,0.035
850.85,0.034
849.94,0.036
849.03,0.036
848.12,0.037
847.21,0.036
846.3000000000001,0.034
845.39,0.035
844.48,0.036
843.57,0.036
842.6600000000001,0.036
841.75,0.037
840.84,0.036
839.9300000000001,0.037
839.02,0.038
838.11,0.038
837.2,0.039
836.2900000000001,0.037
835.38,0.037
834.47,0.038
833.5600000000001,0.040
832.65,0.040
831.74,0.036
830.83,0.034
829.9200000000001,0.035
829.01,0.038
828.1,0.043
827.19,0.041
826.28,0.041
825.37,0.044
824.46,0.040
823.5500000000001,0.044
822.64,0.045
821.73,0.048
820.82,0.053
819.9100000000001,0.064
819.0,0.078
818.09,0.107
817.1800000000001,0.145
816.27,0.192
815.36,0.236
814.45,0.260
813.5400000000001,0.259
812.63,0.231
811.72,0.190
810.8100000000001,0.134
809.9,0.090
808.99,0.063
808.08,0.050
807.1700000000001,0.043
806.26,0.038
805.35,0.035
804.44,0.035
803.53,0.035
802.62,0.033
801.71,0.032
800.8000000000001,0.033
799.89,0.034
798.98,0.036
798.07,0.033
797.1600000000001,0.030
796.25,0.028
795.34,0.028
794.4300000000001,0.030
793.52,0.029
792.61,0.028
791.7,0.029
790.7900000000001,0.029
789.88,0.027
788.97,0.027
788.0600000000001,0.027
787.15,0.027
786.24,0.026
785.33,0.027
784.4200000000001,0.028
783.51,0.031
782.6,0.031
781.69,0.029
780.78,0.032
779.87,0.031
778.96,0.031
778.0500000000001,0.030
777.14,0.029
776.23,0.028
775.32,0.027
774.4100000000001,0.028
773.5,0.026
772.59,0.026
771.6800000000001,0.026
770.77,0.026
769.86,0.025
768.95,0.026
768.0400000000001,0.026
767.13,0.025
766.22,0.025
765.3100000000001,0.025
764.4,0.027
763.49,0.027
762.58,0.027
761.6700000000001,0.028
760.76,0.028
759.85,0.028
758.94,0.027
758.03,0.027
757.12,0.027
756.21,0.027
755.3000000000001,0.028
754.39,0.031
753.48,0.037
752.57,0.048
751.6600000000001,0.065
750.75,0.087
749.84,0.110
748.9300000000001,0.125
748.02,0.129
747.11,0.118
746.2,0.090
745.2900000000001,0.067
744.38,0.048
743.47,0.036
742.5600000000001,0.031
741.65,0.028
740.74,0.027
739.83,0.029
738.9200000000001,0.028
738.01,0.026
737.1,0.029
736.19,0.032
735.28,0.032
734.37,0.033
733.46,0.038
732.5500000000001,0.039
731.64,0.042
730.73,0.044
729.82,0.045
728.91,0.049
728.0,0.056
727.09,0.075
726.1800000000001,0.106
725.27,0.182
724.36,0.340
723.45,0.553
722.5400000000001,0.744
721.63,0.875
720.72,0.913
719.8100000000001,0.803
718.9,0.605
717.99,0.379
717.08,0.192
716.1700000000001,0.081
715.26,0.058
714.35,0.049
713.44,0.044
712.53,0.040
711.62,0.036
710.71,0.032
709.8000000000001,0.029
708.89,0.029
707.98,0.028
707.07,0.025
706.16,0.027
705.25,0.025
704.34,0.023
703.4300000000001,0.023
702.52,0.024
701.61,0.022
700.7,0.021
699.7900000000001,0.024
698.88,0.023
697.97,0.022
697.0600000000001,0.020
696.15,0.020
695.24,0.021
694.33,0.021
693.4200000000001,0.022
692.51,0.021
691.6,0.020
690.69,0.021
689.78,0.022
688.87,0.021
687.96,0.022
687.0500000000001,0.022
686.14,0.022
685.23,0.023
684.32,0.024
683.41,0.024
682.5,0.023
681.59,0.022
680.6800000000001,0.024
679.77,0.028
678.86,0.040
677.95,0.066
677.0400000000001,0.111
676.13,0.194
675.22,0.289
674.3100000000001,0.372
673.4,0.411
672.49,0.374
671.58,0.288
670.6700000000001,0.181
669.76,0.098
668.85,0.054
667.94,0.035
667.03,0.027
666.12,0.023
665.21,0.023
664.3000000000001,0.022
663.39,0.021
662.48,0.020
661.57,0.020
660.66,0.019
659.75,0.020
658.84,0.020
657.9300000000001,0.020
657.02,0.019
656.11,0.018
655.2,0.017
654.2900000000001,0.019
653.38,0.017
652.47,0.017
651.5600000000001,0.018
650.65,0.017
649.74,0.017
648.83,0.018
647.9200000000001,0.019
647.01,0.018
646.1,0.018
645.19,0.019
644.28,0.019
643.37,0.020
642.46,0.020
641.5500000000001,0.020
640.64,0.020
639.73,0.021
638.82,0.020
637.91,0.020
637.0,0.019
636.09,0.019
635.1800000000001,0.020
634.27,0.019
633.36,0.019
632.45,0.018
631.5400000000001,0.019
630.63,0.019
629.72,0.019
628.8100000000001,0.018
627.9,0.018
626.99,0.018
626.08,0.020
625.1700000000001,0.019
624.26,0.018
623.35,0.018
622.44,0.019
621.53,0.018
620.62,0.019
619.71,0.017
618.8000000000001,0.017
617.89,0.016
616.98,0.016
616.07,0.018
615.16,0.018
614.25,0.017
613.34,0.017
612.4300000000001,0.016
611.52,0.015
610.61,0.015
609.7,0.015
608.7900000000001,0.015
607.88,0.015
606.97,0.017
606.0600000000001,0.017
605.15,0.017
604.24,0.015
603.33,0.015
602.4200000000001,0.016
601.51,0.018
600.6,0.018
599.69,0.020
598.78,0.022
597.87,0.024
596.96,0.027
596.0500000000001,0.031
595.14,0.036
594.23,0.042
593.32,0.045
592.41,0.049
591.5,0.053
590.59,0.055
589.6800000000001,0.051
588.77,0.046
587.86,0.043
586.95,0.059
586.04,0.106
585.13,0.295
584.22,0.551
583.3100000000001,0.790
582.4,0.958
581.49,1.000
580.58,0.858
579.6700000000001,0.619
578.76,0.357
577.85,0.124
576.94,0.058
576.03,0.042
575.12,0.036
574.21,0.028
573.3000000000001,0.025
572.39,0.021
571.48,0.020
570.57,0.019
569.66,0.017
568.75,0.016
567.84,0.016
566.9300000000001,0.015
566.02,0.015
565.11,0.015
564.2,0.016
563.29,0.015
562.38,0.015
561.47,0.014
560.5600000000001,0.014
559.65,0.013
558.74,0.014
557.83,0.015
556.9200000000001,0.016
556.01,0.016
555.1,0.018
554.19,0.019
553.28,0.020
552.37,0.021
551.46,0.023
550.5500000000001,0.022
549.64,0.021
548.73,0.020
547.82,0.019
546.91,0.017
546.0,0.016
545.09,0.016
544.1800000000001,0.016
543.27,0.015
542.36,0.015
541.45,0.014
540.54,0.014
539.63,0.013
538.72,0.013
537.8100000000001,0.012
