wavelength,amplitude
956.45375,0.116
955.4702500000001,0.105
954.48675,0.105
953.5032500000001,0.105
952.51975,0.107
951.53625,0.105
950.5527500000001,0.102
949.56925,0.100
948.5857500000001,0.099
947.60225,0.099
946.6187500000001,0.103
945.63525,0.099
944.65175,0.098
943.6682500000001,0.099
942.68475,0.102
941.7012500000001,0.101
940.71775,0.099
939.7342500000001,0.101
938.75075,0.104
937.76725,0.108
936.78375,0.109
935.80025,0.108
934.8167500000001,0.105
933.83325,0.100
932.8497500000001,0.102
931.86625,0.100
930.88275,0.098
929.89925,0.103
928.91575,0.102
927.9322500000001,0.100
926.94875,0.096
925.9652500000001,0.095
924.98175,0.095
923.99825,0.096
923.01475,0.097
922.03125,0.103
921.0477500000001,0.103
920.06425,0.101
919.0807500000001,0.096
918.09725,0.098
917.11375,0.099
916.13025,0.099
915.14675,0.100
914.1632500000001,0.102
913.17975,0.104
912.1962500000001,0.104
911.21275,0.100
910.2292500000001,0.105
909.24575,0.101
908.26225,0.100
907.2787500000001,0.104
906.29525,0.106
905.3117500000001,0.101
904.32825,0.098
903.3447500000001,0.095
902.36125,0.096
901.37775,0.098
900.39425,0.102
899.41075,0.095
898.4272500000001,0.091
897.44375,0.090
896.4602500000001,0.093
895.47675,0.097
894.49325,0.093
893.50975,0.092
892.52625,0.093
891.5427500000001,0.087
890.55925,0.087
889.5757500000001,0.084
888.59225,0.087
887.60875,0.093
886.62525,0.090
885.64175,0.088
884.6582500000001,0.091
883.67475,0.092
882.6912500000001,0.092
881.70775,0.086
880.72425,0.084
879.74075,0.085
878.75725,0.087
877.7737500000001,0.093
876.79025,0.085
875.8067500000001,0.087
874.82325,0.089
873.83975,0.091
872.85625,0.092
871.87275,0.094
870.8892500000001,0.095
869.90575,0.097
868.9222500000001,0.098
867.93875,0.092
866.9552500000001,0.089
865.97175,0.089
864.98825,0.088
864.0047500000001,0.090
863.02125,0.088
862.0377500000001,0.089
861.05425,0.090
860.0707500000001,0.093
859.08725,0.094
858.10375,0.092
857.12025,0.097
856.13675,0.099
855.1532500000001,0.104
854.16975,0.116
853.1862500000001,0.104
852.20275,0.101
851.21925,0.099
850.23575,0.092
849.25225,0.091
848.2687500000001,0.093
847.28525,0.095
846.3017500000001,0.097
845.31825,0.099
844.33475,0.101
843.35125,0.100
842.36775,0.098
841.3842500000001,0.098
840.40075,0.094
839.4172500000001,0.088
838.43375,0.089
837.45025,0.088
836.46675,0.087
835.48325,0.090
834.4997500000001,0.098
833.51625,0.096
832.5327500000001,0.094
831.54925,0.087
830.56575,0.083
829.58225,0.083
828.59875,0.090
827.6152500000001,0.089
826.63175,0.093
825.6482500000001,0.087
824.66475,0.093
823.6812500000001,0.098
822.69775,0.097
821.71425,0.092
820.7307500000001,0.090
819.74725,0.086
818.7637500000001,0.088
817.78025,0.088
816.7967500000001,0.086
815.81325,0.088
814.82975,0.094
813.84625,0.096
812.86275,0.100
811.8792500000001,0.103
810.89575,0.097
809.9122500000001,0.099
808.92875,0.098
807.94525,0.096
806.96175,0.097
805.97825,0.089
804.9947500000001,0.091
804.01125,0.088
803.0277500000001,0.087
802.04425,0.087
801.06075,0.085
