wavelength,amplitude
879.0600000000001,0.388
878.15,0.386
877.24,0.411
876.33,0.441
875.4200000000001,0.460
874.51,0.435
873.6,0.433
872.69,0.436
871.7800000000001,0.457
870.87,0.484
869.96,0.523
869.0500000000001,0.561
868.14,0.634
867.23,0.734
866.32,0.875
865.4100000000001,0.973
864.5,1.000
863.59,0.940
862.6800000000001,0.827
861.77,0.685
860.86,0.581
859.95,0.497
859.0400000000001,0.449
858.13,0.453
857.22,0.443
856.3100000000001,0.463
855.4,0.470
854.49,0.470
853.58,0.466
852.6700000000001,0.474
851.76,0.455
850.85,0.451
849.94,0.452
849.03,0.467
848.12,0.426
847.21,0.435
846.3000000000001,0.449
845.39,0.472
844.48,0.558
843.57,0.581
842.6600000000001,0.598
841.75,0.583
840.84,0.555
839.9300000000001,0.479
839.02,0.407
838.11,0.365
837.2,0.346
836.2900000000001,0.315
835.38,0.298
834.47,0.283
833.5600000000001,0.265
832.65,0.272
831.74,0.242
830.83,0.262
829.9200000000001,0.255
829.01,0.255
828.1,0.273
827.19,0.268
826.28,0.250
825.37,0.240
824.46,0.228
823.5500000000001,0.224
822.64,0.201
821.73,0.205
820.82,0.212
819.9100000000001,0.214
819.0,0.218
818.09,0.202
817.1800000000001,0.207
816.27,0.215
815.36,0.220
814.45,0.204
813.5400000000001,0.223
812.63,0.228
811.72,0.221
810.8100000000001,0.214
809.9,0.219
808.99,0.244
808.08,0.271
807.1700000000001,0.276
806.26,0.293
805.35,0.321
804.44,0.320
803.53,0.298
802.62,0.255
801.71,0.245
800.8000000000001,0.205
799.89,0.198
798.98,0.212
798.07,0.224
797.1600000000001,0.231
796.25,0.267
795.34,0.360
794.4300000000001,0.473
793.52,0.575
792.61,0.643
791.7,0.608
790.7900000000001,0.533
789.88,0.452
788.97,0.370
788.0600000000001,0.279
787.15,0.242
786.24,0.235
785.33,0.265
784.4200000000001,0.278
783.51,0.303
782.6,0.289
781.69,0.299
780.78,0.317
779.87,0.299
778.96,0.307
778.0500000000001,0.311
777.14,0.316
776.23,0.306
775.32,0.316
774.4100000000001,0.357
773.5,0.414
772.59,0.444
771.6800000000001,0.439
770.77,0.419
769.86,0.345
768.95,0.283
768.0400000000001,0.246
767.13,0.226
766.22,0.189
765.3100000000001,0.163
764.4,0.151
763.49,0.143
762.58,0.147
761.6700000000001,0.153
760.76,0.137
759.85,0.136
758.94,0.136
758.03,0.140
757.12,0.140
756.21,0.133
755.3000000000001,0.120
754.39,0.110
753.48,0.116
752.57,0.122
751.6600000000001,0.125
750.75,0.124
749.84,0.120
748.9300000000001,0.113
748.02,0.114
747.11,0.112
746.2,0.104
745.2900000000001,0.105
744.38,0.106
743.47,0.101
742.5600000000001,0.094
741.65,0.091
740.74,0.100
739.83,0.094
738.9200000000001,0.102
738.01,0.103
737.1,0.103
736.19,0.116
735.28,0.110
734.37,0.105
733.46,0.100
732.5500000000001,0.104
731.64,0.104
730.73,0.108
729.82,0.097
728.91,0.094
728.0,0.092
727.09,0.096
726.1800000000001,0.097
725.27,0.096
724.36,0.094
723.45,0.089
722.5400000000001,0.098
721.63,0.089
720.72,0.085
719.8100000000001,0.088
718.9,0.094
717.99,0.092
717.08,0.089
716.1700000000001,0.088
715.26,0.078
714.35,0.081
713.44,0.083
712.53,0.088
711.62,0.100
710.71,0.097
709.8000000000001,0.095
708.89,0.098
707.98,0.090
707.07,0.083
706.16,0.098
705.25,0.096
704.34,0.091
703.4300000000001,0.085
702.52,0.087
701.61,0.084
700.7,0.082
699.7900000000001,0.077
698.88,0.072
697.97,0.070
697.0600000000001,0.072
696.15,0.074
695.24,0.075
694.33,0.072
693.4200000000001,0.068
692.51,0.070
691.6,0.069
690.69,0.074
689.78,0.081
688.87,0.075
687.96,0.081
687.0500000000001,0.081
686.14,0.074
685.23,0.072
684.32,0.077
683.41,0.081
682.5,0.072
681.59,0.072
680.6800000000001,0.080
679.77,0.080
678.86,0.080
677.95,0.086
