wavelength,amplitude
954.48675,0.151
953.5032500000001,0.134
952.51975,0.125
951.53625,0.119
950.5527500000001,0.113
949.56925,0.114
948.5857500000001,0.104
947.60225,0.103
946.6187500000001,0.104
945.63525,0.102
944.65175,0.111
943.6682500000001,0.118
942.68475,0.138
941.7012500000001,0.172
940.71775,0.239
939.7342500000001,0.336
938.75075,0.461
937.76725,0.606
936.78375,0.748
935.80025,0.878
934.8167500000001,0.967
933.83325,1.000
932.8497500000001,0.995
931.86625,0.950
930.88275,0.877
929.89925,0.765
928.91575,0.644
927.9322500000001,0.538
926.94875,0.457
925.9652500000001,0.401
924.98175,0.361
923.99825,0.356
923.01475,0.378
922.03125,0.404
921.0477500000001,0.451
920.06425,0.489
919.0807500000001,0.519
918.09725,0.528
917.11375,0.525
916.13025,0.483
915.14675,0.438
914.1632500000001,0.401
913.17975,0.369
912.1962500000001,0.347
911.21275,0.337
910.2292500000001,0.336
909.24575,0.331
908.26225,0.315
907.2787500000001,0.297
906.29525,0.267
905.3117500000001,0.230
904.32825,0.192
903.3447500000001,0.157
902.36125,0.131
901.37775,0.113
900.39425,0.097
899.41075,0.085
898.4272500000001,0.075
897.44375,0.070
896.4602500000001,0.069
895.47675,0.069
894.49325,0.063
893.50975,0.064
892.52625,0.063
891.5427500000001,0.063
890.55925,0.061
889.5757500000001,0.059
888.59225,0.059
887.60875,0.062
886.62525,0.062
885.64175,0.059
884.6582500000001,0.062
883.67475,0.061
882.6912500000001,0.063
881.70775,0.068
880.72425,0.082
879.74075,0.102
878.75725,0.124
877.7737500000001,0.161
876.79025,0.193
875.8067500000001,0.217
874.82325,0.237
873.83975,0.236
872.85625,0.227
871.87275,0.208
870.8892500000001,0.184
869.90575,0.163
868.9222500000001,0.153
867.93875,0.165
866.9552500000001,0.199
865.97175,0.249
864.98825,0.333
864.0047500000001,0.432
863.02125,0.519
862.0377500000001,0.578
861.05425,0.602
860.0707500000001,0.565
859.08725,0.512
858.10375,0.444
857.12025,0.365
856.13675,0.280
855.1532500000001,0.219
854.16975,0.179
853.1862500000001,0.144
852.20275,0.128
851.21925,0.114
850.23575,0.114
849.25225,0.121
848.2687500000001,0.139
847.28525,0.174
846.3017500000001,0.225
845.31825,0.276
844.33475,0.318
843.35125,0.344
