wavelength,amplitude
954.48675,0.072
953.5032500000001,0.059
952.51975,0.055
951.53625,0.058
950.5527500000001,0.056
949.56925,0.057
948.5857500000001,0.053
947.60225,0.051
946.6187500000001,0.049
945.63525,0.054
944.65175,0.054
943.6682500000001,0.055
942.68475,0.052
941.7012500000001,0.050
940.71775,0.053
939.7342500000001,0.056
938.75075,0.055
937.76725,0.054
936.78375,0.056
935.80025,0.059
934.8167500000001,0.058
933.83325,0.056
932.8497500000001,0.051
931.86625,0.053
930.88275,0.051
929.89925,0.052
928.91575,0.056
927.9322500000001,0.056
926.94875,0.051
925.9652500000001,0.054
924.98175,0.047
923.99825,0.049
923.01475,0.047
922.03125,0.043
921.0477500000001,0.042
920.06425,0.042
919.0807500000001,0.043
918.09725,0.042
917.11375,0.049
916.13025,0.046
915.14675,0.044
914.1632500000001,0.046
913.17975,0.049
912.1962500000001,0.049
911.21275,0.048
910.2292500000001,0.047
909.24575,0.041
908.26225,0.043
907.2787500000001,0.047
906.29525,0.045
905.3117500000001,0.044
904.32825,0.043
903.3447500000001,0.046
902.36125,0.047
901.37775,0.045
900.39425,0.045
899.41075,0.045
898.4272500000001,0.042
897.44375,0.041
896.4602500000001,0.040
895.47675,0.040
894.49325,0.040
893.50975,0.037
892.52625,0.042
891.5427500000001,0.042
890.55925,0.040
889.5757500000001,0.039
888.59225,0.039
887.60875,0.041
886.62525,0.039
885.64175,0.038
884.6582500000001,0.042
883.67475,0.038
882.6912500000001,0.040
881.70775,0.041
880.72425,0.041
879.74075,0.042
878.75725,0.044
877.7737500000001,0.041
876.79025,0.041
875.8067500000001,0.039
874.82325,0.040
873.83975,0.041
872.85625,0.040
871.87275,0.037
870.8892500000001,0.038
869.90575,0.041
868.9222500000001,0.039
867.93875,0.041
866.9552500000001,0.043
865.97175,0.048
864.98825,0.043
864.0047500000001,0.040
863.02125,0.041
862.0377500000001,0.047
861.05425,0.045
860.0707500000001,0.047
859.08725,0.046
858.10375,0.045
857.12025,0.048
856.13675,0.045
855.1532500000001,0.046
854.16975,0.046
853.1862500000001,0.053
852.20275,0.062
851.21925,0.063
850.23575,0.069
849.25225,0.078
848.2687500000001,0.085
847.28525,0.085
846.3017500000001,0.088
845.31825,0.091
844.33475,0.093
843.35125,0.091
842.36775,0.094
841.3842500000001,0.100
840.40075,0.108
839.4172500000001,0.114
838.43375,0.128
837.45025,0.150
836.46675,0.185
835.48325,0.225
834.4997500000001,0.252
833.51625,0.280
832.5327500000001,0.285
831.54925,0.270
830.56575,0.251
829.58225,0.223
828.59875,0.196
827.6152500000001,0.172
826.63175,0.155
825.6482500000001,0.140
824.66475,0.134
823.6812500000001,0.130
822.69775,0.123
821.71425,0.122
820.7307500000001,0.117
819.74725,0.110
818.7637500000001,0.105
817.78025,0.102
816.7967500000001,0.098
815.81325,0.093
814.82975,0.096
813.84625,0.102
812.86275,0.104
811.8792500000001,0.117
810.89575,0.162
809.9122500000001,0.222
808.92875,0.337
807.94525,0.456
806.96175,0.563
805.97825,0.639
804.9947500000001,0.673
804.01125,0.656
803.0277500000001,0.618
802.04425,0.560
801.06075,0.500
800.07725,0.455
799.09375,0.439
798.1102500000001,0.444
797.12675,0.449
796.1432500000001,0.457
795.15975,0.454
794.17625,0.428
793.19275,0.391
792.20925,0.347
791.2257500000001,0.315
790.24225,0.271
789.2587500000001,0.246
788.27525,0.219
787.29175,0.198
786.30825,0.184
785.32475,0.175
784.3412500000001,0.167
783.35775,0.172
782.3742500000001,0.195
781.39075,0.243
780.40725,0.361
779.42375,0.542
778.44025,0.732
777.45675,0.905
776.47325,0.986
775.4897500000001,1.000
774.50625,0.969
773.5227500000001,0.907
772.53925,0.826
771.55575,0.713
770.57225,0.603
769.58875,0.513
768.6052500000001,0.464
767.62175,0.452
766.6382500000001,0.487
765.65475,0.566
764.67125,0.661
763.68775,0.743
762.70425,0.791
761.7207500000001,0.774
760.73725,0.734
759.7537500000001,0.680
758.77025,0.607
757.78675,0.512
756.80325,0.431
755.81975,0.367
754.8362500000001,0.321
753.85275,0.295
752.8692500000001,0.268
751.88575,0.253
750.90225,0.232
749.91875,0.208
748.93525,0.191
747.9517500000001,0.174
746.96825,0.157
745.9847500000001,0.142
745.00125,0.127
744.01775,0.115
743.03425,0.104
742.05075,0.102
741.0672500000001,0.103
740.08375,0.110
739.1002500000001,0.129
738.11675,0.184
737.13325,0.258
736.14975,0.346
735.16625,0.436
734.18275,0.503
733.19925,0.542
732.2157500000001,0.581
731.23225,0.620
730.2487500000001,0.650
729.26525,0.664
728.28175,0.654
727.29825,0.629
726.31475,0.593
725.3312500000001,0.551
724.34775,0.507
723.3642500000001,0.481
722.38075,0.480
721.39725,0.508
720.41375,0.558
719.43025,0.586
718.4467500000001,0.593
717.46325,0.577
716.4797500000001,0.547
715.49625,0.515
714.51275,0.496
713.52925,0.499
712.54575,0.525
711.5622500000001,0.587
710.57875,0.653
709.5952500000001,0.712
708.61175,0.754
707.62825,0.774
706.64475,0.773
705.66125,0.752
704.6777500000001,0.716
703.69425,0.665
702.7107500000001,0.599
701.72725,0.531
700.74375,0.477
699.76025,0.462
698.77675,0.486
697.7932500000001,0.548
696.80975,0.667
695.8262500000001,0.790
694.84275,0.880
693.85925,0.927
692.87575,0.944
691.89225,0.949
690.90875,0.948
689.92525,0.943
688.9417500000001,0.935
687.95825,0.929
686.97475,0.925
685.99125,0.925
685.00775,0.924
684.02425,0.914
683.04075,0.894
682.0572500000001,0.869
681.07375,0.841
680.0902500000001,0.818
679.10675,0.797
678.12325,0.784
677.13975,0.771
676.15625,0.748
675.1727500000001,0.724
674.18925,0.699
673.2057500000001,0.671
672.22225,0.645
671.23875,0.622
670.25525,0.595
669.27175,0.569
668.2882500000001,0.550
667.30475,0.548
666.3212500000001,0.559
665.33775,0.596
664.35425,0.650
663.37075,0.694
662.38725,0.719
661.4037500000001,0.727
660.42025,0.727
659.4367500000001,0.720
658.45325,0.721
657.46975,0.724
656.48625,0.728
655.50275,0.734
654.51925,0.738
653.53575,0.733
652.5522500000001,0.716
651.56875,0.684
650.58525,0.646
649.60175,0.597
648.61825,0.556
647.63475,0.515
646.65125,0.478
645.6677500000001,0.447
644.68425,0.426
643.70075,0.416
642.71725,0.424
641.73375,0.450
640.75025,0.489
639.76675,0.556
638.7832500000001,0.612
637.79975,0.636
636.8162500000001,0.620
635.83275,0.578
634.84925,0.535
633.86575,0.503
632.88225,0.494
631.8987500000001,0.522
630.91525,0.599
629.9317500000001,0.679
628.94825,0.760
627.96475,0.834
626.98125,0.890
625.99775,0.864
625.0142500000001,0.803
624.03075,0.712
623.0472500000001,0.606
622.06375,0.501
621.08025,0.407
620.09675,0.339
619.11325,0.299
618.1297500000001,0.273
617.14625,0.258
616.1627500000001,0.235
615.17925,0.211
614.19575,0.183
613.21225,0.164
612.22875,0.140
611.24525,0.118
610.26175,0.103
609.2782500000001,0.091
608.29475,0.083
607.31125,0.072
606.32775,0.064
605.34425,0.057
604.36075,0.049
603.37725,0.043
602.3937500000001,0.038
601.41025,0.038
600.42675,0.035
599.44325,0.034
598.45975,0.030
597.47625,0.028
596.49275,0.028
595.5092500000001,0.027
594.52575,0.028
593.5422500000001,0.028
592.55875,0.026
591.57525,0.025
590.59175,0.025
589.60825,0.022
588.6247500000001,0.023
587.64125,0.021
586.6577500000001,0.021
585.67425,0.022
584.69075,0.022
583.70725,0.023
582.72375,0.022
581.7402500000001,0.022
580.75675,0.022
579.7732500000001,0.022
578.78975,0.022
577.80625,0.023
576.82275,0.024
575.83925,0.026
574.8557500000001,0.033
573.87225,0.034
572.8887500000001,0.034
571.90525,0.032
570.92175,0.028
569.93825,0.027
568.95475,0.028
567.97125,0.029
566.98775,0.030
566.0042500000001,0.028
565.02075,0.028
564.03725,0.026
563.05375,0.024
562.07025,0.021
561.08675,0.023
560.10325,0.021
559.1197500000001,0.020
558.13625,0.021
557.15275,0.021
556.16925,0.021
