wavelength,amplitude
956.45375,0.130
955.4702500000001,0.132
954.48675,0.136
953.5032500000001,0.134
952.51975,0.134
951.53625,0.130
950.5527500000001,0.132
949.56925,0.133
948.5857500000001,0.138
947.60225,0.135
946.6187500000001,0.144
945.63525,0.149
944.65175,0.152
943.6682500000001,0.154
942.68475,0.156
941.7012500000001,0.150
940.71775,0.151
939.7342500000001,0.155
938.75075,0.150
937.76725,0.161
936.78375,0.160
935.80025,0.158
934.8167500000001,0.160
933.83325,0.161
932.8497500000001,0.164
931.86625,0.165
930.88275,0.163
929.89925,0.162
928.91575,0.168
927.9322500000001,0.172
926.94875,0.174
925.9652500000001,0.178
924.98175,0.186
923.99825,0.196
923.01475,0.206
922.03125,0.213
921.0477500000001,0.224
920.06425,0.232
919.0807500000001,0.239
918.09725,0.242
917.11375,0.250
916.13025,0.251
915.14675,0.247
914.1632500000001,0.241
913.17975,0.230
912.1962500000001,0.222
911.21275,0.214
910.2292500000001,0.197
909.24575,0.196
908.26225,0.191
907.2787500000001,0.186
906.29525,0.185
905.3117500000001,0.187
904.32825,0.192
903.3447500000001,0.202
902.36125,0.202
901.37775,0.200
900.39425,0.215
899.41075,0.222
898.4272500000001,0.235
897.44375,0.250
896.4602500000001,0.260
895.47675,0.277
894.49325,0.286
893.50975,0.292
892.52625,0.293
891.5427500000001,0.292
890.55925,0.281
889.5757500000001,0.272
888.59225,0.262
887.60875,0.255
886.62525,0.258
885.64175,0.278
884.6582500000001,0.298
883.67475,0.333
882.6912500000001,0.381
881.70775,0.419
880.72425,0.490
879.74075,0.562
878.75725,0.629
877.7737500000001,0.699
876.79025,0.757
875.8067500000001,0.813
874.82325,0.850
873.83975,0.871
872.85625,0.881
871.87275,0.878
870.8892500000001,0.850
869.90575,0.822
868.9222500000001,0.791
867.93875,0.739
866.9552500000001,0.712
865.97175,0.695
864.98825,0.682
864.0047500000001,0.682
863.02125,0.687
862.0377500000001,0.718
861.05425,0.771
860.0707500000001,0.832
859.08725,0.888
858.10375,0.942
857.12025,0.972
856.13675,0.992
855.1532500000001,1.000
854.16975,0.996
853.1862500000001,0.955
852.20275,0.916
851.21925,0.884
850.23575,0.842
849.25225,0.795
848.2687500000001,0.760
847.28525,0.734
846.3017500000001,0.727
845.31825,0.735
844.33475,0.763
843.35125,0.804
842.36775,0.840
841.3842500000001,0.878
840.40075,0.926
839.4172500000001,0.977
838.43375,0.973
837.45025,0.963
836.46675,0.948
835.48325,0.912
834.4997500000001,0.867
833.51625,0.829
832.5327500000001,0.784
831.54925,0.739
830.56575,0.698
829.58225,0.680
828.59875,0.679
827.6152500000001,0.693
826.63175,0.726
825.6482500000001,0.768
824.66475,0.805
823.6812500000001,0.838
822.69775,0.864
821.71425,0.881
820.7307500000001,0.877
819.74725,0.855
818.7637500000001,0.826
817.78025,0.792
816.7967500000001,0.753
815.81325,0.684
814.82975,0.642
813.84625,0.611
812.86275,0.585
811.8792500000001,0.565
810.89575,0.569
809.9122500000001,0.570
808.92875,0.575
807.94525,0.591
806.96175,0.609
805.97825,0.596
