wavelength,amplitude
960.3877500000001,0.973
959.40425,0.979
958.42075,0.993
957.4372500000001,0.979
956.45375,0.975
955.4702500000001,0.973
954.48675,0.973
953.5032500000001,0.973
952.51975,0.972
951.53625,0.973
950.5527500000001,0.979
949.56925,0.979
948.5857500000001,0.979
947.60225,0.979
946.6187500000001,0.986
945.63525,0.979
944.65175,0.973
943.6682500000001,0.979
942.68475,0.986
941.7012500000001,0.986
940.71775,0.986
939.7342500000001,0.986
938.75075,0.979
937.76725,0.973
936.78375,0.979
935.80025,0.979
934.8167500000001,0.979
933.83325,0.979
932.8497500000001,0.979
931.86625,0.986
930.88275,0.979
929.89925,0.979
928.91575,0.979
927.9322500000001,0.979
926.94875,0.979
925.9652500000001,0.986
924.98175,0.986
923.99825,0.979
923.01475,0.973
922.03125,0.979
921.0477500000001,0.973
920.06425,0.975
919.0807500000001,0.979
918.09725,0.979
917.11375,0.979
916.13025,0.979
915.14675,0.979
914.1632500000001,0.973
913.17975,0.968
912.1962500000001,0.973
911.21275,0.973
910.2292500000001,0.973
909.24575,0.979
908.26225,0.979
907.2787500000001,0.986
906.29525,0.973
905.3117500000001,0.973
904.32825,0.973
903.3447500000001,0.973
902.36125,0.979
901.37775,0.986
900.39425,1.000
899.41075,0.984
898.4272500000001,0.979
897.44375,0.973
896.4602500000001,0.979
895.47675,0.973
894.49325,0.973
893.50975,0.972
892.52625,0.972
891.5427500000001,0.979
890.55925,0.986
889.5757500000001,0.986
888.59225,0.986
887.60875,0.979
886.62525,0.973
885.64175,0.979
884.6582500000001,0.979
883.67475,0.973
882.6912500000001,0.973
881.70775,0.973
880.72425,0.973
879.74075,0.979
878.75725,0.979
877.7737500000001,0.973
876.79025,0.968
875.8067500000001,0.973
874.82325,0.979
873.83975,0.979
872.85625,0.979
871.87275,0.972
870.8892500000001,0.973
869.90575,0.979
868.9222500000001,0.979
867.93875,0.972
866.9552500000001,0.972
865.97175,0.968
864.98825,0.973
864.0047500000001,0.973
863.02125,0.973
862.0377500000001,0.986
861.05425,0.986
860.0707500000001,0.986
859.08725,0.988
858.10375,0.980
857.12025,0.979
856.13675,0.979
855.1532500000001,0.979
854.16975,0.979
853.1862500000001,0.973
852.20275,0.973
851.21925,0.973
850.23575,0.972
849.25225,0.968
848.2687500000001,0.979
847.28525,0.973
846.3017500000001,0.973
845.31825,0.973
844.33475,0.968
843.35125,0.979
842.36775,0.989
841.3842500000001,0.989
840.40075,0.979
839.4172500000001,0.972
838.43375,0.973
837.45025,0.973
836.46675,0.973
835.48325,0.979
834.4997500000001,0.973
833.51625,0.973
832.5327500000001,0.973
831.54925,0.973
830.56575,0.973
829.58225,0.986
828.59875,0.986
827.6152500000001,0.986
826.63175,0.986
825.6482500000001,0.993
824.66475,0.979
823.6812500000001,0.979
822.69775,0.979
