wavelength,amplitude
999.1,0.115
998.13,0.115
997.16,0.115
996.19,0.115
995.22,0.115
994.25,0.115
993.28,0.115
992.31,0.115
991.34,0.115
990.37,0.115
989.4,0.115
988.43,0.115
987.46,0.115
986.49,0.115
985.52,0.115
984.55,0.115
983.58,0.115
982.61,0.115
981.64,0.115
980.67,0.115
979.7,0.115
978.73,0.115
977.76,0.115
976.79,0.115
975.82,0.115
974.85,0.115
973.88,0.115
972.91,0.115
971.94,0.115
970.97,0.115
970.0,0.115
969.03,0.115
968.06,0.115
967.09,0.115
966.12,0.115
965.15,0.115
964.18,0.115
963.21,0.115
962.24,0.115
961.27,0.115
960.3,0.115
959.33,0.115
958.36,0.115
957.39,0.115
956.42,0.115
955.45,0.115
954.48,0.115
953.51,0.115
952.54,0.115
951.57,0.115
950.6,0.115
949.63,0.115
948.66,0.115
947.69,0.115
946.72,0.115
945.75,0.115
944.78,0.115
943.81,0.115
942.84,0.115
941.87,0.115
940.9,0.115
939.93,0.115
938.96,0.115
937.99,0.115
937.02,0.115
936.05,0.115
935.08,0.115
934.11,0.115
933.14,0.115
932.17,0.115
931.2,0.115
930.23,0.115
929.26,0.115
928.29,0.115
927.32,0.115
926.35,0.115
925.38,0.115
924.41,0.115
923.44,0.115
922.47,0.115
921.5,0.115
920.53,0.115
919.56,0.115
918.59,0.115
917.62,0.115
916.65,0.115
915.68,0.115
914.71,0.115
913.74,0.115
912.77,0.115
911.8,0.115
910.83,0.115
909.86,0.115
908.89,0.115
907.92,0.115
906.95,0.115
905.98,0.115
905.01,0.115
904.04,0.115
903.07,0.115
902.1,0.115
901.13,0.115
900.16,0.115
899.19,0.115
898.22,0.115
897.25,0.115
896.28,0.115
895.31,0.115
894.34,0.115
893.37,0.115
892.4,0.115
891.43,0.115
890.46,0.115
889.49,0.115
888.52,0.115
887.55,0.115
886.58,0.115
885.61,0.115
884.64,0.115
883.67,0.115
882.7,0.115
881.73,0.115
880.76,0.115
879.79,0.115
878.82,0.115
877.85,0.115
876.88,0.115
875.91,0.115
874.94,0.115
873.97,0.115
873.0,0.115
872.03,0.115
871.06,0.115
870.09,0.115
869.12,0.115
868.15,0.115
867.18,0.115
866.21,0.115
865.24,0.115
864.27,0.115
863.3,0.115
862.33,0.115
861.36,0.115
860.39,0.115
859.42,0.115
858.45,0.115
857.48,0.115
856.51,0.115
855.54,0.115
854.57,0.115
853.6,0.115
852.63,0.115
851.66,0.115
850.69,0.115
849.72,0.115
848.75,0.115
847.78,0.115
846.81,0.115
845.84,0.115
844.87,0.115
843.9,0.115
842.93,0.115
841.96,0.115
840.99,0.115
840.02,0.115
839.05,0.115
838.08,0.115
837.11,0.115
836.14,0.115
835.17,0.115
834.2,0.115
833.23,0.115
832.26,0.115
831.29,0.115
830.32,0.115
829.35,0.115
828.38,0.115
827.41,0.115
826.44,0.115
825.47,0.115
824.5,0.115
823.53,0.115
822.56,0.115
821.59,0.115
820.62,0.115
819.65,0.115
818.68,0.115
817.71,0.115
816.74,0.115
815.77,0.115
814.8,0.115
813.83,0.115
812.86,0.115
811.89,0.115
810.92,0.115
809.95,0.115
808.98,0.115
808.01,0.114
807.04,0.114
806.07,0.113
805.1,0.113
804.13,0.112
