wavelength,amplitude
999.22,0.000
998.28,0.000
997.34,0.000
996.4,0.000
995.46,0.000
994.52,0.000
993.58,0.000
992.64,0.000
991.7,0.000
990.76,0.000
989.82,0.000
988.88,0.000
987.94,0.000
987.0,0.000
986.06,0.000
985.12,0.000
984.18,0.000
983.24,0.000
982.3,0.000
981.36,0.000
980.42,0.000
979.48,0.000
978.54,0.000
977.6,0.000
976.66,0.000
975.72,0.000
974.78,0.000
973.84,0.000
972.9,0.000
971.96,0.000
971.02,0.000
970.08,0.000
969.14,0.001
968.2,0.001
967.26,0.001
966.32,0.001
965.38,0.001
964.44,0.001
963.5,0.000
962.56,0.000
961.62,0.000
960.68,0.000
959.74,0.000
958.8,0.000
957.86,0.000
956.92,0.000
955.98,0.000
955.04,0.000
954.1,0.000
953.16,0.000
952.22,0.000
951.28,0.000
950.34,0.000
949.4,0.000
948.46,0.000
947.52,0.000
946.58,0.000
945.64,0.000
944.7,0.000
943.76,0.000
942.82,0.000
941.88,0.000
940.94,0.000
940.0,0.000
939.06,0.000
938.12,0.000
937.18,0.000
936.24,0.000
935.3,0.000
934.36,0.000
933.42,0.000
932.48,0.000
931.54,0.000
930.6,0.000
929.66,0.000
928.72,0.000
927.78,0.000
926.84,0.000
925.9,0.000
924.96,0.000
924.02,0.000
923.08,0.000
922.14,0.000
921.2,0.000
920.26,0.000
919.32,0.000
918.38,0.000
917.44,0.000
916.5,0.000
915.56,0.000
914.62,0.000
913.68,0.000
912.74,0.000
911.8,0.000
910.86,0.000
909.92,0.000
908.98,0.000
908.04,0.000
907.1,0.000
906.16,0.000
905.22,0.000
904.28,0.000
903.34,0.000
902.4,0.000
901.46,0.000
900.52,0.000
899.58,0.000
898.64,0.000
897.7,0.000
896.76,0.000
895.82,0.000
894.88,0.000
893.94,0.000
893.0,0.000
892.06,0.000
891.12,0.000
890.18,0.000
889.24,0.000
888.3,0.000
887.36,0.000
886.42,0.000
885.48,0.000
884.54,0.000
883.6,0.000
882.66,0.000
881.72,0.000
880.78,0.000
879.84,0.000
878.9,0.000
877.96,0.000
877.02,0.000
876.08,0.000
875.14,0.000
874.2,0.000
873.26,0.000
872.32,0.000
871.38,0.000
870.44,0.000
869.5,0.000
868.56,0.000
867.62,0.000
866.68,0.000
865.74,0.000
864.8,0.000
863.86,0.000
862.92,0.000
861.98,0.000
861.04,0.000
860.1,0.000
859.16,0.000
858.22,0.000
857.28,0.000
856.34,0.000
855.4,0.000
854.46,0.000
853.52,0.000
852.58,0.000
851.64,0.000
850.7,0.000
849.76,0.000
848.82,0.000
847.88,0.000
846.94,0.000
846.0,0.000
845.06,0.000
844.12,0.000
843.18,0.000
842.24,0.000
841.3,0.000
840.36,0.000
839.42,0.000
838.48,0.000
837.54,0.000
836.6,0.000
835.66,0.000
834.72,0.000
833.78,0.000
832.84,0.000
831.9,0.000
830.96,0.000
830.02,0.000
829.08,0.000
828.14,0.000
827.2,0.000
826.26,0.000
825.32,0.000
824.38,0.000
823.44,0.000
822.5,0.000
821.56,0.000
820.62,0.000
819.68,0.000
818.74,0.000
817.8,0.000
816.86,0.000
815.92,0.000
814.98,0.000
814.04,0.001
813.1,0.003
812.16,0.006
