wavelength,amplitude
999.22,0.069
998.28,0.065
997.34,0.064
996.4,0.062
995.46,0.061
994.52,0.060
993.58,0.058
992.64,0.056
991.7,0.055
990.76,0.053
989.82,0.052
988.88,0.051
987.94,0.049
987.0,0.048
986.06,0.047
985.12,0.045
984.18,0.045
983.24,0.044
982.3,0.043
981.36,0.043
980.42,0.041
979.48,0.041
978.54,0.040
977.6,0.040
976.66,0.038
975.72,0.038
974.78,0.037
973.84,0.036
972.9,0.035
971.96,0.035
971.02,0.035
970.08,0.034
969.14,0.033
968.2,0.032
967.26,0.031
966.32,0.030
965.38,0.030
964.44,0.029
963.5,0.028
962.56,0.028
961.62,0.027
960.68,0.027
959.74,0.026
958.8,0.026
957.86,0.025
956.92,0.024
955.98,0.024
955.04,0.024
954.1,0.023
953.16,0.023
952.22,0.023
951.28,0.022
950.34,0.022
949.4,0.022
948.46,0.021
947.52,0.021
946.58,0.020
945.64,0.020
944.7,0.020
943.76,0.020
942.82,0.020
941.88,0.020
940.94,0.020
940.0,0.020
939.06,0.019
938.12,0.019
937.18,0.019
936.24,0.018
935.3,0.019
934.36,0.019
933.42,0.019
932.48,0.019
931.54,0.019
930.6,0.018
929.66,0.017
928.72,0.018
927.78,0.018
926.84,0.018
925.9,0.018
924.96,0.019
924.02,0.019
923.08,0.019
922.14,0.019
921.2,0.019
920.26,0.020
919.32,0.020
918.38,0.019
917.44,0.019
916.5,0.019
915.56,0.020
914.62,0.020
913.68,0.020
912.74,0.020
911.8,0.020
910.86,0.020
909.92,0.020
908.98,0.020
908.04,0.020
907.1,0.020
906.16,0.021
905.22,0.021
904.28,0.021
903.34,0.022
902.4,0.022
901.46,0.022
900.52,0.022
899.58,0.022
898.64,0.022
897.7,0.023
896.76,0.023
895.82,0.023
894.88,0.023
893.94,0.023
893.0,0.023
892.06,0.023
891.12,0.024
890.18,0.024
889.24,0.025
888.3,0.026
887.36,0.026
886.42,0.027
885.48,0.027
884.54,0.028
883.6,0.028
882.66,0.028
881.72,0.028
880.78,0.028
879.84,0.029
878.9,0.029
877.96,0.030
877.02,0.030
876.08,0.031
875.14,0.033
874.2,0.033
873.26,0.033
872.32,0.033
871.38,0.034
870.44,0.035
869.5,0.035
868.56,0.035
867.62,0.035
866.68,0.035
865.74,0.037
864.8,0.037
863.86,0.037
862.92,0.038
861.98,0.039
861.04,0.040
860.1,0.041
859.16,0.041
858.22,0.042
857.28,0.043
856.34,0.043
855.4,0.044
854.46,0.046
853.52,0.047
852.58,0.048
851.64,0.048
850.7,0.049
849.76,0.051
848.82,0.051
847.88,0.052
846.94,0.052
846.0,0.054
845.06,0.054
844.12,0.056
843.18,0.056
842.24,0.058
841.3,0.059
840.36,0.061
839.42,0.062
838.48,0.063
837.54,0.064
836.6,0.066
835.66,0.069
834.72,0.072
833.78,0.074
832.84,0.076
831.9,0.078
830.96,0.080
830.02,0.082
829.08,0.084
828.14,0.087
827.2,0.091
826.26,0.093
825.32,0.095
824.38,0.099
823.44,0.104
822.5,0.112
821.56,0.120
820.62,0.133
819.68,0.149
818.74,0.161
817.8,0.169
816.86,0.175
815.92,0.179
814.98,0.183
814.04,0.190
813.1,0.194
812.16,0.200
811.22,0.203
810.28,0.201
809.34,0.194
808.4,0.187
807.46,0.182
806.52,0.179
805.58,0.176
804.64,0.175
803.7,0.174
802.76,0.174
801.82,0.174
800.88,0.174
799.94,0.176
799.0,0.177
798.06,0.178
797.12,0.180
796.18,0.182
795.24,0.185
794.3,0.190
793.36,0.192
792.42,0.196
791.48,0.201
790.54,0.206
789.6,0.212
788.66,0.217
787.72,0.220
786.78,0.226
785.84,0.232
784.9,0.236
783.96,0.242
783.02,0.249
782.08,0.254
781.14,0.259
780.2,0.261
779.26,0.264
778.32,0.270
777.38,0.275
776.44,0.280
775.5,0.284
774.56,0.288
773.62,0.292
772.68,0.297
771.74,0.304
770.8,0.309
769.86,0.314
768.92,0.323
767.98,0.330
767.04,0.336
766.1,0.346
765.16,0.352
764.22,0.362
763.28,0.368
762.34,0.375
761.4,0.382
760.46,0.392
759.52,0.400
758.58,0.408
757.64,0.416
756.7,0.423
755.76,0.431
754.82,0.436
753.88,0.444
752.94,0.448
752.0,0.452
751.06,0.459
750.12,0.465
749.18,0.470
748.24,0.478
747.3,0.483
746.36,0.490
745.42,0.496
744.48,0.502
743.54,0.508
742.6,0.516
741.66,0.525
740.72,0.535
739.78,0.544
738.84,0.552
737.9,0.562
736.96,0.568
736.02,0.578
735.08,0.584
734.14,0.592
733.2,0.601
732.26,0.608
731.32,0.612
730.38,0.619
729.44,0.622
728.5,0.629
727.56,0.632
726.62,0.635
725.68,0.639
724.74,0.643
723.8,0.646
722.86,0.649
721.92,0.650
720.98,0.653
720.04,0.658
719.1,0.665
718.16,0.669
717.22,0.673
716.28,0.676
715.34,0.682
714.4,0.685
713.46,0.690
712.52,0.694
711.58,0.697
710.64,0.702
709.7,0.701
708.76,0.703
707.82,0.704
706.88,0.706
705.94,0.711
705.0,0.714
704.06,0.717
703.12,0.721
702.18,0.726
701.24,0.731
700.3,0.735
699.36,0.738
698.42,0.741
697.48,0.747
696.54,0.749
695.6,0.751
694.66,0.751
693.72,0.751
692.78,0.752
691.84,0.753
690.9,0.753
689.96,0.755
689.02,0.754
688.08,0.757
687.14,0.759
686.2,0.761
685.26,0.763
684.32,0.766
683.38,0.772
682.44,0.776
681.5,0.778
680.56,0.781
679.62,0.787
678.68,0.792
677.74,0.797
676.8,0.801
675.86,0.805
674.92,0.810
673.98,0.813
673.04,0.818
672.1,0.824
671.16,0.825
670.22,0.828
669.28,0.830
668.34,0.832
