wavelength,amplitude
999.4,1.000
998.45,1.000
997.5,1.000
996.55,1.000
995.6,1.000
994.65,1.000
993.7,1.000
992.75,1.000
991.8,1.000
990.85,1.000
989.9,1.000
988.95,1.000
988.0,1.000
987.05,1.000
986.1,1.000
985.15,1.000
984.2,1.000
983.25,1.000
982.3,1.000
981.35,1.000
980.4,1.000
979.45,1.000
978.5,1.000
977.55,1.000
976.6,1.000
975.65,1.000
974.7,1.000
973.75,1.000
972.8,1.000
971.85,1.000
970.9,1.000
969.95,1.000
969.0,1.000
968.05,1.000
967.1,1.000
966.15,1.000
965.2,1.000
964.25,1.000
963.3,1.000
962.35,1.000
961.4,1.000
960.45,1.000
959.5,1.000
958.55,1.000
957.6,1.000
956.65,1.000
955.7,1.000
954.75,1.000
953.8,1.000
952.85,1.000
951.9,1.000
950.95,1.000
950.0,1.000
949.05,1.000
948.1,1.000
947.15,1.000
946.2,1.000
945.25,1.000
944.3,1.000
943.35,1.000
942.4,1.000
941.45,1.000
940.5,1.000
939.55,1.000
938.6,1.000
937.65,1.000
936.7,1.000
935.75,1.000
934.8,1.000
933.85,1.000
932.9,1.000
931.95,1.000
931.0,1.000
930.05,1.000
929.1,1.000
928.15,1.000
927.2,1.000
926.25,1.000
925.3,1.000
924.35,1.000
923.4,1.000
922.45,1.000
921.5,1.000
920.55,1.000
919.6,1.000
918.65,1.000
917.7,1.000
916.75,1.000
915.8,1.000
914.85,1.000
913.9,1.000
912.95,1.000
912.0,1.000
911.05,1.000
910.1,1.000
909.15,1.000
908.2,1.000
907.25,1.000
906.3,1.000
905.35,1.000
904.4,1.000
903.45,1.000
902.5,1.000
901.55,1.000
900.6,1.000
899.65,1.000
898.7,1.000
897.75,1.000
896.8,1.000
895.85,1.000
894.9,1.000
893.95,1.000
893.0,1.000
892.05,1.000
891.1,1.000
890.15,1.000
889.2,1.000
888.25,1.000
887.3,1.000
886.35,1.000
885.4,1.000
884.45,1.000
883.5,1.000
882.55,1.000
881.6,1.000
880.65,1.000
879.7,1.000
878.75,1.000
877.8,1.000
876.85,1.000
875.9,1.000
874.95,1.000
874.0,1.000
873.05,1.000
872.1,1.000
871.15,1.000
870.2,1.000
869.25,1.000
868.3,1.000
867.35,1.000
866.4,1.000
865.45,1.000
864.5,1.000
863.55,1.000
862.6,1.000
861.65,1.000
860.7,1.000
859.75,1.000
858.8,1.000
857.85,1.000
856.9,1.000
855.95,1.000
855.0,1.000
854.05,1.000
853.1,1.000
852.15,1.000
851.2,1.000
850.25,1.000
849.3,1.000
848.35,1.000
847.4,1.000
846.45,1.000
845.5,1.000
844.55,1.000
843.6,1.000
842.65,1.000
841.7,1.000
840.75,1.000
839.8,1.000
838.85,1.000
837.9,1.000
836.95,1.000
836.0,1.000
835.05,1.000
834.1,1.000
833.15,1.000
832.2,1.000
831.25,1.000
830.3,1.000
829.35,1.000
828.4,1.000
827.45,1.000
826.5,1.000
825.55,1.000
824.6,1.000
823.65,1.000
822.7,1.000
821.75,1.000
820.8,1.000
819.85,1.000
818.9,1.000
817.95,1.000
817.0,1.000
816.05,1.000
815.1,1.000
814.15,1.000
813.2,1.000
812.25,1.000
811.3,1.000
810.35,1.000
809.4,0.998
808.45,0.994
807.5,0.990
806.55,0.986
805.6,0.982
804.65,0.978
803.7,0.974
802.75,0.971
801.8,0.967
800.85,0.963
799.9,0.960
798.95,0.956
798.0,0.952
797.05,0.949
796.1,0.945
795.15,0.942
794.2,0.938
793.25,0.935
792.3,0.931
791.35,0.928
790.4,0.924
789.45,0.921
788.5,0.918
787.55,0.914
786.6,0.911
785.65,0.908
784.7,0.905
783.75,0.901
782.8,0.898
781.85,0.895
780.9,0.892
779.95,0.889
779.0,0.886
778.05,0.883
777.1,0.879
776.15,0.876
775.2,0.873
774.25,0.870
773.3,0.867
772.35,0.864
771.4,0.861
770.45,0.859
769.5,0.856
768.55,0.853
767.6,0.850
766.65,0.847
765.7,0.844
764.75,0.841
763.8,0.839
762.85,0.836
761.9,0.833
760.95,0.830
760.0,0.828
759.05,0.825
758.1,0.822
757.15,0.820
756.2,0.817
755.25,0.814
754.3,0.812
753.35,0.809
752.4,0.806
751.45,0.804
750.5,0.801
749.55,0.799
748.6,0.796
747.65,0.794
746.7,0.791
745.75,0.789
744.8,0.786
743.85,0.784
742.9,0.782
741.95,0.779
741.0,0.777
740.05,0.774
739.1,0.772
738.15,0.770
737.2,0.767
736.25,0.765
735.3,0.763
734.35,0.760
733.4,0.758
