wavelength,amplitude
999.6,0.014
998.62,0.014
997.64,0.013
996.66,0.013
995.68,0.014
994.7,0.014
993.72,0.014
992.74,0.013
991.76,0.014
990.78,0.014
989.8,0.014
988.82,0.014
987.84,0.014
986.86,0.015
985.88,0.015
984.9,0.016
983.92,0.016
982.94,0.017
981.96,0.016
980.98,0.017
980.0,0.019
979.02,0.020
978.04,0.020
977.06,0.023
976.08,0.023
975.1,0.023
974.12,0.023
973.14,0.024
972.16,0.024
971.18,0.026
970.2,0.026
969.22,0.027
968.24,0.029
967.26,0.033
966.28,0.031
965.3,0.031
964.32,0.031
963.34,0.033
962.36,0.032
961.38,0.031
960.4,0.031
959.42,0.034
958.44,0.034
957.46,0.034
956.48,0.035
955.5,0.035
954.52,0.037
953.54,0.042
952.56,0.042
951.58,0.042
950.6,0.043
949.62,0.046
948.64,0.046
947.66,0.044
946.68,0.044
945.7,0.042
944.72,0.041
943.74,0.041
942.76,0.041
941.78,0.039
940.8,0.039
939.82,0.039
938.84,0.039
937.86,0.040
936.88,0.042
935.9,0.045
934.92,0.047
933.94,0.049
932.96,0.050
931.98,0.049
931.0,0.050
930.02,0.049
929.04,0.049
928.06,0.051
927.08,0.052
926.1,0.051
925.12,0.051
924.14,0.052
923.16,0.053
922.18,0.050
921.2,0.049
920.22,0.049
919.24,0.049
918.26,0.047
917.28,0.047
916.3,0.049
915.32,0.052
914.34,0.053
913.36,0.054
912.38,0.054
911.4,0.054
910.42,0.050
909.44,0.049
908.46,0.050
907.48,0.051
906.5,0.051
905.52,0.051
904.54,0.047
903.56,0.046
902.58,0.045
901.6,0.045
900.62,0.047
899.64,0.051
898.66,0.051
897.68,0.051
896.7,0.049
895.72,0.046
894.74,0.043
893.76,0.045
892.78,0.044
891.8,0.045
890.82,0.043
889.84,0.041
888.86,0.041
887.88,0.042
886.9,0.041
885.92,0.042
884.94,0.043
883.96,0.044
882.98,0.043
882.0,0.042
881.02,0.041
880.04,0.039
879.06,0.038
878.08,0.037
877.1,0.036
876.12,0.035
875.14,0.034
874.16,0.033
873.18,0.032
872.2,0.032
871.22,0.030
870.24,0.028
869.26,0.028
868.28,0.028
867.3,0.027
866.32,0.027
865.34,0.027
864.36,0.026
863.38,0.025
862.4,0.025
861.42,0.024
860.44,0.024
859.46,0.024
858.48,0.024
857.5,0.026
856.52,0.025
855.54,0.025
854.56,0.024
853.58,0.023
852.6,0.023
851.62,0.023
850.64,0.024
849.66,0.024
848.68,0.024
847.7,0.024
846.72,0.025
845.74,0.025
844.76,0.025
843.78,0.025
842.8,0.025
841.82,0.025
840.84,0.026
839.86,0.026
838.88,0.025
837.9,0.025
836.92,0.026
835.94,0.026
834.96,0.025
833.98,0.025
833.0,0.024
832.02,0.025
831.04,0.026
830.06,0.027
829.08,0.026
828.1,0.026
827.12,0.026
826.14,0.026
825.16,0.028
824.18,0.029
823.2,0.028
822.22,0.028
821.24,0.027
820.26,0.027
819.28,0.027
818.3,0.028
817.32,0.027
816.34,0.028
815.36,0.028
814.38,0.029
813.4,0.029
812.42,0.028
811.44,0.029
810.46,0.030
809.48,0.030
808.5,0.029
807.52,0.029
806.54,0.029
805.56,0.029
804.58,0.030
803.6,0.030
802.62,0.030
801.64,0.029
800.66,0.029
799.68,0.028
798.7,0.029
797.72,0.028
796.74,0.028
795.76,0.028
794.78,0.028
793.8,0.028
792.82,0.027
791.84,0.027
790.86,0.026
789.88,0.026
788.9,0.026
787.92,0.026
786.94,0.028
785.96,0.027
784.98,0.026
784.0,0.026
783.02,0.024
782.04,0.024
781.06,0.023
780.08,0.023
779.1,0.023
778.12,0.023
777.14,0.023
776.16,0.023
775.18,0.026
774.2,0.026
773.22,0.029
772.24,0.029
771.26,0.031
770.28,0.031
769.3,0.035
768.32,0.035
767.34,0.041
766.36,0.042
765.38,0.048
764.4,0.050
763.42,0.056
762.44,0.058
761.46,0.066
760.48,0.069
759.5,0.075
758.52,0.077
757.54,0.084
756.56,0.088
755.58,0.098
754.6,0.101
753.62,0.107
752.64,0.111
751.66,0.116
750.68,0.121
749.7,0.127
748.72,0.134
747.74,0.137
746.76,0.140
745.78,0.143
744.8,0.146
743.82,0.147
742.84,0.149
741.86,0.156
740.88,0.163
739.9,0.165
738.92,0.168
737.94,0.172
736.96,0.178
735.98,0.180
735.0,0.184
734.02,0.187
733.04,0.193
732.06,0.194
731.08,0.199
730.1,0.202
729.12,0.210
728.14,0.218
727.16,0.230
726.18,0.246
725.2,0.270
724.22,0.291
723.24,0.311
722.26,0.334
721.28,0.359
720.3,0.380
719.32,0.404
718.34,0.427
717.36,0.452
716.38,0.469
715.4,0.486
714.42,0.517
713.44,0.551
712.46,0.600
711.48,0.653
710.5,0.704
709.52,0.750
708.54,0.806
707.56,0.863
706.58,0.914
705.6,0.953
704.62,0.979
703.64,0.997
702.66,1.000
701.68,0.991
700.7,0.965
699.72,0.925
698.74,0.898
697.76,0.883
696.78,0.862
695.8,0.837
694.82,0.797
693.84,0.742
692.86,0.682
691.88,0.620
690.9,0.562
689.92,0.512
688.94,0.463
687.96,0.411
686.98,0.367
686.0,0.333
685.02,0.302
684.04,0.270
683.06,0.244
682.08,0.228
681.1,0.215
680.12,0.200
679.14,0.188
678.16,0.178
677.18,0.171
676.2,0.164
675.22,0.158
674.24,0.154
673.26,0.154
672.28,0.143
671.3,0.137
670.32,0.132
669.34,0.129
668.36,0.126
667.38,0.125
666.4,0.121
665.42,0.118
664.44,0.113
663.46,0.111
662.48,0.111
661.5,0.112
660.52,0.109
659.54,0.107
658.56,0.105
657.58,0.103
656.6,0.100
655.62,0.096
654.64,0.095
653.66,0.095
652.68,0.093
651.7,0.092
650.72,0.091
649.74,0.091
648.76,0.088
647.78,0.086
646.8,0.084
645.82,0.082
644.84,0.080
643.86,0.079
642.88,0.078
641.9,0.079
640.92,0.077
639.94,0.075
638.96,0.074
637.98,0.073
637.0,0.073
636.02,0.073
635.04,0.071
634.06,0.070
633.08,0.069
632.1,0.069
631.12,0.068
630.14,0.067
629.16,0.066
628.18,0.062
627.2,0.062
626.22,0.063
625.24,0.062
624.26,0.060
623.28,0.060
622.3,0.059
621.32,0.058
620.34,0.057
619.36,0.057
618.38,0.055
617.4,0.055
616.42,0.054
615.44,0.054
614.46,0.053
613.48,0.052
612.5,0.051
611.52,0.051
610.54,0.050
609.56,0.049
608.58,0.047
607.6,0.046
606.62,0.045
605.64,0.045
604.66,0.043
603.68,0.043
602.7,0.043
601.72,0.043
600.74,0.043
599.76,0.043
598.78,0.041
597.8,0.041
596.82,0.040
595.84,0.040
594.86,0.040
593.88,0.039
592.9,0.039
591.92,0.039
590.94,0.037
589.96,0.036
588.98,0.035
588.0,0.035
587.02,0.035
586.04,0.035
585.06,0.032
584.08,0.032
583.1,0.033
582.12,0.034
581.14,0.033
580.16,0.032
579.18,0.032
578.2,0.032
577.22,0.032
576.24,0.033
575.26,0.032
574.28,0.032
573.3,0.032
572.32,0.031
571.34,0.031
570.36,0.030
569.38,0.029
568.4,0.027
567.42,0.027
566.44,0.026
565.46,0.025
564.48,0.025
563.5,0.024
562.52,0.022
561.54,0.021
560.56,0.021
559.58,0.021
558.6,0.021
557.62,0.021
556.64,0.020
555.66,0.021
554.68,0.021
553.7,0.020
552.72,0.020
551.74,0.020
550.76,0.020
549.78,0.019
