wavelength,amplitude
999.18,0.049
998.27,0.049
997.36,0.049
996.45,0.049
995.54,0.049
994.63,0.049
993.72,0.049
992.81,0.049
991.9,0.049
990.99,0.049
990.08,0.049
989.17,0.049
988.26,0.049
987.35,0.049
986.44,0.049
985.53,0.049
984.62,0.049
983.71,0.049
982.8,0.049
981.89,0.049
980.98,0.049
980.07,0.049
979.16,0.049
978.25,0.049
977.34,0.049
976.43,0.049
975.52,0.049
974.61,0.049
973.7,0.049
972.79,0.049
971.88,0.049
970.97,0.049
970.06,0.049
969.15,0.049
968.24,0.049
967.33,0.049
966.42,0.049
965.51,0.049
964.6,0.049
963.69,0.049
962.78,0.049
961.87,0.049
960.96,0.049
960.05,0.049
959.14,0.049
958.23,0.049
957.32,0.049
956.41,0.049
955.5,0.049
954.59,0.049
953.68,0.049
952.77,0.049
951.86,0.049
950.95,0.049
950.04,0.049
949.13,0.049
948.22,0.049
947.31,0.049
946.4,0.049
945.49,0.049
944.58,0.049
943.67,0.049
942.76,0.049
941.85,0.049
940.94,0.049
940.03,0.049
939.12,0.049
938.21,0.049
937.3,0.049
936.39,0.049
935.48,0.049
934.57,0.049
933.66,0.049
932.75,0.049
931.84,0.049
930.93,0.049
930.02,0.049
929.11,0.049
928.2,0.049
927.29,0.049
926.38,0.049
925.47,0.049
924.56,0.049
923.65,0.049
922.74,0.049
921.83,0.049
920.92,0.049
920.01,0.049
919.1,0.049
918.19,0.049
917.28,0.049
916.37,0.049
915.46,0.049
914.55,0.049
913.64,0.049
912.73,0.049
911.82,0.049
910.91,0.049
910.0,0.049
909.09,0.049
908.18,0.049
907.27,0.049
906.36,0.049
905.45,0.049
904.54,0.049
903.63,0.049
902.72,0.049
901.81,0.049
900.9,0.049
899.99,0.049
899.08,0.049
898.17,0.049
897.26,0.049
896.35,0.049
895.44,0.049
894.53,0.049
893.62,0.049
892.71,0.049
891.8,0.049
890.89,0.049
889.98,0.049
889.07,0.049
888.16,0.049
887.25,0.049
886.34,0.049
885.43,0.049
884.52,0.049
883.61,0.049
882.7,0.049
881.79,0.049
880.88,0.049
879.97,0.049
879.06,0.049
878.15,0.049
877.24,0.049
876.33,0.049
875.42,0.049
874.51,0.049
873.6,0.048
872.69,0.048
871.78,0.048
870.87,0.048
869.96,0.048
869.05,0.048
