wavelength,amplitude
999.22,0.049
998.28,0.050
997.34,0.050
996.4,0.051
995.46,0.051
994.52,0.050
993.58,0.050
992.64,0.051
991.7,0.051
990.76,0.051
989.82,0.052
988.88,0.051
987.94,0.052
987.0,0.052
986.06,0.053
985.12,0.053
984.18,0.053
983.24,0.053
982.3,0.053
981.36,0.052
980.42,0.052
979.48,0.052
978.54,0.053
977.6,0.052
976.66,0.053
975.72,0.053
974.78,0.054
973.84,0.054
972.9,0.055
971.96,0.055
971.02,0.055
970.08,0.056
969.14,0.056
968.2,0.056
967.26,0.056
966.32,0.055
965.38,0.055
964.44,0.055
963.5,0.055
962.56,0.055
961.62,0.055
960.68,0.056
959.74,0.055
958.8,0.055
957.86,0.056
956.92,0.056
955.98,0.056
955.04,0.056
954.1,0.056
953.16,0.056
952.22,0.056
951.28,0.056
950.34,0.056
949.4,0.056
948.46,0.056
947.52,0.056
946.58,0.057
945.64,0.057
944.7,0.057
943.76,0.057
942.82,0.056
941.88,0.057
940.94,0.057
940.0,0.056
939.06,0.057
938.12,0.057
937.18,0.057
936.24,0.057
935.3,0.057
934.36,0.057
933.42,0.057
932.48,0.056
931.54,0.057
930.6,0.058
929.66,0.057
928.72,0.057
927.78,0.057
926.84,0.057
925.9,0.057
924.96,0.057
924.02,0.057
923.08,0.057
922.14,0.057
921.2,0.057
920.26,0.057
919.32,0.057
918.38,0.057
917.44,0.057
916.5,0.057
915.56,0.057
914.62,0.057
913.68,0.057
912.74,0.057
911.8,0.058
910.86,0.058
909.92,0.057
908.98,0.057
908.04,0.057
907.1,0.057
906.16,0.057
905.22,0.057
904.28,0.057
903.34,0.057
902.4,0.057
901.46,0.057
900.52,0.057
899.58,0.057
898.64,0.058
897.7,0.058
896.76,0.057
895.82,0.058
894.88,0.057
893.94,0.057
893.0,0.058
892.06,0.058
891.12,0.058
890.18,0.058
889.24,0.058
888.3,0.058
887.36,0.058
886.42,0.058
885.48,0.058
884.54,0.059
883.6,0.058
882.66,0.058
881.72,0.058
880.78,0.058
879.84,0.058
878.9,0.059
877.96,0.058
877.02,0.059
876.08,0.059
875.14,0.058
874.2,0.059
873.26,0.059
872.32,0.059
871.38,0.059
870.44,0.059
869.5,0.060
868.56,0.059
867.62,0.059
