wavelength,amplitude
999.4,0.015
998.45,0.015
997.5,0.015
996.55,0.015
995.6,0.015
994.65,0.015
993.7,0.015
992.75,0.015
991.8,0.015
990.85,0.015
989.9,0.015
988.95,0.015
988.0,0.015
987.05,0.015
986.1,0.015
985.15,0.015
984.2,0.015
983.25,0.015
982.3,0.015
981.35,0.015
980.4,0.015
979.45,0.015
978.5,0.015
977.55,0.015
976.6,0.015
975.65,0.015
974.7,0.015
973.75,0.015
972.8,0.015
971.85,0.015
970.9,0.015
969.95,0.015
969.0,0.015
968.05,0.015
967.1,0.015
966.15,0.015
965.2,0.015
964.25,0.015
963.3,0.015
962.35,0.015
961.4,0.015
960.45,0.015
959.5,0.015
958.55,0.015
957.6,0.015
956.65,0.015
955.7,0.015
954.75,0.015
953.8,0.015
952.85,0.015
951.9,0.015
950.95,0.015
950.0,0.015
949.05,0.015
948.1,0.015
947.15,0.015
946.2,0.015
945.25,0.015
944.3,0.015
943.35,0.015
942.4,0.015
941.45,0.015
940.5,0.015
939.55,0.015
938.6,0.015
937.65,0.015
936.7,0.015
935.75,0.015
934.8,0.015
933.85,0.015
932.9,0.015
931.95,0.015
931.0,0.015
930.05,0.015
929.1,0.015
928.15,0.015
927.2,0.015
926.25,0.015
925.3,0.015
924.35,0.015
923.4,0.015
922.45,0.015
921.5,0.015
920.55,0.015
919.6,0.015
918.65,0.015
917.7,0.015
916.75,0.015
915.8,0.015
914.85,0.015
913.9,0.015
912.95,0.015
912.0,0.015
911.05,0.015
910.1,0.015
909.15,0.015
908.2,0.015
907.25,0.015
906.3,0.015
905.35,0.015
904.4,0.015
903.45,0.015
902.5,0.015
901.55,0.015
900.6,0.015
899.65,0.015
898.7,0.015
897.75,0.015
896.8,0.015
895.85,0.015
894.9,0.015
893.95,0.015
893.0,0.015
892.05,0.015
891.1,0.015
890.15,0.015
889.2,0.015
888.25,0.015
887.3,0.015
886.35,0.015
885.4,0.015
884.45,0.015
883.5,0.015
882.55,0.015
881.6,0.015
880.65,0.015
879.7,0.015
878.75,0.015
877.8,0.015
876.85,0.015
875.9,0.015
874.95,0.015
874.0,0.015
873.05,0.015
872.1,0.015
871.15,0.015
870.2,0.015
869.25,0.015
868.3,0.015
867.35,0.015
866.4,0.015
865.45,0.015
864.5,0.015
863.55,0.015
862.6,0.015
861.65,0.015
860.7,0.015
859.75,0.015
858.8,0.015
857.85,0.015
856.9,0.015
855.95,0.015
855.0,0.015
854.05,0.015
853.1,0.015
852.15,0.015
851.2,0.015
850.25,0.015
849.3,0.015
848.35,0.015
847.4,0.015
846.45,0.015
845.5,0.015
844.55,0.015
843.6,0.015
842.65,0.015
841.7,0.015
840.75,0.015
839.8,0.015
838.85,0.015
837.9,0.015
836.95,0.015
836.0,0.015
835.05,0.015
834.1,0.015
833.15,0.015
832.2,0.015
831.25,0.015
830.3,0.015
829.35,0.015
828.4,0.015
827.45,0.015
826.5,0.014
825.55,0.014
824.6,0.014
823.65,0.014
822.7,0.015
821.75,0.015
820.8,0.015
819.85,0.015
818.9,0.015
817.95,0.015
817.0,0.015
816.05,0.015
815.1,0.015
814.15,0.015
813.2,0.015
812.25,0.015
811.3,0.014
810.35,0.014
809.4,0.014
808.45,0.014
807.5,0.013
806.55,0.013
805.6,0.013
804.65,0.013
803.7,0.013
802.75,0.013
801.8,0.013
800.85,0.013
799.9,0.014
798.95,0.014
798.0,0.014
797.05,0.014
796.1,0.012
795.15,0.012
794.2,0.012
793.25,0.012
792.3,0.010
791.35,0.010
790.4,0.010
789.45,0.010
788.5,0.008
787.55,0.008
786.6,0.008
785.65,0.008
784.7,0.007
783.75,0.007
782.8,0.007
781.85,0.007
780.9,0.007
779.95,0.007
779.0,0.010
778.05,0.013
777.1,0.022
776.15,0.035
775.2,0.049
774.25,0.061
773.3,0.082
772.35,0.095
771.4,0.108
770.45,0.115
769.5,0.115
768.55,0.109
767.6,0.097
766.65,0.085
765.7,0.061
764.75,0.047
763.8,0.031
762.85,0.024
761.9,0.018
760.95,0.014
760.0,0.011
759.05,0.010
758.1,0.011
757.15,0.011
756.2,0.013
755.25,0.013
754.3,0.017
753.35,0.017
752.4,0.018
751.45,0.018
750.5,0.023
749.55,0.023
748.6,0.025
747.65,0.025
746.7,0.022
745.75,0.022
744.8,0.017
743.85,0.017
742.9,0.014
741.95,0.014
741.0,0.014
740.05,0.014
739.1,0.014
738.15,0.014
737.2,0.014
736.25,0.014
735.3,0.014
734.35,0.014
733.4,0.015
732.45,0.015
731.5,0.017
730.55,0.017
729.6,0.019
728.65,0.019
727.7,0.021
726.75,0.026
725.8,0.026
724.85,0.032
723.9,0.035
722.95,0.040
722.0,0.041
721.05,0.043
720.1,0.043
719.15,0.041
718.2,0.041
717.25,0.042
716.3,0.044
715.35,0.049
714.4,0.055
