wavelength,amplitude
999.4,0.098
998.45,0.098
997.5,0.098
996.55,0.098
995.6,0.098
994.65,0.098
993.7,0.098
992.75,0.098
991.8,0.098
990.85,0.098
989.9,0.098
988.95,0.098
988.0,0.098
987.05,0.098
986.1,0.098
985.15,0.098
984.2,0.098
983.25,0.098
982.3,0.098
981.35,0.098
980.4,0.098
979.45,0.098
978.5,0.098
977.55,0.098
976.6,0.098
975.65,0.098
974.7,0.098
973.75,0.098
972.8,0.098
971.85,0.098
970.9,0.098
969.95,0.098
969.0,0.098
968.05,0.098
967.1,0.098
966.15,0.098
965.2,0.098
964.25,0.098
963.3,0.098
962.35,0.098
961.4,0.098
960.45,0.098
959.5,0.098
958.55,0.098
957.6,0.098
956.65,0.098
955.7,0.098
954.75,0.098
953.8,0.098
952.85,0.098
951.9,0.098
950.95,0.098
950.0,0.098
949.05,0.098
948.1,0.098
947.15,0.098
946.2,0.098
945.25,0.098
944.3,0.098
943.35,0.098
942.4,0.098
941.45,0.098
940.5,0.098
939.55,0.098
938.6,0.098
937.65,0.098
936.7,0.098
935.75,0.098
934.8,0.098
933.85,0.098
932.9,0.098
931.95,0.080
931.0,0.080
930.05,0.080
929.1,0.080
928.15,0.080
927.2,0.080
926.25,0.080
925.3,0.080
924.35,0.082
923.4,0.082
922.45,0.081
921.5,0.081
920.55,0.077
919.6,0.087
918.65,0.112
917.7,0.168
916.75,0.222
915.8,0.255
914.85,0.268
913.9,0.241
912.95,0.177
912.0,0.132
911.05,0.098
910.1,0.082
909.15,0.078
908.2,0.081
907.25,0.077
906.3,0.077
905.35,0.079
904.4,0.079
903.45,0.079
902.5,0.079
901.55,0.077
900.6,0.077
899.65,0.077
898.7,0.077
897.75,0.079
896.8,0.079
895.85,0.081
894.9,0.080
893.95,0.077
893.0,0.078
892.05,0.077
891.1,0.077
890.15,0.077
889.2,0.077
888.25,0.077
887.3,0.077
886.35,0.078
885.4,0.077
884.45,0.098
883.5,0.104
882.55,0.202
881.6,0.311
880.65,0.465
879.7,0.631
878.75,0.656
877.8,0.694
876.85,0.562
875.9,0.412
874.95,0.283
874.0,0.152
873.05,0.132
872.1,0.101
871.15,0.107
870.2,0.131
869.25,0.149
868.3,0.185
867.35,0.198
866.4,0.192
865.45,0.166
864.5,0.134
863.55,0.123
862.6,0.106
861.65,0.106
860.7,0.123
859.75,0.123
858.8,0.123
857.85,0.122
856.9,0.101
855.95,0.092
855.0,0.077
854.05,0.077
853.1,0.077
852.15,0.083
851.2,0.083
850.25,0.083
849.3,0.083
848.35,0.077
847.4,0.077
846.45,0.077
845.5,0.077
844.55,0.078
843.6,0.078
842.65,0.083
841.7,0.083
840.75,0.084
839.8,0.083
838.85,0.079
837.9,0.079
836.95,0.083
836.0,0.101
835.05,0.121
834.1,0.140
833.15,0.136
832.2,0.116
831.25,0.107
830.3,0.091
829.35,0.089
828.4,0.107
827.45,0.132
826.5,0.195
825.55,0.249
824.6,0.270
823.65,0.298
822.7,0.248
821.75,0.193
820.8,0.142
819.85,0.109
818.9,0.097
817.95,0.084
817.0,0.084
816.05,0.078
815.1,0.079
814.15,0.084
813.2,0.101
812.25,0.116
811.3,0.134
810.35,0.145
809.4,0.128
808.45,0.126
807.5,0.108
806.55,0.098
805.6,0.097
804.65,0.076
803.7,0.075
802.75,0.075
801.8,0.075
800.85,0.077
799.9,0.076
798.95,0.092
798.0,0.093
797.05,0.099
796.1,0.100
795.15,0.097
794.2,0.096
793.25,0.077
792.3,0.075
791.35,0.075
790.4,0.075
789.45,0.071
788.5,0.071
787.55,0.071
786.6,0.070
785.65,0.071
784.7,0.070
783.75,0.070
782.8,0.069
781.85,0.074
780.9,0.074
779.95,0.074
779.0,0.073
778.05,0.071
777.1,0.070
776.15,0.070
775.2,0.070
774.25,0.067
773.3,0.067
772.35,0.079
771.4,0.079
770.45,0.093
769.5,0.105
768.55,0.119
767.6,0.119
766.65,0.130
765.7,0.146
764.75,0.159
763.8,0.170
762.85,0.168
761.9,0.156
760.95,0.138
760.0,0.114
759.05,0.096
758.1,0.082
757.15,0.075
756.2,0.071
755.25,0.076
754.3,0.076
753.35,0.078
752.4,0.078
751.45,0.085
750.5,0.085
749.55,0.076
748.6,0.076
747.65,0.072
746.7,0.072
745.75,0.071
744.8,0.071
743.85,0.074
742.9,0.073
741.95,0.072
741.0,0.071
740.05,0.063
739.1,0.063
738.15,0.063
737.2,0.063
736.25,0.063
735.3,0.062
734.35,0.062
733.4,0.062
732.45,0.061
731.5,0.061
730.55,0.061
729.6,0.061
728.65,0.061
727.7,0.061
726.75,0.061
725.8,0.061
724.85,0.060
723.9,0.060
722.95,0.060
722.0,0.065
721.05,0.071
720.1,0.071
719.15,0.072
718.2,0.074
717.25,0.074
716.3,0.076
715.35,0.077
714.4,0.076
713.45,0.075
712.5,0.073
711.55,0.070
710.6,0.074
