wavelength,amplitude
934.8,0.024
933.85,0.024
932.9,0.024
931.95,0.024
931.0,0.024
930.05,0.024
929.1,0.024
928.15,0.024
927.2,0.024
926.25,0.024
925.3,0.024
924.35,0.024
923.4,0.024
922.45,0.024
921.5,0.024
920.55,0.024
919.6,0.024
918.65,0.024
917.7,0.024
916.75,0.024
915.8,0.024
914.85,0.024
913.9,0.024
912.95,0.024
912.0,0.024
911.05,0.024
910.1,0.024
909.15,0.024
908.2,0.024
907.25,0.024
906.3,0.024
905.35,0.024
904.4,0.024
903.45,0.024
902.5,0.024
901.55,0.024
900.6,0.024
899.65,0.024
898.7,0.024
897.75,0.024
896.8,0.024
895.85,0.024
894.9,0.024
893.95,0.024
893.0,0.024
892.05,0.024
891.1,0.024
890.15,0.024
889.2,0.024
888.25,0.024
887.3,0.024
886.35,0.024
885.4,0.024
884.45,0.024
883.5,0.024
882.55,0.024
881.6,0.024
880.65,0.024
879.7,0.024
878.75,0.024
877.8,0.024
876.85,0.024
875.9,0.024
874.95,0.024
874.0,0.024
873.05,0.024
872.1,0.024
871.15,0.024
870.2,0.024
869.25,0.024
868.3,0.024
867.35,0.024
866.4,0.024
865.45,0.024
864.5,0.024
863.55,0.024
862.6,0.024
861.65,0.024
860.7,0.024
859.75,0.024
858.8,0.024
857.85,0.024
856.9,0.024
855.95,0.024
855.0,0.024
854.05,0.024
853.1,0.024
852.15,0.024
851.2,0.024
850.25,0.024
849.3,0.024
848.35,0.024
847.4,0.024
846.45,0.024
845.5,0.024
844.55,0.024
843.6,0.024
842.65,0.024
841.7,0.024
840.75,0.024
839.8,0.024
838.85,0.024
837.9,0.024
836.95,0.024
836.0,0.024
835.05,0.024
834.1,0.024
833.15,0.024
832.2,0.024
831.25,0.024
830.3,0.024
829.35,0.024
828.4,0.024
827.45,0.024
826.5,0.024
825.55,0.024
824.6,0.024
823.65,0.024
822.7,0.024
821.75,0.024
820.8,0.024
819.85,0.024
818.9,0.024
817.95,0.024
817.0,0.024
816.05,0.024
815.1,0.024
814.15,0.024
813.2,0.024
812.25,0.024
811.3,0.024
810.35,0.024
809.4,0.024
808.45,0.024
807.5,0.024
806.55,0.024
805.6,0.024
804.65,0.024
803.7,0.023
802.75,0.023
801.8,0.023
800.85,0.023
799.9,0.023
798.95,0.023
798.0,0.023
797.05,0.023
796.1,0.023
795.15,0.023
794.2,0.023
793.25,0.023
792.3,0.022
791.35,0.022
790.4,0.022
789.45,0.022
788.5,0.022
787.55,0.022
786.6,0.022
785.65,0.022
784.7,0.022
783.75,0.022
782.8,0.022
781.85,0.022
780.9,0.021
779.95,0.021
779.0,0.021
778.05,0.021
777.1,0.021
776.15,0.021
775.2,0.021
774.25,0.021
773.3,0.021
772.35,0.021
771.4,0.021
770.45,0.021
769.5,0.021
768.55,0.021
767.6,0.020
766.65,0.020
765.7,0.020
764.75,0.020
763.8,0.020
762.85,0.020
761.9,0.020
760.95,0.020
760.0,0.020
759.05,0.020
758.1,0.020
757.15,0.020
756.2,0.019
755.25,0.019
754.3,0.019
753.35,0.019
752.4,0.019
751.45,0.019
750.5,0.019
749.55,0.019
748.6,0.019
747.65,0.019
746.7,0.019
745.75,0.019
744.8,0.019
743.85,0.019
742.9,0.018
741.95,0.018
741.0,0.018
740.05,0.018
739.1,0.018
738.15,0.018
737.2,0.018
736.25,0.018
735.3,0.018
734.35,0.018
733.4,0.018
732.45,0.018
731.5,0.018
730.55,0.018
729.6,0.018
728.65,0.018
727.7,0.018
726.75,0.018
725.8,0.018
724.85,0.017
723.9,0.017
722.95,0.017
722.0,0.017
721.05,0.017
720.1,0.017
719.15,0.017
718.2,0.017
717.25,0.017
716.3,0.017
715.35,0.017
714.4,0.017
713.45,0.017
712.5,0.017
711.55,0.017
710.6,0.017
709.65,0.017
708.7,0.017
707.75,0.017
706.8,0.017
705.85,0.016
704.9,0.016
703.95,0.016
703.0,0.016
702.05,0.016
701.1,0.016
700.15,0.016
699.2,0.016
698.25,0.016
697.3,0.016
696.35,0.016
695.4,0.016
694.45,0.016
693.5,0.016
692.55,0.016
691.6,0.016
690.65,0.016
689.7,0.016
688.75,0.016
687.8,0.016
686.85,0.016
685.9,0.016
684.95,0.016
684.0,0.015
683.05,0.015
682.1,0.015
681.15,0.015
680.2,0.015
679.25,0.015
678.3,0.015
677.35,0.015
676.4,0.015
675.45,0.015
674.5,0.015
673.55,0.015
672.6,0.015
671.65,0.015
670.7,0.015
669.75,0.015
668.8,0.015
667.85,0.015
666.9,0.015
665.95,0.015
665.0,0.015
664.05,0.015
663.1,0.015
662.15,0.015
661.2,0.015
660.25,0.015
659.3,0.015
658.35,0.015
657.4,0.015
656.45,0.015
655.5,0.014
654.55,0.014
653.6,0.014
652.65,0.014
651.7,0.014
650.75,0.014
649.8,0.010
648.85,0.010
647.9,0.014
646.95,0.016
646.0,0.022
645.05,0.035
644.1,0.055
643.15,0.073
642.2,0.099
641.25,0.114
640.3,0.127
639.35,0.134
638.4,0.140
637.45,0.142
636.5,0.147
635.55,0.149
634.6,0.156
633.65,0.157
632.7,0.163
631.75,0.164
630.8,0.169
629.85,0.174
628.9,0.184
627.95,0.200
627.0,0.227
626.05,0.275
625.1,0.346
624.15,0.432
623.2,0.546
622.25,0.667
621.3,0.801
620.35,0.906
619.4,0.977
618.45,1.000
617.5,0.949
616.55,0.869
615.6,0.729
614.65,0.592
613.7,0.451
612.75,0.338
611.8,0.261
610.85,0.203
609.9,0.177
608.95,0.166
608.0,0.179
607.05,0.197
606.1,0.222
605.15,0.247
604.2,0.252
603.25,0.256
602.3,0.259
601.35,0.266
600.4,0.296
599.45,0.326
598.5,0.355
597.55,0.380
596.6,0.373
595.65,0.368
594.7,0.368
593.75,0.371
592.8,0.399
591.85,0.423
590.9,0.429
589.95,0.435
589.0,0.419
588.05,0.401
587.1,0.384
586.15,0.366
585.2,0.362
584.25,0.357
583.3,0.356
582.35,0.359
581.4,0.329
580.45,0.299
579.5,0.241
578.55,0.183
577.6,0.130
