wavelength,amplitude
948.1,0.023
947.15,0.023
946.2,0.023
945.25,0.023
944.3,0.023
943.35,0.023
942.4,0.023
941.45,0.023
940.5,0.023
939.55,0.023
938.6,0.023
937.65,0.023
936.7,0.023
935.75,0.023
934.8,0.023
933.85,0.023
932.9,0.023
931.95,0.023
931.0,0.023
930.05,0.023
929.1,0.023
928.15,0.023
927.2,0.023
926.25,0.023
925.3,0.023
924.35,0.023
923.4,0.023
922.45,0.023
921.5,0.023
920.55,0.023
919.6,0.023
918.65,0.023
917.7,0.023
916.75,0.023
915.8,0.023
914.85,0.023
913.9,0.023
912.95,0.023
912.0,0.023
911.05,0.023
910.1,0.023
909.15,0.023
908.2,0.023
907.25,0.023
906.3,0.023
905.35,0.023
904.4,0.023
903.45,0.023
902.5,0.023
901.55,0.023
900.6,0.023
899.65,0.023
898.7,0.023
897.75,0.023
896.8,0.023
895.85,0.023
894.9,0.023
893.95,0.023
893.0,0.023
892.05,0.023
891.1,0.023
890.15,0.023
889.2,0.023
888.25,0.023
887.3,0.023
886.35,0.023
885.4,0.023
884.45,0.023
883.5,0.023
882.55,0.024
881.6,0.024
880.65,0.027
879.7,0.030
878.75,0.033
877.8,0.034
876.85,0.031
875.9,0.029
874.95,0.024
874.0,0.023
873.05,0.023
872.1,0.023
871.15,0.023
870.2,0.023
869.25,0.023
868.3,0.023
867.35,0.023
866.4,0.023
865.45,0.023
864.5,0.023
863.55,0.023
862.6,0.023
861.65,0.023
860.7,0.023
859.75,0.023
858.8,0.023
857.85,0.023
856.9,0.023
855.95,0.023
855.0,0.023
854.05,0.023
853.1,0.023
852.15,0.023
851.2,0.023
850.25,0.023
849.3,0.023
848.35,0.023
847.4,0.023
846.45,0.023
845.5,0.023
844.55,0.023
843.6,0.023
842.65,0.023
841.7,0.023
840.75,0.023
839.8,0.023
838.85,0.023
837.9,0.023
836.95,0.023
836.0,0.023
835.05,0.023
834.1,0.023
833.15,0.023
832.2,0.023
831.25,0.023
830.3,0.023
829.35,0.023
828.4,0.023
827.45,0.023
826.5,0.023
825.55,0.023
824.6,0.023
823.65,0.023
822.7,0.023
821.75,0.023
820.8,0.023
819.85,0.023
818.9,0.023
817.95,0.023
817.0,0.023
816.05,0.023
815.1,0.023
814.15,0.023
813.2,0.023
812.25,0.023
811.3,0.023
810.35,0.023
809.4,0.023
808.45,0.023
807.5,0.023
806.55,0.023
805.6,0.023
804.65,0.023
803.7,0.023
802.75,0.023
801.8,0.022
800.85,0.022
799.9,0.022
798.95,0.022
798.0,0.022
797.05,0.022
796.1,0.022
795.15,0.022
794.2,0.022
793.25,0.022
792.3,0.021
791.35,0.021
790.4,0.021
789.45,0.021
788.5,0.021
787.55,0.021
786.6,0.021
785.65,0.021
784.7,0.021
783.75,0.021
782.8,0.020
781.85,0.020
780.9,0.020
