wavelength,amplitude
951.9,0.038
950.95,0.038
950.0,0.038
949.05,0.038
948.1,0.038
947.15,0.038
946.2,0.038
945.25,0.038
944.3,0.038
943.35,0.038
942.4,0.038
941.45,0.038
940.5,0.038
939.55,0.038
938.6,0.038
937.65,0.038
936.7,0.038
935.75,0.038
934.8,0.038
933.85,0.038
932.9,0.038
931.95,0.038
931.0,0.038
930.05,0.038
929.1,0.038
928.15,0.038
927.2,0.038
926.25,0.038
925.3,0.038
924.35,0.038
923.4,0.038
922.45,0.038
921.5,0.038
920.55,0.038
919.6,0.038
918.65,0.038
917.7,0.038
916.75,0.038
915.8,0.038
914.85,0.038
913.9,0.038
912.95,0.038
912.0,0.038
911.05,0.038
910.1,0.038
909.15,0.038
908.2,0.038
907.25,0.038
906.3,0.038
905.35,0.038
904.4,0.038
903.45,0.038
902.5,0.038
901.55,0.038
900.6,0.038
899.65,0.038
898.7,0.038
897.75,0.038
896.8,0.038
895.85,0.038
894.9,0.038
893.95,0.038
893.0,0.038
892.05,0.038
891.1,0.038
890.15,0.038
889.2,0.038
888.25,0.038
887.3,0.038
886.35,0.038
885.4,0.038
884.45,0.038
883.5,0.038
882.55,0.038
881.6,0.038
880.65,0.038
879.7,0.038
878.75,0.038
877.8,0.038
876.85,0.038
875.9,0.038
874.95,0.038
874.0,0.038
873.05,0.038
872.1,0.038
871.15,0.038
870.2,0.038
869.25,0.038
868.3,0.038
867.35,0.038
866.4,0.038
865.45,0.038
864.5,0.038
863.55,0.038
862.6,0.038
861.65,0.038
860.7,0.038
859.75,0.038
858.8,0.038
857.85,0.038
856.9,0.038
855.95,0.038
855.0,0.038
854.05,0.038
853.1,0.038
852.15,0.038
851.2,0.038
850.25,0.038
849.3,0.038
848.35,0.038
847.4,0.038
846.45,0.038
845.5,0.038
844.55,0.038
843.6,0.038
842.65,0.038
841.7,0.038
840.75,0.038
839.8,0.038
838.85,0.038
837.9,0.038
836.95,0.038
836.0,0.038
835.05,0.038
834.1,0.038
833.15,0.038
832.2,0.038
831.25,0.038
830.3,0.038
829.35,0.038
828.4,0.038
827.45,0.038
826.5,0.038
825.55,0.038
824.6,0.038
823.65,0.038
822.7,0.038
821.75,0.038
820.8,0.038
819.85,0.038
818.9,0.038
817.95,0.038
817.0,0.038
816.05,0.038
815.1,0.038
814.15,0.038
813.2,0.038
812.25,0.038
811.3,0.038
810.35,0.038
809.4,0.038
808.45,0.038
807.5,0.038
806.55,0.038
805.6,0.037
804.65,0.037
803.7,0.037
802.75,0.037
801.8,0.037
800.85,0.037
799.9,0.037
798.95,0.036
798.0,0.036
797.05,0.036
796.1,0.036
795.15,0.036
794.2,0.036
793.25,0.036
792.3,0.036
791.35,0.035
790.4,0.035
789.45,0.035
788.5,0.035
787.55,0.035
786.6,0.035
785.65,0.035
784.7,0.035
783.75,0.034
782.8,0.034
781.85,0.034
780.9,0.034
779.95,0.034
779.0,0.034
778.05,0.034
777.1,0.034
776.15,0.033
775.2,0.033
774.25,0.033
773.3,0.033
772.35,0.033
771.4,0.033
770.45,0.033
769.5,0.033
768.55,0.033
767.6,0.032
766.65,0.032
765.7,0.032
764.75,0.032
763.8,0.032
762.85,0.032
761.9,0.032
760.95,0.032
760.0,0.032
759.05,0.031
758.1,0.031
757.15,0.031
756.2,0.031
755.25,0.031
754.3,0.031
753.35,0.031
752.4,0.031
751.45,0.031
750.5,0.031
749.55,0.030
748.6,0.030
747.65,0.030
746.7,0.030
745.75,0.030
744.8,0.030
743.85,0.030
742.9,0.030
741.95,0.030
741.0,0.030
740.05,0.030
739.1,0.029
738.15,0.029
737.2,0.029
736.25,0.029
735.3,0.029
734.35,0.029
733.4,0.029
732.45,0.029
731.5,0.029
730.55,0.029
729.6,0.029
728.65,0.028
727.7,0.028
726.75,0.028
725.8,0.028
724.85,0.028
723.9,0.028
722.95,0.028
722.0,0.028
721.05,0.028
720.1,0.028
719.15,0.028
718.2,0.028
717.25,0.028
716.3,0.027
715.35,0.027
714.4,0.027
713.45,0.027
712.5,0.027
711.55,0.027
710.6,0.027
709.65,0.027
708.7,0.027
707.75,0.027
706.8,0.027
705.85,0.027
704.9,0.027
703.95,0.026
703.0,0.026
702.05,0.026
701.1,0.026
700.15,0.026
699.2,0.026
698.25,0.026
697.3,0.026
696.35,0.026
695.4,0.026
694.45,0.026
693.5,0.026
692.55,0.026
691.6,0.025
690.65,0.025
689.7,0.021
688.75,0.021
687.8,0.021
686.85,0.021
685.9,0.022
684.95,0.022
684.0,0.022
683.05,0.022
682.1,0.021
681.15,0.021
680.2,0.023
679.25,0.023
678.3,0.022
677.35,0.022
676.4,0.028
675.45,0.029
674.5,0.037
673.55,0.038
672.6,0.045
671.65,0.050
670.7,0.061
669.75,0.066
668.8,0.076
667.85,0.083
666.9,0.096
665.95,0.106
665.0,0.125
664.05,0.132
663.1,0.151
662.15,0.162
661.2,0.181
660.25,0.193
659.3,0.214
658.35,0.225
657.4,0.243
656.45,0.260
655.5,0.276
654.55,0.292
653.6,0.308
652.65,0.327
651.7,0.343
650.75,0.357
649.8,0.374
648.85,0.391
647.9,0.408
646.95,0.424
646.0,0.442
645.05,0.458
644.1,0.474
643.15,0.488
642.2,0.509
641.25,0.527
640.3,0.548
639.35,0.566
638.4,0.589
637.45,0.608
636.5,0.633
635.55,0.654
634.6,0.676
