wavelength,amplitude
960.45,0.047
959.5,0.047
958.55,0.047
957.6,0.047
956.65,0.047
955.7,0.047
954.75,0.047
953.8,0.047
952.85,0.047
951.9,0.047
950.95,0.047
950.0,0.047
949.05,0.047
948.1,0.047
947.15,0.047
946.2,0.047
945.25,0.047
944.3,0.047
943.35,0.047
942.4,0.047
941.45,0.047
940.5,0.047
939.55,0.047
938.6,0.047
937.65,0.047
936.7,0.047
935.75,0.047
934.8,0.047
933.85,0.047
932.9,0.047
931.95,0.047
931.0,0.047
930.05,0.047
929.1,0.047
928.15,0.047
927.2,0.047
926.25,0.047
925.3,0.047
924.35,0.047
923.4,0.047
922.45,0.047
921.5,0.047
920.55,0.047
919.6,0.047
918.65,0.047
917.7,0.047
916.75,0.047
915.8,0.047
914.85,0.047
913.9,0.047
912.95,0.047
912.0,0.047
911.05,0.047
910.1,0.047
909.15,0.047
908.2,0.047
907.25,0.047
906.3,0.047
905.35,0.047
904.4,0.047
903.45,0.047
902.5,0.047
901.55,0.047
900.6,0.047
899.65,0.047
898.7,0.047
897.75,0.047
896.8,0.047
895.85,0.047
894.9,0.047
893.95,0.047
893.0,0.047
892.05,0.047
891.1,0.047
890.15,0.047
889.2,0.047
888.25,0.047
887.3,0.047
886.35,0.047
885.4,0.047
884.45,0.047
883.5,0.047
882.55,0.047
881.6,0.047
880.65,0.047
879.7,0.047
878.75,0.047
877.8,0.047
876.85,0.047
875.9,0.047
874.95,0.047
874.0,0.047
873.05,0.047
872.1,0.047
871.15,0.047
870.2,0.047
869.25,0.047
868.3,0.047
867.35,0.047
866.4,0.047
865.45,0.047
864.5,0.047
863.55,0.047
862.6,0.047
861.65,0.047
860.7,0.047
859.75,0.047
858.8,0.047
857.85,0.047
856.9,0.047
855.95,0.047
855.0,0.047
854.05,0.047
853.1,0.047
852.15,0.047
851.2,0.047
850.25,0.047
849.3,0.047
848.35,0.047
847.4,0.047
846.45,0.047
845.5,0.047
844.55,0.047
843.6,0.047
842.65,0.047
841.7,0.047
840.75,0.047
839.8,0.047
838.85,0.047
837.9,0.047
836.95,0.047
836.0,0.047
835.05,0.047
834.1,0.047
833.15,0.047
832.2,0.047
831.25,0.047
830.3,0.047
829.35,0.047
828.4,0.047
827.45,0.047
826.5,0.047
825.55,0.047
824.6,0.047
823.65,0.047
822.7,0.047
821.75,0.047
820.8,0.047
819.85,0.047
818.9,0.047
817.95,0.047
817.0,0.047
816.05,0.047
815.1,0.047
814.15,0.047
813.2,0.047
812.25,0.047
811.3,0.047
810.35,0.047
809.4,0.047
808.45,0.047
807.5,0.046
806.55,0.046
805.6,0.046
804.65,0.046
803.7,0.046
802.75,0.045
801.8,0.045
800.85,0.045
799.9,0.045
798.95,0.044
798.0,0.044
797.05,0.044
796.1,0.044
795.15,0.044
794.2,0.044
793.25,0.044
792.3,0.044
791.35,0.042
790.4,0.042
789.45,0.042
788.5,0.041
787.55,0.041
786.6,0.041
785.65,0.041
784.7,0.041
783.75,0.041
782.8,0.041
781.85,0.041
780.9,0.041
779.95,0.038
779.0,0.038
778.05,0.039
777.1,0.039
776.15,0.040
775.2,0.040
774.25,0.041
773.3,0.041
772.35,0.042
771.4,0.042
770.45,0.043
769.5,0.043
768.55,0.043
767.6,0.044
766.65,0.044
765.7,0.046
764.75,0.046
763.8,0.048
762.85,0.047
761.9,0.047
760.95,0.048
760.0,0.048
759.05,0.049
758.1,0.049
757.15,0.046
756.2,0.045
755.25,0.045
754.3,0.044
753.35,0.045
752.4,0.044
751.45,0.042
750.5,0.042
749.55,0.040
748.6,0.037
747.65,0.034
746.7,0.032
745.75,0.032
744.8,0.030
743.85,0.030
742.9,0.029
741.95,0.026
741.0,0.026
740.05,0.027
739.1,0.027
738.15,0.027
737.2,0.027
736.25,0.027
735.3,0.027
734.35,0.027
733.4,0.027
732.45,0.027
731.5,0.027
730.55,0.027
729.6,0.027
