wavelength,amplitude
578.016,1.000
577.124,1.000
576.232,1.000
575.34,1.000
574.448,1.000
573.556,1.000
572.664,1.000
571.772,1.000
570.88,1.000
569.988,1.000
569.096,1.000
568.204,1.000
567.312,1.000
566.42,1.000
565.528,1.000
564.636,1.000
563.744,1.000
562.852,1.000
561.96,1.000
561.068,1.000
560.176,1.000
559.284,1.000
558.392,1.000
557.5,1.000
556.608,1.000
555.716,1.000
554.824,1.000
553.932,1.000
553.04,1.000
552.148,1.000
551.256,1.000
550.364,1.000
549.472,1.000
548.58,1.000
547.688,1.000
546.796,1.000
545.904,1.000
545.012,1.000
544.12,1.000
543.228,1.000
542.336,1.000
541.444,1.000
540.552,1.000
539.66,1.000
538.768,1.000
537.876,1.000
536.984,1.000
536.092,1.000
535.2,1.000
534.308,1.000
533.416,1.000
532.524,1.000
531.632,1.000
530.74,1.000
529.848,1.000
528.956,1.000
528.064,1.000
527.172,1.000
526.28,1.000
525.388,1.000
524.496,1.000
523.604,1.000
522.712,1.000
521.82,1.000
520.928,1.000
520.036,1.000
519.144,1.000
518.252,1.000
517.36,1.000
516.468,1.000
515.576,1.000
514.684,1.000
513.792,1.000
512.9,1.000
512.008,1.000
511.116,1.000
510.224,1.000
509.332,1.000
508.44,1.000
507.548,1.000
506.656,1.000
505.764,1.000
504.872,1.000
503.98,1.000
503.088,1.000
502.196,1.000
501.304,1.000
500.412,1.000
499.52,1.000
498.628,1.000
497.736,1.000
496.844,1.000
495.952,1.000
495.06,1.000
494.168,1.000
493.276,1.000
492.384,1.000
491.492,1.000
490.6,1.000
489.708,1.000
488.816,1.000
487.924,1.000
487.032,1.000
486.14,1.000
485.248,1.000
484.356,1.000
483.464,1.000
482.572,1.000
481.68,1.000
480.788,1.000
479.896,1.000
479.004,1.000
478.112,1.000
477.22,1.000
476.328,1.000
475.436,1.000
474.544,1.000
473.652,1.000
472.76,1.000
471.868,1.000
470.976,1.000
470.084,1.000
469.192,1.000
468.3,1.000
467.408,1.000
466.516,1.000
465.624,1.000
464.732,1.000
463.84,1.000
462.948,1.000
462.056,1.000
461.164,1.000
460.272,1.000
459.38,1.000
458.488,1.000
457.596,1.000
456.704,1.000
455.812,1.000
454.92,1.000
454.028,1.000
453.136,1.000
452.244,1.000
451.352,1.000
450.46,1.000
449.568,1.000
448.676,1.000
447.784,1.000
446.892,1.000
446.0,1.000
445.108,1.000
444.216,1.000
443.324,1.000
442.432,1.000
441.54,1.000
440.648,1.000
439.756,1.000
438.864,1.000
437.972,1.000
437.08,1.000
436.188,1.000
435.296,1.000
434.404,1.000
433.512,1.000
432.62,1.000
431.728,1.000
430.836,1.000
429.944,1.000
429.052,1.000
428.16,1.000
427.268,1.000
426.376,1.000
425.484,1.000
424.592,1.000
423.7,1.000
422.808,1.000
421.916,1.000
421.024,1.000
420.132,1.000
419.24,1.000
418.348,1.000
417.456,1.000
416.564,1.000
415.672,1.000
414.78,1.000
413.888,1.000
412.996,1.000
412.104,1.000
411.212,1.000
410.32,1.000
409.428,1.000
408.536,1.000
407.644,1.000
406.752,1.000
405.86,1.000
404.968,1.000
404.076,1.000
403.184,1.000
402.292,1.000
401.4,1.000
400.508,1.000
399.616,1.000
398.724,1.000
397.832,1.000
396.94,1.000
396.048,1.000
395.156,1.000
394.264,1.000
393.372,1.000
392.48,1.000
391.588,1.000
390.696,1.000
389.804,1.000
388.912,1.000
388.02,1.000
387.128,1.000
386.236,1.000
385.344,1.000
384.452,1.000
383.56,1.000
382.668,1.000
381.776,1.000
380.884,1.000
