wavelength,amplitude
849.184,1.000
848.292,1.000
847.4,1.000
846.508,1.000
845.616,1.000
844.724,1.000
843.832,1.000
842.94,1.000
842.048,1.000
841.1560000000001,1.000
840.264,1.000
839.3720000000001,1.000
838.48,1.000
837.588,1.000
836.696,1.000
835.804,1.000
834.912,1.000
834.02,1.000
833.128,1.000
832.236,1.000
831.344,1.000
830.452,1.000
829.5600000000001,1.000
828.668,1.000
827.7760000000001,1.000
826.884,1.000
825.992,1.000
825.1,1.000
824.208,1.000
823.316,1.000
822.424,1.000
821.532,0.500
820.64,0.500
819.748,0.500
818.856,0.500
817.964,0.500
817.072,0.500
816.1800000000001,0.500
815.288,0.500
814.396,0.500
813.504,0.500
812.612,0.500
811.72,0.500
810.828,0.500
809.936,0.500
809.044,0.500
808.152,0.500
807.26,0.500
806.368,0.500
805.476,0.500
804.5840000000001,0.500
803.692,0.500
802.8000000000001,0.500
801.908,0.500
801.016,0.500
800.124,0.500
799.232,0.500
798.34,0.500
797.448,0.500
796.556,0.500
795.664,0.500
794.772,0.500
793.88,0.500
792.988,0.500
792.096,0.500
791.2040000000001,0.500
790.312,0.500
789.42,0.500
788.528,0.500
787.636,0.500
786.744,0.500
785.852,0.500
784.96,0.500
784.068,0.500
783.176,0.500
782.284,0.500
781.392,0.500
780.5,0.500
779.6080000000001,0.500
778.716,0.500
777.8240000000001,0.500
776.932,0.500
776.04,0.500
775.148,0.500
774.256,0.500
773.364,0.500
772.472,0.500
771.58,0.500
770.688,0.500
769.796,0.500
768.904,0.500
768.0120000000001,0.500
767.12,0.500
766.2280000000001,0.500
765.336,0.500
764.444,0.500
763.552,0.500
762.66,0.500
761.768,0.500
760.876,0.500
759.984,0.500
759.092,0.500
758.2,0.500
757.308,0.500
756.416,0.500
755.524,0.500
754.6320000000001,0.500
753.74,0.500
752.848,0.500
751.956,0.500
751.064,0.500
750.172,0.500
749.28,0.500
748.388,0.500
747.496,0.500
746.604,0.500
745.712,0.500
744.82,0.500
743.928,0.500
743.0360000000001,0.500
742.144,0.500
741.2520000000001,0.500
740.36,0.500
739.468,0.500
738.576,0.500
737.684,0.500
736.792,0.500
735.9,0.500
735.008,0.500
734.116,0.500
733.224,0.500
732.332,0.500
731.44,0.500
730.548,0.500
729.6560000000001,0.500
728.764,0.500
727.872,0.500
726.98,0.500
726.088,0.500
725.196,0.500
724.304,0.500
723.412,0.500
722.52,0.500
721.628,0.500
720.736,0.500
719.844,0.500
718.952,0.500
718.0600000000001,0.500
717.168,0.500
716.2760000000001,0.500
715.384,0.500
714.492,0.500
713.6,0.500
712.708,0.500
711.816,0.500
710.924,0.500
710.032,0.500
709.14,0.500
708.248,0.500
707.356,0.500
706.464,0.500
705.572,0.500
704.6800000000001,0.500
703.788,0.500
702.896,0.500
702.004,0.500
701.112,0.500
700.22,0.500
699.328,0.500
698.436,0.500
697.544,0.500
696.652,0.500
695.76,0.500
694.868,0.500
693.976,0.500
693.0840000000001,0.500
692.192,0.500
691.3000000000001,0.500
690.408,0.500
689.516,0.500
688.624,0.500
687.732,0.500
686.84,0.500
685.948,0.500
685.056,0.500
684.164,0.500
683.272,0.500
682.38,0.500
681.488,0.500
680.596,0.500
679.7040000000001,0.500
678.812,0.500
677.92,0.500
677.028,0.500
676.136,0.500
675.244,0.500
674.352,0.500
673.46,0.500
672.568,0.500
671.676,0.500
670.784,0.500
669.892,0.500
669.0,0.500
668.1080000000001,0.500
667.216,0.500
666.324,0.500
665.432,0.500
664.54,0.500
663.648,0.500
662.756,0.500
661.864,0.500
660.972,0.500
660.08,0.500
659.188,0.500
658.296,0.500
657.404,0.500
656.5120000000001,0.500
655.62,0.500
654.7280000000001,0.500
653.836,0.500
652.944,0.500
652.052,0.500
651.16,0.500
650.268,0.500
649.376,0.500
648.484,0.500
647.592,0.500
646.7,0.500
645.808,0.500
644.916,0.500
644.024,0.500
643.1320000000001,0.500
642.24,0.500
641.348,0.500
640.456,0.500
639.564,0.500
638.672,0.500
637.78,0.500
636.888,0.500
635.996,0.500
635.104,0.500
634.212,0.500
633.32,0.500
632.428,0.500
631.5360000000001,0.500
630.644,0.500
629.7520000000001,0.500
628.86,0.500
627.968,0.500
627.076,0.500
626.184,0.500
625.292,0.500
624.4,0.500
623.508,0.500
622.616,0.500
621.724,0.500
620.832,0.500
619.94,0.500
619.048,0.500
618.1560000000001,0.500
617.264,0.500
616.372,0.500
615.48,0.500
614.588,0.500
613.696,0.500
612.804,0.500
611.912,0.500
611.02,0.500
610.128,0.500
609.236,0.500
608.344,0.500
607.452,0.000
606.5600000000001,0.000
605.668,0.000
604.776,0.000
603.884,0.000
602.992,0.000
602.1,0.000
601.208,0.000
600.316,0.000
599.424,0.000
598.532,0.000
597.64,0.000
596.748,0.500
595.856,0.500
594.964,0.500
594.072,0.500
593.1800000000001,0.000
592.288,0.000
591.396,0.000
590.504,0.000
589.612,0.000
588.72,0.000
587.828,0.000
586.936,0.000
586.044,0.000
585.152,0.000
584.26,0.000
583.368,0.000
582.476,0.000
581.5840000000001,0.000
580.692,0.500
579.8,0.500
578.908,0.000
578.016,0.000
577.124,0.000
576.232,0.000
575.34,0.000
574.448,0.000
573.556,0.000
572.664,0.000
571.772,0.000
570.88,0.500
569.988,0.000
569.096,0.000
568.2040000000001,0.500
567.312,0.500
566.42,0.500
565.528,0.500
564.636,0.000
563.744,0.000
562.852,0.000
561.96,0.000
561.068,0.000
560.176,0.000
559.284,0.000
558.392,0.000
557.5,0.000
556.6080000000001,0.000
555.716,0.000
554.824,0.000
553.932,0.000
553.04,0.000
552.148,0.000
551.256,0.000
550.364,0.000
549.472,0.000
548.58,0.000
547.688,0.000
546.796,0.000
545.904,0.000
545.0120000000001,0.000
544.12,0.000
543.2280000000001,0.500
542.336,0.500
541.444,0.500
540.552,0.500
539.66,0.500
538.768,0.500
537.876,0.500
536.984,0.500
536.092,0.000
535.2,0.000
534.308,0.000
533.416,0.000
532.524,0.000
531.6320000000001,0.500
530.74,0.500
529.848,0.500
528.956,0.000
528.064,0.000
527.172,0.000
526.28,0.000
525.388,0.000
524.496,0.000
523.604,0.000
522.712,0.000
521.82,0.000
520.928,0.000
520.0360000000001,0.000
519.144,0.500
518.252,0.500
517.36,0.500
516.468,0.000
515.576,0.000
514.684,0.000
513.792,0.000
512.9,0.000
512.008,0.000
511.116,0.000
510.224,0.000
