wavelength,amplitude
809.936,0.002
809.044,0.002
808.152,0.002
807.26,0.002
806.368,0.002
805.476,0.002
804.5840000000001,0.002
803.692,0.002
802.8000000000001,0.002
801.908,0.002
801.016,0.002
800.124,0.002
799.232,0.002
798.34,0.002
797.448,0.002
796.556,0.002
795.664,0.002
794.772,0.002
793.88,0.002
792.988,0.002
792.096,0.003
791.2040000000001,0.003
790.312,0.003
789.42,0.003
788.528,0.003
787.636,0.003
786.744,0.003
785.852,0.003
784.96,0.003
784.068,0.003
783.176,0.003
782.284,0.003
781.392,0.003
780.5,0.003
779.6080000000001,0.003
778.716,0.003
777.8240000000001,0.003
776.932,0.003
776.04,0.003
775.148,0.003
774.256,0.003
773.364,0.003
772.472,0.003
771.58,0.003
770.688,0.003
769.796,0.003
768.904,0.003
768.0120000000001,0.003
767.12,0.003
766.2280000000001,0.003
765.336,0.003
764.444,0.003
763.552,0.003
762.66,0.003
761.768,0.003
760.876,0.003
759.984,0.003
759.092,0.003
758.2,0.003
757.308,0.003
756.416,0.003
755.524,0.003
754.6320000000001,0.003
753.74,0.003
752.848,0.003
751.956,0.003
751.064,0.003
750.172,0.003
749.28,0.003
748.388,0.003
747.496,0.003
746.604,0.003
745.712,0.003
744.82,0.003
743.928,0.003
743.0360000000001,0.003
742.144,0.003
741.2520000000001,0.003
740.36,0.003
739.468,0.003
738.576,0.003
737.684,0.003
736.792,0.003
735.9,0.003
735.008,0.003
734.116,0.003
733.224,0.002
732.332,0.002
731.44,0.002
730.548,0.002
729.6560000000001,0.002
728.764,0.002
727.872,0.002
726.98,0.002
726.088,0.002
725.196,0.002
724.304,0.002
723.412,0.002
722.52,0.002
721.628,0.002
720.736,0.002
719.844,0.002
718.952,0.002
718.0600000000001,0.002
717.168,0.002
716.2760000000001,0.002
715.384,0.002
714.492,0.002
713.6,0.002
712.708,0.002
711.816,0.002
710.924,0.002
710.032,0.002
709.14,0.002
708.248,0.002
707.356,0.002
706.464,0.002
705.572,0.002
704.6800000000001,0.002
703.788,0.002
702.896,0.002
702.004,0.002
701.112,0.002
700.22,0.002
699.328,0.002
698.436,0.002
697.544,0.001
696.652,0.001
695.76,0.001
694.868,0.001
693.976,0.001
693.0840000000001,0.001
692.192,0.001
691.3000000000001,0.001
690.408,0.001
689.516,0.001
688.624,0.002
687.732,0.002
686.84,0.001
685.948,0.001
685.056,0.001
684.164,0.001
683.272,0.001
682.38,0.001
681.488,0.001
680.596,0.001
679.7040000000001,0.001
678.812,0.001
677.92,0.001
677.028,0.001
676.136,0.001
675.244,0.001
674.352,0.001
673.46,0.001
672.568,0.001
671.676,0.001
670.784,0.001
669.892,0.001
669.0,0.002
668.1080000000001,0.002
667.216,0.002
666.324,0.002
665.432,0.002
664.54,0.002
663.648,0.002
662.756,0.002
661.864,0.003
660.972,0.003
660.08,0.003
659.188,0.003
658.296,0.004
657.404,0.004
656.5120000000001,0.004
655.62,0.004
654.7280000000001,0.004
653.836,0.004
652.944,0.005
652.052,0.005
651.16,0.007
650.268,0.007
649.376,0.008
648.484,0.008
647.592,0.009
646.7,0.009
645.808,0.009
644.916,0.009
644.024,0.011
643.1320000000001,0.011
642.24,0.011
641.348,0.011
640.456,0.013
639.564,0.013
638.672,0.014
637.78,0.014
636.888,0.015
635.996,0.015
635.104,0.017
634.212,0.017
633.32,0.020
632.428,0.020
631.5360000000001,0.021
630.644,0.021
629.7520000000001,0.021
628.86,0.023
627.968,0.023
627.076,0.026
626.184,0.028
625.292,0.030
624.4,0.033
623.508,0.036
622.616,0.038
621.724,0.044
620.832,0.046
619.94,0.051
619.048,0.056
618.1560000000001,0.060
617.264,0.066
616.372,0.072
615.48,0.080
614.588,0.087
613.696,0.096
612.804,0.106
611.912,0.116
611.02,0.128
610.128,0.141
609.236,0.155
608.344,0.170
607.452,0.184
606.5600000000001,0.204
605.668,0.224
604.776,0.256
603.884,0.293
602.992,0.367
602.1,0.457
601.208,0.564
600.316,0.677
599.424,0.775
598.532,0.862
597.64,0.928
596.748,0.968
595.856,0.992
594.964,1.000
594.072,1.000
593.1800000000001,0.993
592.288,0.951
591.396,0.866
590.504,0.760
589.612,0.636
588.72,0.519
587.828,0.427
586.936,0.352
586.044,0.307
585.152,0.266
584.26,0.239
583.368,0.214
582.476,0.193
581.5840000000001,0.174
580.692,0.157
579.8,0.141
578.908,0.129
578.016,0.117
577.124,0.108
576.232,0.099
575.34,0.092
574.448,0.084
573.556,0.077
572.664,0.072
571.772,0.066
570.88,0.061
569.988,0.056
569.096,0.051
568.2040000000001,0.047
567.312,0.045
566.42,0.041
565.528,0.038
564.636,0.035
563.744,0.031
562.852,0.028
561.96,0.027
561.068,0.025
560.176,0.025
559.284,0.023
558.392,0.023
557.5,0.022
556.6080000000001,0.021
555.716,0.021
554.824,0.018
553.932,0.018
553.04,0.016
552.148,0.016
551.256,0.015
550.364,0.015
549.472,0.014
548.58,0.014
547.688,0.013
546.796,0.013
545.904,0.010
545.0120000000001,0.010
544.12,0.010
543.2280000000001,0.010
542.336,0.009
541.444,0.009
540.552,0.008
539.66,0.008
538.768,0.007
537.876,0.007
536.984,0.005
536.092,0.005
535.2,0.005
534.308,0.005
533.416,0.004
532.524,0.004
531.6320000000001,0.004
530.74,0.004
529.848,0.004
528.956,0.004
528.064,0.003
527.172,0.003
526.28,0.003
525.388,0.003
524.496,0.002
523.604,0.002
522.712,0.002
521.82,0.002
520.928,0.002
520.0360000000001,0.002
519.144,0.002
518.252,0.002
517.36,0.002
516.468,0.002
515.576,0.002
514.684,0.002
513.792,0.001
512.9,0.001
512.008,0.001
511.116,0.001
510.224,0.001
509.332,0.001
508.44,0.001
507.548,0.001
506.656,0.001
505.764,0.001
504.872,0.001
503.98,0.001
503.088,0.001
502.196,0.001
501.30400000000003,0.001
500.41200000000003,0.001
499.52,0.001
498.628,0.001
497.736,0.001
496.844,0.001
495.952,0.001
495.06,0.001
494.168,0.001
493.276,0.001
492.384,0.001
491.492,0.001
490.6,0.001
489.708,0.001
488.81600000000003,0.001
487.92400000000004,0.001
487.032,0.001
486.14,0.001
485.248,0.002
484.356,0.002
483.464,0.002
482.572,0.002
481.68,0.002
480.788,0.002
479.896,0.002
479.004,0.002
478.112,0.002
477.22,0.002
476.32800000000003,0.002
475.43600000000004,0.002
474.544,0.002
473.652,0.002
472.76,0.002
471.868,0.002
470.976,0.002
470.084,0.002
469.192,0.002
468.3,0.002
467.408,0.002
466.516,0.002
465.624,0.002
464.732,0.002
463.84000000000003,0.002
462.94800000000004,0.002
462.056,0.002
461.164,0.002
460.272,0.002
459.38,0.002
458.488,0.002
457.596,0.002
456.704,0.003
455.812,0.003
454.92,0.003
454.028,0.003
453.136,0.003
452.244,0.003
451.35200000000003,0.003
450.46,0.003
449.568,0.003
448.676,0.003
447.784,0.003
446.892,0.003
446.0,0.003
445.108,0.003
444.216,0.003
443.324,0.003
442.432,0.003
441.54,0.003
440.648,0.003
439.75600000000003,0.003
438.86400000000003,0.003
437.972,0.003
437.08,0.003
436.188,0.003
435.296,0.003
434.404,0.003
433.512,0.003
432.62,0.003
431.728,0.003
430.836,0.003
429.944,0.003
429.052,0.003
428.16,0.003
427.26800000000003,0.003
426.37600000000003,0.003
425.484,0.003
424.592,0.003
423.7,0.003
422.808,0.003
421.916,0.003
421.024,0.003
420.132,0.003
419.24,0.003
418.348,0.003
417.456,0.003
416.564,0.003
415.672,0.003
414.78000000000003,0.003
413.88800000000003,0.003
412.996,0.003
412.104,0.003
411.212,0.003
410.32,0.003
409.428,0.003
408.536,0.003
407.644,0.003
406.752,0.003
405.86,0.003
404.968,0.003
404.076,0.003
403.184,0.003
402.29200000000003,0.003
401.40000000000003,0.003
400.508,0.003
399.616,0.003
398.724,0.003
397.832,0.003
396.94,0.003
396.048,0.003
395.156,0.003
394.264,0.003
393.372,0.003
392.48,0.003
391.588,0.003
390.696,0.003
389.80400000000003,0.003
388.91200000000003,0.003
388.02,0.003
387.128,0.003
386.236,0.003
385.344,0.003
384.452,0.003
383.56,0.003
382.668,0.003
381.776,0.003
380.884,0.003
