wavelength,amplitude
849.184,1.000
848.292,1.000
847.4,1.000
846.508,1.000
845.616,1.000
844.724,1.000
843.832,1.000
842.94,1.000
842.048,1.000
841.156,1.000
840.264,1.000
839.372,1.000
838.48,1.000
837.588,1.000
836.696,1.000
835.804,1.000
834.912,1.000
834.02,1.000
833.128,1.000
832.236,1.000
831.344,1.000
830.452,1.000
829.56,1.000
828.668,1.000
827.776,1.000
826.884,1.000
825.992,1.000
825.1,1.000
824.208,1.000
823.316,1.000
822.424,1.000
821.532,1.000
820.64,1.000
819.748,1.000
818.856,1.000
817.964,1.000
817.072,1.000
816.18,1.000
815.288,1.000
814.396,1.000
813.504,1.000
812.612,1.000
811.72,1.000
810.828,1.000
809.936,1.000
809.044,1.000
808.152,1.000
807.26,1.000
806.368,1.000
805.476,1.000
804.584,1.000
803.692,1.000
802.8,1.000
801.908,1.000
801.016,1.000
800.124,1.000
799.232,1.000
798.34,1.000
797.448,1.000
796.556,1.000
795.664,1.000
794.772,1.000
793.88,1.000
792.988,1.000
792.096,1.000
791.204,1.000
790.312,1.000
789.42,1.000
788.528,1.000
787.636,1.000
786.744,1.000
785.852,1.000
784.96,1.000
784.068,1.000
783.176,1.000
782.284,1.000
781.392,1.000
780.5,1.000
779.608,1.000
778.716,1.000
777.824,1.000
776.932,1.000
776.04,1.000
775.148,1.000
774.256,1.000
773.364,1.000
772.472,1.000
771.58,1.000
770.688,1.000
769.796,1.000
768.904,1.000
768.012,1.000
767.12,1.000
766.228,1.000
765.336,1.000
764.444,1.000
763.552,1.000
762.66,1.000
761.768,1.000
760.876,1.000
759.984,1.000
759.092,1.000
758.2,1.000
757.308,1.000
756.416,1.000
755.524,1.000
754.632,1.000
753.74,1.000
752.848,1.000
751.956,1.000
751.064,1.000
750.172,1.000
749.28,1.000
748.388,1.000
747.496,1.000
746.604,1.000
745.712,1.000
744.82,1.000
743.928,1.000
743.036,1.000
742.144,1.000
741.252,1.000
740.36,1.000
739.468,1.000
738.576,1.000
737.684,1.000
736.792,1.000
735.9,1.000
735.008,1.000
734.116,1.000
733.224,1.000
732.332,1.000
731.44,1.000
730.548,1.000
729.656,1.000
728.764,1.000
727.872,1.000
726.98,1.000
726.088,1.000
725.196,1.000
724.304,1.000
723.412,1.000
722.52,1.000
721.628,1.000
720.736,1.000
719.844,1.000
718.952,1.000
718.06,1.000
717.168,1.000
716.276,1.000
715.384,1.000
714.492,1.000
713.6,1.000
712.708,1.000
711.816,1.000
710.924,1.000
710.032,1.000
709.14,1.000
708.248,1.000
707.356,1.000
706.464,1.000
705.572,1.000
704.68,1.000
703.788,1.000
702.896,1.000
702.004,1.000
701.112,1.000
700.22,1.000
699.328,1.000
698.436,1.000
697.544,1.000
696.652,1.000
695.76,1.000
694.868,1.000
693.976,1.000
693.084,1.000
692.192,1.000
691.3,1.000
690.408,1.000
689.516,1.000
688.624,1.000
687.732,1.000
686.84,1.000
685.948,1.000
685.056,1.000
684.164,1.000
683.272,1.000
682.38,1.000
681.488,1.000
680.596,1.000
679.704,1.000
678.812,1.000
677.92,1.000
677.028,1.000
676.136,1.000
675.244,1.000
674.352,1.000
673.46,1.000
672.568,1.000
671.676,1.000
670.784,1.000
669.892,1.000
669.0,1.000
668.108,1.000
667.216,1.000
666.324,1.000
665.432,1.000
664.54,1.000
663.648,1.000
662.756,1.000
661.864,1.000
660.972,1.000
660.08,1.000
659.188,1.000
658.296,1.000
657.404,1.000
656.512,1.000
655.62,1.000
654.728,1.000
653.836,1.000
652.944,1.000
652.052,1.000
651.16,1.000
650.268,1.000
649.376,1.000
648.484,1.000
647.592,1.000
646.7,1.000
645.808,1.000
644.916,1.000
644.024,1.000
643.132,1.000
642.24,1.000
641.348,1.000
640.456,1.000
639.564,1.000
638.672,1.000
637.78,1.000
636.888,1.000
635.996,1.000
635.104,1.000
634.212,1.000
633.32,1.000
632.428,1.000
631.536,1.000
630.644,1.000
629.752,1.000
628.86,1.000
627.968,1.000
627.076,1.000
626.184,1.000
625.292,1.000
624.4,1.000
623.508,1.000
622.616,1.000
621.724,1.000
620.832,1.000
619.94,1.000
619.048,1.000
618.156,1.000
617.264,1.000
616.372,1.000
615.48,1.000
614.588,1.000
613.696,1.000
612.804,1.000
611.912,1.000
611.02,1.000
610.128,1.000
609.236,1.000
608.344,1.000
607.452,1.000
606.56,1.000
605.668,1.000
604.776,1.000
603.884,1.000
602.992,1.000
602.1,1.000
601.208,1.000
600.316,1.000
599.424,1.000
598.532,1.000
597.64,1.000
596.748,1.000
595.856,1.000
594.964,1.000
594.072,1.000
593.18,1.000
592.288,1.000
591.396,1.000
590.504,1.000
589.612,1.000
588.72,1.000
587.828,1.000
586.936,1.000
586.044,1.000
585.152,1.000
584.26,1.000
583.368,1.000
582.476,1.000
581.584,1.000
580.692,1.000
579.8,1.000
578.908,1.000
578.016,1.000
577.124,1.000
576.232,1.000
575.34,1.000
574.448,1.000
573.556,1.000
572.664,1.000
571.772,1.000
570.88,1.000
569.988,1.000
569.096,1.000
568.204,1.000
567.312,1.000
566.42,1.000
565.528,1.000
564.636,1.000
563.744,1.000
562.852,1.000
561.96,1.000
561.068,1.000
560.176,1.000
559.284,1.000
558.392,1.000
557.5,1.000
556.608,1.000
555.716,1.000
554.824,1.000
553.932,1.000
553.04,1.000
552.148,1.000
551.256,1.000
550.364,1.000
549.472,1.000
548.58,1.000
547.688,1.000
546.796,1.000
545.904,1.000
545.012,1.000
544.12,1.000
543.228,1.000
542.336,1.000
541.444,1.000
540.552,1.000
539.66,1.000
538.768,1.000
537.876,1.000
536.984,1.000
536.092,1.000
535.2,1.000
534.308,1.000
533.416,1.000
532.524,1.000
531.632,1.000
530.74,1.000
529.848,1.000
528.956,1.000
528.064,1.000
527.172,1.000
526.28,1.000
525.388,1.000
524.496,1.000
523.604,1.000
522.712,1.000
521.82,1.000
520.928,1.000
520.036,1.000
519.144,1.000
518.252,1.000
517.36,1.000
516.468,1.000
515.576,1.000
514.684,1.000
513.792,1.000
512.9,1.000
512.008,1.000
511.116,1.000
510.224,1.000
509.332,1.000
508.44,1.000
507.548,1.000
506.656,1.000
505.764,1.000
504.872,1.000
503.98,1.000
503.088,1.000
502.196,1.000
501.304,1.000
500.412,1.000
499.52,1.000
498.628,1.000
497.736,1.000
496.844,1.000
495.952,1.000
495.06,1.000
494.168,1.000
493.276,1.000
