wavelength,amplitude
849.184,0.554
848.292,0.554
847.4,0.554
846.508,0.554
845.616,0.554
844.724,0.554
843.832,0.554
842.94,0.554
842.048,0.554
841.156,0.554
840.264,0.554
839.372,0.554
838.48,0.554
837.588,0.554
836.696,0.554
835.804,0.554
834.912,0.554
834.02,0.554
833.128,0.554
832.236,0.554
831.344,0.554
830.452,0.554
829.56,0.554
828.668,0.554
827.776,0.554
826.884,0.554
825.992,0.554
825.1,0.554
824.208,0.554
823.316,0.554
822.424,0.554
821.532,0.554
820.64,0.554
819.748,0.554
818.856,0.554
817.964,0.554
817.072,0.554
816.18,0.554
815.288,0.554
814.396,0.554
813.504,0.554
812.612,0.554
811.72,0.554
810.828,0.554
809.936,0.554
809.044,0.554
808.152,0.554
807.26,0.554
806.368,0.554
805.476,0.554
804.584,0.554
803.692,0.554
802.8,0.554
801.908,0.554
801.016,0.554
800.124,0.554
799.232,0.554
798.34,0.554
797.448,0.554
796.556,0.554
795.664,0.554
794.772,0.554
793.88,0.554
792.988,0.554
792.096,0.554
791.204,0.554
790.312,0.554
789.42,0.554
788.528,0.554
787.636,0.554
786.744,0.554
785.852,0.554
784.96,0.554
784.068,0.554
783.176,0.554
782.284,0.554
781.392,0.554
780.5,0.554
779.608,0.554
778.716,0.554
777.824,0.554
776.932,0.554
776.04,0.554
775.148,0.554
774.256,0.554
773.364,0.554
772.472,0.554
771.58,0.554
770.688,0.554
769.796,0.554
768.904,0.554
768.012,0.554
767.12,0.554
766.228,0.554
765.336,0.554
764.444,0.554
763.552,0.554
762.66,0.554
761.768,0.554
760.876,0.554
759.984,0.554
759.092,0.554
758.2,0.554
757.308,0.554
756.416,0.554
755.524,0.554
754.632,0.554
753.74,0.554
752.848,0.554
751.956,0.554
751.064,0.554
750.172,0.554
749.28,0.554
748.388,0.554
747.496,0.554
746.604,0.554
745.712,0.554
744.82,0.554
743.928,0.554
743.036,0.554
742.144,0.554
741.252,0.554
740.36,0.554
739.468,0.554
738.576,0.554
737.684,0.554
736.792,0.554
735.9,0.554
735.008,0.554
734.116,0.554
733.224,0.554
732.332,0.554
731.44,0.554
730.548,0.554
729.656,0.554
728.764,0.554
727.872,0.554
726.98,0.554
726.088,0.554
725.196,0.554
724.304,0.554
723.412,0.554
722.52,0.554
721.628,0.554
720.736,0.554
719.844,0.554
718.952,0.554
718.06,0.554
717.168,0.554
716.276,0.554
715.384,0.554
714.492,0.554
713.6,0.554
712.708,0.554
711.816,0.554
710.924,0.554
710.032,0.554
709.14,0.554
708.248,0.554
707.356,0.554
706.464,0.554
705.572,0.554
704.68,0.554
703.788,0.554
702.896,0.554
702.004,0.554
701.112,0.554
700.22,0.554
699.328,0.554
698.436,0.554
697.544,0.554
696.652,0.554
695.76,0.554
694.868,0.554
693.976,0.554
693.084,0.554
692.192,0.554
691.3,0.554
690.408,0.554
689.516,0.554
688.624,0.554
687.732,0.554
686.84,0.554
685.948,0.554
685.056,0.554
684.164,0.554
683.272,0.554
682.38,0.554
681.488,0.554
680.596,0.554
679.704,0.554
678.812,0.554
677.92,0.554
677.028,0.554
676.136,0.554
675.244,0.554
674.352,0.554
673.46,0.554
672.568,0.554
671.676,0.554
670.784,0.554
669.892,0.554
669.0,0.554
668.108,0.554
667.216,0.554
666.324,0.554
665.432,0.554
664.54,0.554
663.648,0.554
662.756,0.554
661.864,0.554
660.972,0.554
660.08,0.602
659.188,0.602
658.296,0.602
657.404,0.602
656.512,0.602
655.62,0.602
654.728,0.602
653.836,0.602
652.944,0.639
652.052,0.639
651.16,0.639
650.268,0.639
649.376,0.639
648.484,0.639
647.592,0.675
646.7,0.675
645.808,0.723
644.916,0.675
644.024,0.675
643.132,0.639
642.24,0.675
641.348,0.675
640.456,0.639
639.564,0.639
638.672,0.602
637.78,0.602
636.888,0.554
635.996,0.554
635.104,0.518
634.212,0.518
633.32,0.518
632.428,0.518
631.536,0.518
630.644,0.518
629.752,0.518
628.86,0.518
627.968,0.554
627.076,0.554
626.184,0.554
625.292,0.554
624.4,0.518
623.508,0.554
622.616,0.554
621.724,0.554
620.832,0.602
619.94,0.602
619.048,0.602
618.156,0.602
617.264,0.554
616.372,0.602
615.48,0.602
614.588,0.602
613.696,0.602
612.804,0.602
611.912,0.602
611.02,0.602
610.128,0.639
609.236,0.639
608.344,0.639
607.452,0.639
606.56,0.639
605.668,0.675
604.776,0.639
603.884,0.639
602.992,0.675
602.1,0.723
601.208,0.723
600.316,0.759
599.424,0.759
598.532,0.759
597.64,0.759
596.748,0.795
595.856,0.795
594.964,0.795
594.072,0.843
593.18,0.880
592.288,0.843
591.396,0.880
590.504,0.916
589.612,0.916
588.72,0.916
587.828,0.964
586.936,0.964
586.044,0.964
585.152,0.964
584.26,0.964
583.368,0.964
582.476,0.964
581.584,0.964
580.692,0.964
579.8,1.000
578.908,1.000
578.016,1.000
577.124,1.000
576.232,1.000
575.34,1.000
574.448,1.000
573.556,1.000
572.664,0.964
571.772,0.964
570.88,0.964
569.988,0.916
569.096,0.916
568.204,0.880
567.312,0.880
566.42,0.843
565.528,0.843
564.636,0.843
563.744,0.843
562.852,0.795
561.96,0.759
561.068,0.723
560.176,0.723
559.284,0.723
558.392,0.723
557.5,0.675
556.608,0.675
555.716,0.675
554.824,0.675
553.932,0.723
553.04,0.675
552.148,0.675
551.256,0.723
550.364,0.675
549.472,0.675
548.58,0.723
547.688,0.723
546.796,0.723
545.904,0.723
545.012,0.723
544.12,0.723
543.228,0.675
542.336,0.675
541.444,0.675
540.552,0.675
539.66,0.675
538.768,0.675
537.876,0.675
536.984,0.675
536.092,0.675
535.2,0.675
534.308,0.675
533.416,0.675
532.524,0.675
531.632,0.675
530.74,0.675
529.848,0.675
528.956,0.675
528.064,0.675
527.172,0.675
526.28,0.675
525.388,0.675
524.496,0.675
523.604,0.675
522.712,0.675
521.82,0.675
520.928,0.675
520.036,0.675
519.144,0.675
518.252,0.675
517.36,0.639
516.468,0.639
515.576,0.639
514.684,0.639
513.792,0.639
512.9,0.639
512.008,0.639
511.116,0.639
510.224,0.639
509.332,0.639
508.44,0.639
507.548,0.639
506.656,0.639
505.764,0.639
504.872,0.675
503.98,0.675
503.088,0.639
502.196,0.639
501.304,0.602
500.412,0.602
499.52,0.602
498.628,0.602
497.736,0.554
496.844,0.554
495.952,0.554
495.06,0.554
494.168,0.554
493.276,0.554
492.384,0.554
491.492,0.554
490.6,0.602
489.708,0.602
488.816,0.554
487.924,0.554
487.032,0.554
486.14,0.554
485.248,0.554
484.356,0.554
483.464,0.554
482.572,0.554
481.68,0.554
480.788,0.554
479.896,0.554
479.004,0.554
478.112,0.554
477.22,0.554
476.328,0.554
475.436,0.554
474.544,0.554
473.652,0.554
472.76,0.554
471.868,0.554
470.976,0.554
470.084,0.554
469.192,0.554
468.3,0.554
467.408,0.554
466.516,0.554
465.624,0.554
464.732,0.554
463.84,0.554
462.948,0.554
462.056,0.554
461.164,0.554
460.272,0.554
459.38,0.554
458.488,0.554
457.596,0.554
456.704,0.554
455.812,0.554
454.92,0.554
454.028,0.554
453.136,0.554
452.244,0.554
451.352,0.554
450.46,0.554
449.568,0.554
448.676,0.554
447.784,0.554
446.892,0.554
446.0,0.554
445.108,0.554
444.216,0.554
443.324,0.554
442.432,0.554
441.54,0.554
440.648,0.554
439.756,0.554
438.864,0.554
437.972,0.554
437.08,0.554
436.188,0.554
435.296,0.554
434.404,0.554
433.512,0.554
432.62,0.554
431.728,0.554
430.836,0.554
429.944,0.554
429.052,0.554
428.16,0.554
427.268,0.554
426.376,0.554
425.484,0.554
424.592,0.554
423.7,0.554
422.808,0.554
421.916,0.554
421.024,0.554
420.132,0.554
419.24,0.554
418.348,0.554
417.456,0.554
416.564,0.554
415.672,0.554
414.78,0.554
413.888,0.554
412.996,0.554
412.104,0.554
411.212,0.554
410.32,0.554
409.428,0.554
408.536,0.554
407.644,0.554
406.752,0.554
405.86,0.554
404.968,0.554
404.076,0.554
403.184,0.554
402.292,0.554
401.4,0.554
400.508,0.554
399.616,0.554
398.724,0.554
397.832,0.554
396.94,0.554
396.048,0.554
395.156,0.554
394.264,0.554
393.372,0.554
392.48,0.554
391.588,0.554
390.696,0.554
389.804,0.554
388.912,0.554
388.02,0.554
387.128,0.554
386.236,0.554
385.344,0.554
384.452,0.554
383.56,0.554
382.668,0.554
381.776,0.554
380.884,0.554
