wavelength,amplitude
615.6,0.971
614.65,0.969
613.7,0.967
612.75,0.965
611.8,0.963
610.85,0.960
609.9,0.958
608.95,0.956
608.0,0.954
607.05,0.952
606.1,0.950
605.15,0.948
604.2,0.946
603.25,0.944
602.3,0.942
601.35,0.940
600.4,0.938
599.45,0.936
598.5,0.934
597.55,0.932
596.6,0.930
595.65,0.928
594.7,0.926
593.75,0.924
592.8,0.923
591.85,0.921
590.9,0.919
589.95,0.917
589.0,0.915
588.05,0.913
587.1,0.911
586.15,0.909
585.2,0.907
584.25,0.911
583.3,0.917
582.35,0.923
581.4,0.929
580.45,0.935
579.5,0.941
578.55,0.947
577.6,0.953
576.65,0.960
575.7,0.966
574.75,0.973
573.8,0.980
572.85,0.987
571.9,0.994
570.95,1.000
570.0,0.989
569.05,0.978
568.1,0.967
567.15,0.957
566.2,0.946
565.25,0.936
564.3,0.926
563.35,0.917
562.4,0.907
561.45,0.898
560.5,0.888
559.55,0.879
558.6,0.870
557.65,0.861
556.7,0.855
555.75,0.853
554.8,0.852
553.85,0.850
552.9,0.848
551.95,0.847
551.0,0.845
550.05,0.844
549.1,0.842
548.15,0.840
547.2,0.839
546.25,0.837
545.3,0.836
544.35,0.834
543.4,0.833
542.45,0.831
541.5,0.829
540.55,0.828
539.6,0.826
538.65,0.825
537.7,0.823
536.75,0.822
535.8,0.820
534.85,0.819
533.9,0.817
532.95,0.816
532.0,0.814
531.05,0.813
530.1,0.811
529.15,0.810
528.2,0.808
527.25,0.807
526.3,0.805
525.35,0.804
524.4,0.802
523.45,0.801
522.5,0.800
521.55,0.798
520.6,0.797
519.65,0.795
518.7,0.794
517.75,0.792
516.8,0.791
515.85,0.790
514.9,0.788
513.95,0.787
513.0,0.785
512.05,0.784
511.1,0.783
510.15,0.781
509.2,0.780
508.25,0.779
507.3,0.777
506.35,0.776
505.4,0.774
504.45,0.773
503.5,0.772
502.55,0.770
501.6,0.769
500.65,0.768
499.7,0.766
498.75,0.765
497.8,0.764
496.85,0.762
495.9,0.761
494.95,0.760
494.0,0.759
493.05,0.757
492.1,0.756
491.15,0.755
490.2,0.753
489.25,0.752
488.3,0.751
487.35,0.750
486.4,0.748
485.45,0.747
484.5,0.746
483.55,0.745
482.6,0.743
481.65,0.742
480.7,0.741
479.75,0.740
478.8,0.738
477.85,0.737
476.9,0.736
475.95,0.735
475.0,0.734
474.05,0.732
473.1,0.731
472.15,0.730
471.2,0.729
470.25,0.728
469.3,0.726
468.35,0.725
467.4,0.724
466.45,0.723
465.5,0.722
464.55,0.720
463.6,0.719
462.65,0.718
461.7,0.717
460.75,0.716
459.8,0.715
458.85,0.713
457.9,0.712
456.95,0.711
456.0,0.710
455.05,0.709
454.1,0.708
453.15,0.707
452.2,0.706
451.25,0.704
450.3,0.703
449.35,0.702
448.4,0.701
447.45,0.700
446.5,0.699
445.55,0.698
444.6,0.695
443.65,0.694
442.7,0.651
441.75,0.650
440.8,0.649
439.85,0.648
438.9,0.631
437.95,0.630
437.0,0.629
436.05,0.628
435.1,0.609
434.15,0.608
433.2,0.613
432.25,0.612
431.3,0.605
430.35,0.604
429.4,0.603
428.45,0.603
427.5,0.608
426.55,0.607
425.6,0.606
424.65,0.605
423.7,0.604
422.75,0.603
421.8,0.602
420.85,0.601
419.9,0.600
418.95,0.599
418.0,0.598
417.05,0.598
416.1,0.591
415.15,0.590
414.2,0.589
413.25,0.588
412.3,0.593
411.35,0.592
410.4,0.589
409.45,0.589
408.5,0.586
407.55,0.585
406.6,0.584
405.65,0.583
404.7,0.582
403.75,0.581
402.8,0.581
401.85,0.580
400.9,0.573
399.95,0.572
399.0,0.571
398.05,0.571
397.1,0.572
396.15,0.571
395.2,0.571
394.25,0.570
393.3,0.568
392.35,0.568
391.4,0.567
390.45,0.566
389.5,0.569
388.55,0.568
387.6,0.569
386.65,0.568
385.7,0.567
384.75,0.567
383.8,0.566
382.85,0.565
381.9,0.564
380.95,0.575
380.0,0.570
