wavelength,amplitude
943.35,0.033
942.4,0.033
941.45,0.033
940.5,0.033
939.55,0.033
938.6,0.033
937.65,0.033
936.7,0.033
935.75,0.033
934.8,0.033
933.85,0.033
932.9,0.033
931.95,0.033
931.0,0.033
930.05,0.033
929.1,0.033
928.15,0.033
927.2,0.033
926.25,0.033
925.3,0.033
924.35,0.033
923.4,0.033
922.45,0.033
921.5,0.033
920.55,0.033
919.6,0.033
918.65,0.033
917.7,0.033
916.75,0.033
915.8,0.033
914.85,0.033
913.9,0.033
912.95,0.033
912.0,0.033
911.05,0.033
910.1,0.033
909.15,0.033
908.2,0.033
907.25,0.033
906.3,0.033
905.35,0.033
904.4,0.033
903.45,0.033
902.5,0.033
901.55,0.033
900.6,0.033
899.65,0.033
898.7,0.033
897.75,0.033
896.8,0.033
895.85,0.033
894.9,0.033
893.95,0.033
893.0,0.033
892.05,0.033
891.1,0.033
890.15,0.033
889.2,0.033
888.25,0.033
887.3,0.033
886.35,0.033
885.4,0.033
884.45,0.033
883.5,0.033
882.55,0.033
881.6,0.033
880.65,0.033
879.7,0.033
878.75,0.033
877.8,0.033
876.85,0.033
875.9,0.033
874.95,0.033
874.0,0.033
873.05,0.033
872.1,0.033
871.15,0.033
870.2,0.033
869.25,0.033
868.3,0.033
867.35,0.033
866.4,0.033
865.45,0.033
864.5,0.033
863.55,0.033
862.6,0.033
861.65,0.033
860.7,0.033
859.75,0.033
858.8,0.033
857.85,0.033
856.9,0.033
855.95,0.033
855.0,0.033
854.05,0.033
853.1,0.033
852.15,0.033
851.2,0.033
850.25,0.033
849.3,0.033
848.35,0.033
847.4,0.033
846.45,0.033
845.5,0.033
844.55,0.033
843.6,0.033
842.65,0.033
841.7,0.033
840.75,0.033
839.8,0.033
838.85,0.033
837.9,0.033
836.95,0.033
836.0,0.033
835.05,0.033
834.1,0.033
833.15,0.033
832.2,0.033
831.25,0.033
830.3,0.033
829.35,0.033
828.4,0.033
827.45,0.033
826.5,0.033
825.55,0.033
824.6,0.033
823.65,0.033
822.7,0.033
821.75,0.033
820.8,0.033
819.85,0.033
818.9,0.033
817.95,0.033
817.0,0.033
816.05,0.033
815.1,0.033
814.15,0.033
813.2,0.033
812.25,0.033
811.3,0.033
810.35,0.033
809.4,0.033
808.45,0.032
807.5,0.032
806.55,0.032
805.6,0.032
804.65,0.032
803.7,0.032
802.75,0.032
801.8,0.032
800.85,0.031
799.9,0.031
798.95,0.031
798.0,0.031
797.05,0.031
796.1,0.031
795.15,0.031
794.2,0.031
793.25,0.031
792.3,0.030
791.35,0.030
790.4,0.030
789.45,0.030
788.5,0.030
787.55,0.030
786.6,0.030
785.65,0.030
784.7,0.030
783.75,0.029
782.8,0.029
781.85,0.029
780.9,0.029
779.95,0.029
779.0,0.029
778.05,0.029
777.1,0.029
776.15,0.029
775.2,0.029
774.25,0.028
773.3,0.028
772.35,0.028
771.4,0.028
770.45,0.028
769.5,0.028
768.55,0.028
767.6,0.028
766.65,0.028
765.7,0.028
764.75,0.027
763.8,0.027
762.85,0.027
761.9,0.027
760.95,0.027
760.0,0.027
759.05,0.027
758.1,0.027
757.15,0.027
756.2,0.027
755.25,0.027
754.3,0.026
753.35,0.026
752.4,0.026
751.45,0.026
750.5,0.026
749.55,0.026
748.6,0.026
747.65,0.026
