wavelength,amplitude
948.1,0.081
947.15,0.081
946.2,0.081
945.25,0.081
944.3,0.081
943.35,0.081
942.4,0.081
941.45,0.081
940.5,0.081
939.55,0.081
938.6,0.081
937.65,0.081
936.7,0.081
935.75,0.081
934.8,0.081
933.85,0.081
932.9,0.081
931.95,0.081
931.0,0.081
930.05,0.081
929.1,0.081
928.15,0.081
927.2,0.081
926.25,0.081
925.3,0.081
924.35,0.081
923.4,0.081
922.45,0.081
921.5,0.081
920.55,0.081
919.6,0.081
918.65,0.081
917.7,0.081
916.75,0.081
915.8,0.081
914.85,0.081
913.9,0.081
912.95,0.081
912.0,0.081
911.05,0.081
910.1,0.081
909.15,0.081
908.2,0.081
907.25,0.081
906.3,0.081
905.35,0.081
904.4,0.081
903.45,0.081
902.5,0.081
901.55,0.081
900.6,0.081
899.65,0.081
898.7,0.081
897.75,0.081
896.8,0.081
895.85,0.081
894.9,0.081
893.95,0.081
893.0,0.081
892.05,0.081
891.1,0.081
890.15,0.081
889.2,0.081
888.25,0.081
887.3,0.081
886.35,0.081
885.4,0.081
884.45,0.081
883.5,0.081
882.55,0.081
881.6,0.081
880.65,0.081
879.7,0.081
878.75,0.081
877.8,0.081
876.85,0.081
875.9,0.081
874.95,0.081
874.0,0.081
873.05,0.081
872.1,0.081
871.15,0.081
870.2,0.081
869.25,0.081
868.3,0.081
867.35,0.081
866.4,0.081
865.45,0.081
864.5,0.081
863.55,0.081
862.6,0.081
861.65,0.081
860.7,0.081
859.75,0.081
858.8,0.081
857.85,0.081
856.9,0.081
855.95,0.081
855.0,0.081
854.05,0.081
853.1,0.081
852.15,0.081
851.2,0.081
850.25,0.081
849.3,0.081
848.35,0.081
847.4,0.081
846.45,0.081
845.5,0.081
844.55,0.081
843.6,0.081
842.65,0.081
841.7,0.081
840.75,0.081
839.8,0.081
838.85,0.081
837.9,0.081
836.95,0.081
836.0,0.081
835.05,0.081
834.1,0.081
833.15,0.081
832.2,0.081
831.25,0.081
830.3,0.081
829.35,0.081
828.4,0.081
827.45,0.081
826.5,0.081
825.55,0.081
824.6,0.081
823.65,0.081
822.7,0.081
821.75,0.081
820.8,0.081
819.85,0.081
818.9,0.081
817.95,0.081
817.0,0.081
816.05,0.081
815.1,0.081
814.15,0.081
813.2,0.081
812.25,0.081
811.3,0.081
810.35,0.081
809.4,0.080
808.45,0.080
807.5,0.080
806.55,0.079
805.6,0.079
804.65,0.079
803.7,0.079
802.75,0.078
801.8,0.078
800.85,0.078
799.9,0.077
798.95,0.077
798.0,0.077
797.05,0.076
796.1,0.076
795.15,0.076
794.2,0.076
793.25,0.075
792.3,0.075
791.35,0.075
790.4,0.075
789.45,0.074
788.5,0.074
787.55,0.074
786.6,0.073
785.65,0.073
784.7,0.073
783.75,0.073
782.8,0.072
781.85,0.072
780.9,0.072
779.95,0.072
779.0,0.071
778.05,0.071
777.1,0.071
776.15,0.071
775.2,0.070
774.25,0.070
773.3,0.070
772.35,0.070
771.4,0.069
770.45,0.069
769.5,0.069
768.55,0.069
767.6,0.068
766.65,0.068
765.7,0.068
764.75,0.068
763.8,0.068
762.85,0.067
761.9,0.067
760.95,0.067
760.0,0.067
759.05,0.066
758.1,0.066
757.15,0.066
756.2,0.066
755.25,0.066
754.3,0.065
753.35,0.065
752.4,0.065
751.45,0.065
750.5,0.065
749.55,0.064
748.6,0.064
747.65,0.064
746.7,0.064
745.75,0.064
744.8,0.063
743.85,0.063
742.9,0.063
741.95,0.063
741.0,0.063
740.05,0.062
739.1,0.062
738.15,0.062
737.2,0.062
736.25,0.062
735.3,0.061
734.35,0.061
733.4,0.061
732.45,0.061
731.5,0.061
730.55,0.061
729.6,0.060
728.65,0.060
727.7,0.060
726.75,0.060
725.8,0.060
724.85,0.059
723.9,0.059
722.95,0.059
722.0,0.059
721.05,0.059
720.1,0.059
719.15,0.058
718.2,0.058
717.25,0.058
716.3,0.058
715.35,0.058
714.4,0.058
713.45,0.057
712.5,0.057
711.55,0.057
710.6,0.057
709.65,0.057
708.7,0.057
707.75,0.057
706.8,0.056
705.85,0.056
704.9,0.056
703.95,0.056
703.0,0.056
702.05,0.056
701.1,0.055
700.15,0.055
699.2,0.055
698.25,0.055
697.3,0.055
696.35,0.055
695.4,0.055
694.45,0.054
693.5,0.054
692.55,0.054
691.6,0.054
690.65,0.054
689.7,0.053
688.75,0.053
687.8,0.052
686.85,0.052
685.9,0.049
684.95,0.049
684.0,0.049
683.05,0.048
682.1,0.046
681.15,0.046
680.2,0.046
679.25,0.046
678.3,0.045
677.35,0.045
676.4,0.045
675.45,0.045
674.5,0.041
673.55,0.042
672.6,0.047
671.65,0.048
670.7,0.050
669.75,0.051
668.8,0.060
667.85,0.061
666.9,0.071
665.95,0.072
665.0,0.082
664.05,0.088
663.1,0.104
662.15,0.110
661.2,0.125
660.25,0.131
659.3,0.145
658.35,0.153
657.4,0.169
656.45,0.182
655.5,0.198
654.55,0.210
653.6,0.224
652.65,0.237
651.7,0.250
650.75,0.266
649.8,0.279
648.85,0.293
647.9,0.307
646.95,0.320
646.0,0.334
645.05,0.348
644.1,0.362
643.15,0.375
642.2,0.394
641.25,0.411
640.3,0.422
639.35,0.438
638.4,0.451
637.45,0.466
636.5,0.482
635.55,0.496
634.6,0.511
633.65,0.525
632.7,0.543
631.75,0.564
630.8,0.585
629.85,0.606
628.9,0.622
627.95,0.636
627.0,0.655
626.05,0.666
625.1,0.680
624.15,0.689
623.2,0.704
622.25,0.717
621.3,0.730
620.35,0.741
619.4,0.757
618.45,0.772
617.5,0.790
616.55,0.804
615.6,0.820
614.65,0.834
613.7,0.848
612.75,0.854
611.8,0.862
610.85,0.867
609.9,0.879
608.95,0.887
608.0,0.892
607.05,0.896
606.1,0.901
605.15,0.901
604.2,0.906
603.25,0.906
602.3,0.909
601.35,0.917
600.4,0.914
599.45,0.916
598.5,0.908
597.55,0.894
596.6,0.879
595.65,0.859
594.7,0.842
593.75,0.817
592.8,0.800
591.85,0.785
590.9,0.777
589.95,0.766
589.0,0.765
588.05,0.772
587.1,0.774
586.15,0.783
585.2,0.784
584.25,0.803
583.3,0.813
582.35,0.827
581.4,0.836
580.45,0.853
579.5,0.864
578.55,0.880
577.6,0.893
576.65,0.917
575.7,0.930
574.75,0.949
573.8,0.958
572.85,0.976
571.9,0.984
570.95,1.000
570.0,0.992
569.05,0.990
568.1,0.984
567.15,0.979
566.2,0.970
565.25,0.967
564.3,0.957
563.35,0.953
562.4,0.944
561.45,0.944
560.5,0.932
559.55,0.930
558.6,0.920
557.65,0.918
556.7,0.908
555.75,0.911
554.8,0.909
553.85,0.909
552.9,0.904
551.95,0.903
551.0,0.900
550.05,0.902
549.1,0.899
548.15,0.899
547.2,0.897
546.25,0.899
545.3,0.896
544.35,0.896
543.4,0.893
542.45,0.888
541.5,0.884
540.55,0.879
539.6,0.877
538.65,0.872
537.7,0.866
536.75,0.858
535.8,0.851
534.85,0.846
533.9,0.840
532.95,0.832
532.0,0.826
531.05,0.819
530.1,0.812
529.15,0.808
528.2,0.803
527.25,0.795
526.3,0.788
525.35,0.779
524.4,0.763
523.45,0.753
522.5,0.737
521.55,0.726
520.6,0.708
519.65,0.696
518.7,0.680
517.75,0.670
516.8,0.653
515.85,0.644
514.9,0.629
513.95,0.620
513.0,0.606
512.05,0.598
511.1,0.583
510.15,0.574
509.2,0.558
508.25,0.548
507.3,0.531
506.35,0.523
505.4,0.507
504.45,0.498
503.5,0.483
502.55,0.475
501.6,0.463
500.65,0.459
499.7,0.452
498.75,0.448
497.8,0.441
496.85,0.437
495.9,0.429
494.95,0.423
494.0,0.414
493.05,0.411
492.1,0.407
491.15,0.404
490.2,0.400
489.25,0.397
488.3,0.394
487.35,0.395
486.4,0.391
485.45,0.386
484.5,0.378
483.55,0.369
482.6,0.355
481.65,0.343
480.7,0.332
479.75,0.324
478.8,0.317
477.85,0.313
476.9,0.323
475.95,0.330
475.0,0.346
474.05,0.359
473.1,0.380
472.15,0.394
471.2,0.417
470.25,0.434
469.3,0.451
468.35,0.460
467.4,0.469
466.45,0.472
465.5,0.472
464.55,0.467
463.6,0.453
462.65,0.442
461.7,0.424
460.75,0.406
459.8,0.379
458.85,0.357
457.9,0.328
456.95,0.303
456.0,0.274
455.05,0.248
454.1,0.220
